satellite, 622 MIDAS 7 / ERS 10 / US
catalogue, 1 NORAD
track, 21227580
variability, 1 Aperiodic
variability_period, 0.0
npoints, 858
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2022-08-22,18:05:17.398000,6.546,8.95043,Clear,0,3750.728,57.239,6
2022-08-22,18:05:17.498000,6.256,8.66022,Clear,0,3750.693,57.246,6
2022-08-22,18:05:17.598000,6.446,8.84968,Clear,0,3750.658,57.254,6
2022-08-22,18:05:17.698000,6.5,8.90347,Clear,0,3750.623,57.261,6
2022-08-22,18:05:17.798000,6.436,8.84039,Clear,0,3750.588,57.268,6
2022-08-22,18:05:17.898000,6.438,8.84155,Clear,0,3750.554,57.275,6
2022-08-22,18:05:17.998000,6.282,8.68598,Clear,0,3750.519,57.283,6
2022-08-22,18:05:18.098000,6.752,9.15621,Clear,0,3750.484,57.29,6
2022-08-22,18:05:18.198000,6.805,9.2093,Clear,0,3750.45,57.297,6
2022-08-22,18:05:18.298000,6.66,9.06432,Clear,0,3750.416,57.304,6
2022-08-22,18:05:18.398000,6.356,8.76018,Clear,0,3750.381,57.312,6
2022-08-22,18:05:18.498000,6.635,9.03904,Clear,0,3750.347,57.319,6
2022-08-22,18:05:18.598000,6.61,9.01433,Clear,0,3750.313,57.326,6
2022-08-22,18:05:18.698000,6.64,9.04391,Clear,0,3750.279,57.334,6
2022-08-22,18:05:18.798000,6.825,9.22897,Clear,0,3750.245,57.341,6
2022-08-22,18:05:18.898000,6.546,8.94979,Clear,0,3750.211,57.348,6
2022-08-22,18:05:18.998000,6.543,8.94659,Clear,0,3750.177,57.355,6
2022-08-22,18:05:19.098000,6.859,9.26256,Clear,0,3750.143,57.363,6
2022-08-22,18:05:19.198000,6.813,9.21745,Clear,0,3750.109,57.37,6
2022-08-22,18:05:19.298000,6.477,8.88223,Clear,0,3750.075,57.377,6
2022-08-22,18:05:19.398000,6.411,8.81581,Clear,0,3750.042,57.384,6
2022-08-22,18:05:19.498000,7.149,9.55435,Clear,0,3750.008,57.392,6
2022-08-22,18:05:19.598000,7.173,9.57804,Clear,0,3749.975,57.399,6
2022-08-22,18:05:19.698000,6.779,9.18441,Clear,0,3749.941,57.406,6
2022-08-22,18:05:19.798000,6.54,8.94468,Clear,0,3749.908,57.413,6
2022-08-22,18:05:19.898000,6.848,9.25322,Clear,0,3749.875,57.421,6
2022-08-22,18:05:19.998000,6.757,9.16164,Clear,0,3749.841,57.428,6
2022-08-22,18:05:20.098000,6.803,9.20768,Clear,0,3749.808,57.435,6
2022-08-22,18:05:20.198000,6.693,9.09824,Clear,0,3749.775,57.442,6
2022-08-22,18:05:20.398000,6.975,9.37951,Clear,0,3749.709,57.457,6
2022-08-22,18:05:20.498000,6.866,9.27112,Clear,0,3749.676,57.464,6
2022-08-22,18:05:20.598000,6.695,9.10044,Clear,0,3749.643,57.472,6
2022-08-22,18:05:20.798000,6.344,8.74896,Clear,0,3749.578,57.486,6
2022-08-22,18:05:20.998000,7.18,9.58605,Clear,0,3749.513,57.501,6
2022-08-22,18:05:21.098000,7.134,9.53994,Clear,0,3749.48,57.508,6
2022-08-22,18:05:21.198000,7.124,9.53007,Clear,0,3749.448,57.515,6
2022-08-22,18:05:21.398000,6.743,9.14851,Clear,0,3749.383,57.53,6
2022-08-22,18:05:21.598000,6.845,9.25068,Clear,0,3749.319,57.544,6
2022-08-22,18:05:21.698000,7.08,9.48623,Clear,0,3749.287,57.552,6
2022-08-22,18:05:21.798000,7.231,9.63661,Clear,0,3749.255,57.559,6
2022-08-22,18:05:21.898000,7.291,9.69726,Clear,0,3749.223,57.566,6
2022-08-22,18:05:21.998000,6.969,9.37477,Clear,0,3749.191,57.573,6
2022-08-22,18:05:22.098000,7.12,9.52572,Clear,0,3749.159,57.581,6
2022-08-22,18:05:22.198000,7.007,9.41328,Clear,0,3749.127,57.588,6
2022-08-22,18:05:22.698000,6.983,9.39001,Clear,0,3748.97,57.624,6
2022-08-22,18:05:22.798000,6.929,9.33576,Clear,0,3748.938,57.632,6
2022-08-22,18:05:23.198000,6.509,8.91641,Clear,0,3748.814,57.661,6
2022-08-22,18:05:23.398000,7.068,9.47525,Clear,0,3748.752,57.675,6
2022-08-22,18:05:23.498000,6.937,9.34346,Clear,0,3748.721,57.683,6
2022-08-22,18:05:23.598000,6.972,9.37897,Clear,0,3748.69,57.69,6
2022-08-22,18:05:23.698000,6.815,9.22182,Clear,0,3748.66,57.697,6
2022-08-22,18:05:23.798000,6.64,9.04685,Clear,0,3748.629,57.704,6
2022-08-22,18:05:23.898000,7.082,9.48883,Clear,0,3748.598,57.712,6
2022-08-22,18:05:23.998000,6.967,9.37423,Clear,0,3748.568,57.719,6
2022-08-22,18:05:24.098000,6.795,9.20228,Clear,0,3748.537,57.726,6
2022-08-22,18:05:24.298000,6.835,9.24173,Clear,0,3748.477,57.741,6
2022-08-22,18:05:24.498000,7.105,9.51328,Clear,0,3748.416,57.755,6
2022-08-22,18:05:24.598000,6.892,9.3002,Clear,0,3748.386,57.763,6
2022-08-22,18:05:24.998000,6.954,9.362,Clear,0,3748.266,57.792,6
2022-08-22,18:05:25.098000,6.896,9.30374,Clear,0,3748.237,57.799,6
2022-08-22,18:05:25.298000,6.872,9.28007,Clear,0,3748.177,57.814,6
2022-08-22,18:05:25.398000,6.794,9.20228,Clear,0,3748.148,57.821,6
2022-08-22,18:05:25.498000,6.863,9.27057,Clear,0,3748.118,57.828,6
2022-08-22,18:05:25.598000,7.063,9.47111,Clear,0,3748.089,57.836,6
2022-08-22,18:05:25.698000,6.785,9.19343,Clear,0,3748.059,57.843,6
2022-08-22,18:05:25.798000,6.959,9.36669,Clear,0,3748.03,57.85,6
2022-08-22,18:05:25.898000,7.07,9.47837,Clear,0,3748.001,57.857,6
2022-08-22,18:05:25.998000,6.904,9.31175,Clear,0,3747.972,57.865,6
2022-08-22,18:05:26.098000,7.124,9.5328,Clear,0,3747.943,57.872,6
2022-08-22,18:05:26.198000,6.528,8.93716,Clear,0,3747.914,57.879,6
2022-08-22,18:05:26.298000,7.015,9.42356,Clear,0,3747.885,57.887,6
2022-08-22,18:05:26.398000,6.802,9.21119,Clear,0,3747.856,57.894,6
2022-08-22,18:05:26.498000,6.605,9.01378,Clear,0,3747.827,57.901,6
2022-08-22,18:05:26.598000,6.776,9.18466,Clear,0,3747.798,57.909,6
2022-08-22,18:05:26.698000,6.644,9.05317,Clear,0,3747.77,57.916,6
2022-08-22,18:05:26.798000,6.6,9.00904,Clear,0,3747.741,57.923,6
2022-08-22,18:05:26.898000,6.827,9.23589,Clear,0,3747.712,57.93,6
2022-08-22,18:05:26.998000,6.761,9.16967,Clear,0,3747.684,57.938,6
2022-08-22,18:05:27.098000,6.829,9.23839,Clear,0,3747.655,57.945,6
2022-08-22,18:05:27.198000,6.385,8.794,Clear,0,3747.627,57.952,6
2022-08-22,18:05:27.298000,6.497,8.90599,Clear,0,3747.599,57.96,6
2022-08-22,18:05:27.398000,6.694,9.10284,Clear,0,3747.571,57.967,6
2022-08-22,18:05:27.498000,6.634,9.04336,Clear,0,3747.543,57.974,6
2022-08-22,18:05:27.598000,6.538,8.94668,Clear,0,3747.514,57.982,6
2022-08-22,18:05:27.698000,6.219,8.62782,Clear,0,3747.486,57.989,6
2022-08-22,18:05:27.798000,6.586,8.99561,Clear,0,3747.459,57.996,6
2022-08-22,18:05:27.898000,6.22,8.6302,Clear,0,3747.431,58.003,6
2022-08-22,18:05:27.998000,6.237,8.64652,Clear,0,3747.403,58.011,6
2022-08-22,18:05:28.098000,6.422,8.83178,Clear,0,3747.375,58.018,6
2022-08-22,18:05:28.198000,6.29,8.69957,Clear,0,3747.347,58.025,6
2022-08-22,18:05:28.298000,6.543,8.95308,Clear,0,3747.32,58.033,6
2022-08-22,18:05:28.398000,6.286,8.69551,Clear,0,3747.292,58.04,6
2022-08-22,18:05:28.498000,6.189,8.59919,Clear,0,3747.265,58.047,6
2022-08-22,18:05:28.598000,6.129,8.53883,Clear,0,3747.238,58.055,6
2022-08-22,18:05:28.698000,6.085,8.49503,Clear,0,3747.21,58.062,6
2022-08-22,18:05:28.798000,6.282,8.69147,Clear,0,3747.183,58.069,6
2022-08-22,18:05:28.898000,6.282,8.69147,Clear,0,3747.156,58.076,6
2022-08-22,18:05:28.998000,6.054,8.46351,Clear,0,3747.129,58.084,6
2022-08-22,18:05:29.098000,5.967,8.37673,Clear,0,3747.102,58.091,6
2022-08-22,18:05:29.198000,6.182,8.59226,Clear,0,3747.075,58.098,6
2022-08-22,18:05:29.298000,6.043,8.45293,Clear,0,3747.048,58.106,6
2022-08-22,18:05:29.398000,5.979,8.3904,Clear,0,3747.021,58.113,6
2022-08-22,18:05:29.498000,5.902,8.31262,Clear,0,3746.994,58.12,6
2022-08-22,18:05:29.598000,5.753,8.1636,Clear,0,3746.967,58.128,6
2022-08-22,18:05:29.698000,5.964,8.37447,Clear,0,3746.941,58.135,6
2022-08-22,18:05:29.798000,5.754,8.16484,Clear,0,3746.914,58.142,6
2022-08-22,18:05:29.898000,5.874,8.28453,Clear,0,3746.888,58.15,6
2022-08-22,18:05:29.998000,5.753,8.16391,Clear,0,3746.861,58.157,6
2022-08-22,18:05:30.098000,5.744,8.15464,Clear,0,3746.835,58.164,6
2022-08-22,18:05:30.198000,5.682,8.09248,Clear,0,3746.809,58.172,6
2022-08-22,18:05:30.298000,5.639,8.04949,Clear,0,3746.782,58.179,6
2022-08-22,18:05:30.398000,5.776,8.18711,Clear,0,3746.756,58.186,6
2022-08-22,18:05:30.498000,5.579,7.99001,Clear,0,3746.73,58.193,6
2022-08-22,18:05:30.598000,5.524,7.93487,Clear,0,3746.704,58.201,6
2022-08-22,18:05:30.698000,5.499,7.90979,Clear,0,3746.678,58.208,6
2022-08-22,18:05:30.798000,5.581,7.99159,Clear,0,3746.652,58.215,6
2022-08-22,18:05:30.898000,5.571,7.98184,Clear,0,3746.626,58.223,6
2022-08-22,18:05:30.998000,5.393,7.80481,Clear,0,3746.601,58.23,6
2022-08-22,18:05:31.098000,5.35,7.7622,Clear,0,3746.575,58.237,6
2022-08-22,18:05:31.198000,5.553,7.96467,Clear,0,3746.549,58.245,6
2022-08-22,18:05:31.298000,5.383,7.79483,Clear,0,3746.524,58.252,6
2022-08-22,18:05:31.398000,5.383,7.79461,Clear,0,3746.498,58.259,6
2022-08-22,18:05:31.498000,5.345,7.75707,Clear,0,3746.473,58.267,6
2022-08-22,18:05:31.598000,5.296,7.70767,Clear,0,3746.448,58.274,6
2022-08-22,18:05:31.698000,5.299,7.71134,Clear,0,3746.422,58.281,6
2022-08-22,18:05:31.798000,5.097,7.50914,Clear,0,3746.397,58.289,6
2022-08-22,18:05:31.898000,5.157,7.56898,Clear,0,3746.372,58.296,6
2022-08-22,18:05:31.998000,4.972,7.38377,Clear,0,3746.347,58.303,6
2022-08-22,18:05:32.098000,5.057,7.46915,Clear,0,3746.322,58.311,6
2022-08-22,18:05:32.198000,4.922,7.33397,Clear,0,3746.297,58.318,6
2022-08-22,18:05:32.298000,5.048,7.4597,Clear,0,3746.272,58.325,6
2022-08-22,18:05:32.398000,4.82,7.23216,Clear,0,3746.247,58.333,6
2022-08-22,18:05:32.498000,4.91,7.3219,Clear,0,3746.222,58.34,6
2022-08-22,18:05:32.598000,4.871,7.28373,Clear,0,3746.198,58.347,6
2022-08-22,18:05:32.698000,5.05,7.46328,Clear,0,3746.173,58.355,6
2022-08-22,18:05:32.798000,5.04,7.45308,Clear,0,3746.149,58.362,6
2022-08-22,18:05:32.898000,4.979,7.39181,Clear,0,3746.124,58.369,6
2022-08-22,18:05:32.998000,4.953,7.36577,Clear,0,3746.1,58.377,6
2022-08-22,18:05:33.098000,4.969,7.38196,Clear,0,3746.076,58.384,6
