satellite, 25968 ATLAS 2A CENTAUR R/B / US
catalogue, 1 NORAD
track, 21763570
variability, 2 Periodic
variability_period, 24.1992576
npoints, 2301
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2022-10-25,23:38:17.798000,5.71,8.72624,Clear,1,5477.101,29.589,8
2022-10-25,23:38:17.898000,5.744,8.75991,Clear,1,5477.325,29.595,8
2022-10-25,23:38:17.998000,5.685,8.70084,Clear,1,5477.55,29.6,8
2022-10-25,23:38:18.098000,5.557,8.57318,Clear,1,5477.775,29.605,8
2022-10-25,23:38:18.198000,5.859,8.87461,Clear,1,5477.999,29.61,8
2022-10-25,23:38:18.298000,5.319,8.33561,Clear,1,5478.224,29.615,8
2022-10-25,23:38:18.498000,5.69,8.7068,Clear,1,5478.674,29.625,8
2022-10-25,23:38:18.598000,5.366,8.38338,Clear,1,5478.899,29.63,8
2022-10-25,23:38:18.698000,5.216,8.23299,Clear,1,5479.123,29.636,8
2022-10-25,23:38:18.798000,5.771,8.78747,Clear,1,5479.348,29.641,8
2022-10-25,23:38:18.898000,5.103,8.11971,Clear,1,5479.573,29.646,8
2022-10-25,23:38:18.998000,5.355,8.37209,Clear,1,5479.798,29.651,8
2022-10-25,23:38:19.098000,5.232,8.24856,Clear,1,5480.023,29.656,8
2022-10-25,23:38:19.198000,5.548,8.56556,Clear,1,5480.248,29.661,8
2022-10-25,23:38:19.298000,5.238,8.25555,Clear,1,5480.473,29.666,8
2022-10-25,23:38:19.398000,5.145,8.16313,Clear,1,5480.699,29.671,8
2022-10-25,23:38:19.498000,4.921,7.93938,Clear,1,5480.924,29.677,8
2022-10-25,23:38:19.598000,5.046,8.06354,Clear,1,5481.149,29.682,8
2022-10-25,23:38:19.698000,5.028,8.04604,Clear,1,5481.374,29.687,8
2022-10-25,23:38:19.798000,4.968,7.98625,Clear,1,5481.599,29.692,8
2022-10-25,23:38:19.898000,4.843,7.86131,Clear,1,5481.824,29.697,8
2022-10-25,23:38:19.998000,4.895,7.91251,Clear,1,5482.05,29.702,8
2022-10-25,23:38:20.098000,5.145,8.16353,Clear,1,5482.275,29.707,8
2022-10-25,23:38:20.198000,4.837,7.85644,Clear,1,5482.5,29.712,8
2022-10-25,23:38:20.298000,4.837,7.85613,Clear,0,5482.726,29.718,8
2022-10-25,23:38:20.398000,4.74,7.75866,Clear,0,5482.951,29.723,8
2022-10-25,23:38:20.498000,4.709,7.72802,Clear,0,5483.176,29.728,8
2022-10-25,23:38:20.598000,4.882,7.90075,Clear,0,5483.402,29.733,8
2022-10-25,23:38:20.698000,4.629,7.64746,Clear,0,5483.627,29.738,8
2022-10-25,23:38:20.798000,4.786,7.80514,Clear,0,5483.853,29.743,8
2022-10-25,23:38:20.898000,4.41,7.43027,Clear,0,5484.078,29.748,8
2022-10-25,23:38:20.998000,4.597,7.61684,Clear,0,5484.304,29.753,8
2022-10-25,23:38:21.098000,4.613,7.63303,Clear,0,5484.53,29.759,8
2022-10-25,23:38:21.198000,4.768,7.78762,Clear,0,5484.755,29.764,8
2022-10-25,23:38:21.298000,4.484,7.50408,Clear,0,5484.981,29.769,8
2022-10-25,23:38:21.398000,4.741,7.76143,Clear,0,5485.206,29.774,8
2022-10-25,23:38:21.498000,4.421,7.44139,Clear,0,5485.432,29.779,8
2022-10-25,23:38:21.598000,4.372,7.39219,Clear,0,5485.658,29.784,8
2022-10-25,23:38:21.698000,4.324,7.34379,Clear,0,5485.884,29.789,8
2022-10-25,23:38:21.798000,4.324,7.3453,Clear,0,5486.109,29.794,8
2022-10-25,23:38:21.898000,4.438,7.45915,Clear,0,5486.335,29.799,8
2022-10-25,23:38:21.998000,4.519,7.54,Clear,0,5486.561,29.805,8
2022-10-25,23:38:22.098000,4.291,7.31188,Clear,0,5486.787,29.81,8
2022-10-25,23:38:22.198000,4.486,7.50715,Clear,0,5487.013,29.815,8
2022-10-25,23:38:22.298000,4.243,7.26439,Clear,0,5487.239,29.82,8
2022-10-25,23:38:22.398000,4.519,7.53954,Clear,0,5487.465,29.825,8
2022-10-25,23:38:22.498000,4.299,7.32037,Clear,0,5487.691,29.83,8
2022-10-25,23:38:22.598000,4.105,7.12641,Clear,0,5487.917,29.835,8
2022-10-25,23:38:22.698000,4.225,7.24728,Clear,0,5488.143,29.84,8
2022-10-25,23:38:22.798000,4.373,7.39496,Clear,0,5488.369,29.846,8
2022-10-25,23:38:22.898000,4.214,7.23556,Clear,0,5488.595,29.851,8
2022-10-25,23:38:22.998000,4.36,7.38174,Clear,0,5488.821,29.856,8
2022-10-25,23:38:23.098000,4.394,7.41641,Clear,0,5489.047,29.861,8
2022-10-25,23:38:23.198000,4.36,7.38233,Clear,0,5489.274,29.866,8
2022-10-25,23:38:23.298000,4.098,7.12038,Clear,0,5489.5,29.871,8
2022-10-25,23:38:23.398000,4.223,7.24469,Clear,0,5489.726,29.876,8
2022-10-25,23:38:23.498000,4.246,7.26933,Clear,0,5489.952,29.881,8
2022-10-25,23:38:23.598000,3.96,6.98329,Clear,0,5490.179,29.886,8
2022-10-25,23:38:23.698000,4.228,7.25075,Clear,0,5490.405,29.892,8
2022-10-25,23:38:23.798000,4.203,7.2255,Clear,0,5490.631,29.897,8
2022-10-25,23:38:23.898000,4.389,7.41156,Clear,0,5490.858,29.902,8
2022-10-25,23:38:23.998000,4.26,7.28267,Clear,0,5491.084,29.907,8
2022-10-25,23:38:24.098000,4.348,7.37121,Clear,0,5491.311,29.912,8
2022-10-25,23:38:24.198000,4.122,7.1447,Clear,0,5491.537,29.917,8
2022-10-25,23:38:24.298000,4.359,7.38174,Clear,0,5491.764,29.922,8
2022-10-25,23:38:24.398000,4.298,7.32167,Clear,0,5491.99,29.927,8
2022-10-25,23:38:24.498000,4.492,7.51644,Clear,0,5492.217,29.933,8
2022-10-25,23:38:24.598000,4.378,7.40213,Clear,0,5492.444,29.938,8
2022-10-25,23:38:24.698000,4.55,7.57364,Clear,0,5492.67,29.943,8
2022-10-25,23:38:24.798000,4.399,7.42291,Clear,0,5492.897,29.948,8
2022-10-25,23:38:24.898000,4.369,7.39298,Clear,0,5493.124,29.953,8
2022-10-25,23:38:24.998000,4.204,7.22771,Clear,0,5493.35,29.958,8
2022-10-25,23:38:25.098000,4.178,7.20148,Clear,0,5493.577,29.963,8
2022-10-25,23:38:25.198000,4.321,7.34473,Clear,0,5493.804,29.968,8
2022-10-25,23:38:25.298000,4.194,7.21923,Clear,0,5494.031,29.973,8
2022-10-25,23:38:25.398000,4.396,7.42087,Clear,0,5494.257,29.979,8
2022-10-25,23:38:25.498000,4.272,7.29727,Clear,0,5494.484,29.984,8
2022-10-25,23:38:25.598000,4.168,7.19288,Clear,0,5494.711,29.989,8
2022-10-25,23:38:25.698000,4.333,7.35808,Clear,0,5494.938,29.994,8
2022-10-25,23:38:25.798000,4.157,7.18239,Clear,0,5495.165,29.999,8
2022-10-25,23:38:25.898000,4.468,7.49251,Clear,0,5495.392,30.004,8
2022-10-25,23:38:25.998000,4.411,7.43561,Clear,0,5495.619,30.009,8
2022-10-25,23:38:26.098000,4.439,7.46485,Clear,0,5495.846,30.014,8
2022-10-25,23:38:26.198000,4.492,7.51777,Clear,0,5496.073,30.019,8
2022-10-25,23:38:26.298000,4.347,7.37334,Clear,0,5496.3,30.025,8
2022-10-25,23:38:26.398000,4.454,7.47998,Clear,0,5496.527,30.03,8
2022-10-25,23:38:26.498000,4.238,7.26397,Clear,0,5496.755,30.035,8
2022-10-25,23:38:26.598000,4.501,7.52653,Clear,0,5496.982,30.04,8
2022-10-25,23:38:26.698000,4.524,7.54996,Clear,0,5497.209,30.045,8
2022-10-25,23:38:26.798000,4.378,7.40409,Clear,0,5497.436,30.05,8
2022-10-25,23:38:26.898000,4.279,7.3052,Clear,0,5497.664,30.055,8
2022-10-25,23:38:26.998000,4.319,7.34577,Clear,0,5497.891,30.06,8
2022-10-25,23:38:27.098000,4.163,7.19037,Clear,0,5498.118,30.066,8
2022-10-25,23:38:27.198000,4.162,7.18872,Clear,0,5498.346,30.071,8
2022-10-25,23:38:27.298000,4.421,7.44819,Clear,0,5498.573,30.076,8
2022-10-25,23:38:27.398000,4.267,7.29425,Clear,0,5498.8,30.081,8
2022-10-25,23:38:27.498000,4.251,7.27837,Clear,0,5499.028,30.086,8
