satellite, 35937 STSS DEMO 1 (USA 208) / US
catalogue, 3 McCants
track, 22229088
variability, 1 Aperiodic
variability_period, 0.0
npoints, 967
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2022-12-08,02:09:33.894000,5.133,5.41567,Clear,0,1334.649,67.948,3
2022-12-08,02:09:33.994000,5.091,5.37532,Clear,0,1334.669,67.972,3
2022-12-08,02:09:34.094000,5.112,5.39546,Clear,0,1334.69,67.996,3
2022-12-08,02:09:34.194000,5.159,5.44276,Clear,0,1334.711,68.02,3
2022-12-08,02:09:34.294000,5.041,5.32559,Clear,0,1334.733,68.044,3
2022-12-08,02:09:34.394000,5.077,5.36182,Clear,0,1334.754,68.068,3
2022-12-08,02:09:34.494000,5.11,5.39515,Clear,0,1334.776,68.092,3
2022-12-08,02:09:34.594000,5.091,5.37669,Clear,0,1334.798,68.116,3
2022-12-08,02:09:34.694000,5.119,5.40469,Clear,0,1334.821,68.14,3
2022-12-08,02:09:34.794000,5.067,5.35336,Clear,0,1334.844,68.164,3
2022-12-08,02:09:34.894000,5.033,5.3204,Clear,0,1334.867,68.188,3
2022-12-08,02:09:34.994000,5.093,5.37949,Clear,0,1334.89,68.212,3
2022-12-08,02:09:35.094000,4.988,5.27462,Clear,0,1334.914,68.236,3
2022-12-08,02:09:35.194000,5.032,5.31976,Clear,0,1334.938,68.26,3
2022-12-08,02:09:35.294000,5.057,5.345,Clear,0,1334.963,68.284,3
2022-12-08,02:09:35.394000,5.066,5.35404,Clear,0,1334.987,68.308,3
2022-12-08,02:09:35.494000,5.088,5.37706,Clear,0,1335.012,68.332,3
2022-12-08,02:09:35.594000,5.102,5.39095,Clear,0,1335.037,68.356,3
2022-12-08,02:09:35.694000,5.055,5.34465,Clear,0,1335.063,68.38,3
2022-12-08,02:09:35.794000,5.011,5.3009,Clear,0,1335.089,68.404,3
2022-12-08,02:09:35.894000,5.03,5.31958,Clear,0,1335.115,68.428,3
2022-12-08,02:09:35.994000,5.127,5.41766,Clear,0,1335.141,68.452,3
2022-12-08,02:09:36.094000,5.005,5.29569,Clear,0,1335.168,68.476,3
2022-12-08,02:09:36.194000,5.002,5.29331,Clear,0,1335.195,68.5,3
2022-12-08,02:09:36.294000,5.081,5.37304,Clear,0,1335.222,68.524,3
2022-12-08,02:09:36.394000,4.979,5.27111,Clear,0,1335.25,68.548,3
2022-12-08,02:09:36.494000,5.059,5.35102,Clear,0,1335.277,68.572,3
2022-12-08,02:09:36.594000,4.997,5.28969,Clear,0,1335.306,68.596,3
2022-12-08,02:09:36.694000,4.993,5.28582,Clear,0,1335.334,68.62,3
2022-12-08,02:09:36.794000,5.033,5.32633,Clear,0,1335.363,68.644,3
2022-12-08,02:09:36.894000,5.017,5.31061,Clear,0,1335.392,68.668,3
2022-12-08,02:09:36.994000,5.056,5.34946,Clear,0,1335.421,68.691,3
2022-12-08,02:09:37.094000,5.0,5.29379,Clear,0,1335.451,68.715,3
2022-12-08,02:09:37.194000,5.008,5.30291,Clear,0,1335.481,68.739,3
2022-12-08,02:09:37.294000,4.944,5.23921,Clear,0,1335.511,68.763,3
2022-12-08,02:09:37.394000,4.988,5.28387,Clear,0,1335.541,68.787,3
2022-12-08,02:09:37.494000,5.05,5.34589,Clear,0,1335.572,68.811,3
2022-12-08,02:09:37.594000,5.036,5.33179,Clear,0,1335.603,68.835,3
2022-12-08,02:09:37.694000,5.008,5.30543,Clear,0,1335.635,68.859,3
2022-12-08,02:09:37.794000,5.084,5.38115,Clear,0,1335.666,68.883,3
2022-12-08,02:09:37.894000,5.092,5.38871,Clear,0,1335.698,68.907,3
2022-12-08,02:09:37.994000,4.987,5.28453,Clear,0,1335.731,68.932,3
2022-12-08,02:09:38.094000,5.024,5.32186,Clear,0,1335.763,68.956,3
2022-12-08,02:09:38.194000,4.937,5.23478,Clear,0,1335.796,68.98,3
2022-12-08,02:09:38.294000,5.032,5.3305,Clear,0,1335.829,69.004,3
2022-12-08,02:09:38.394000,4.946,5.24511,Clear,0,1335.863,69.028,3
2022-12-08,02:09:38.494000,5.001,5.3009,Clear,0,1335.896,69.052,3
2022-12-08,02:09:38.594000,4.953,5.25252,Clear,0,1335.93,69.076,3
2022-12-08,02:09:38.694000,4.977,5.27728,Clear,0,1335.965,69.1,3
2022-12-08,02:09:38.794000,5.068,5.36936,Clear,0,1335.999,69.124,3
2022-12-08,02:09:38.894000,4.979,5.2801,Clear,0,1336.034,69.148,3
2022-12-08,02:09:38.994000,4.993,5.29441,Clear,0,1336.069,69.172,3
2022-12-08,02:09:39.094000,4.999,5.30082,Clear,0,1336.105,69.196,3
2022-12-08,02:09:39.194000,4.966,5.26763,Clear,0,1336.141,69.22,3
2022-12-08,02:09:39.294000,4.976,5.2793,Clear,0,1336.177,69.244,3
2022-12-08,02:09:39.394000,4.968,5.27066,Clear,0,1336.213,69.268,3
