satellite, 44796 CZ-3B R/B / PRC
catalogue, 1 NORAD
track, 22517893
variability, 2 Periodic
variability_period, 42.8
npoints, 666
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2022-12-24,19:41:42.496000,2.815,7.57495,Clear,0,12052.502,35.311,9
2022-12-24,19:41:42.596000,3.11,7.86977,Clear,0,12052.309,35.313,9
2022-12-24,19:41:42.696000,2.836,7.59585,Clear,0,12052.115,35.315,9
2022-12-24,19:41:42.796000,2.952,7.71181,Clear,0,12051.922,35.317,9
2022-12-24,19:41:42.896000,2.898,7.65763,Clear,0,12051.729,35.319,9
2022-12-24,19:41:42.996000,2.868,7.62772,Clear,0,12051.536,35.321,9
2022-12-24,19:41:43.096000,2.791,7.55082,Clear,0,12051.342,35.323,9
2022-12-24,19:41:43.196000,2.845,7.60481,Clear,0,12051.149,35.325,9
2022-12-24,19:41:43.296000,3.099,7.859,Clear,0,12050.956,35.326,9
2022-12-24,19:41:43.396000,2.864,7.62419,Clear,0,12050.763,35.328,9
2022-12-24,19:41:43.496000,2.816,7.57613,Clear,0,12050.569,35.33,9
2022-12-24,19:41:43.596000,2.716,7.47563,Clear,0,12050.376,35.332,9
2022-12-24,19:41:43.696000,3.182,7.94236,Clear,0,12050.183,35.334,9
2022-12-24,19:41:43.796000,2.931,7.6912,Clear,0,12049.99,35.336,9
2022-12-24,19:41:43.896000,2.786,7.54638,Clear,0,12049.796,35.338,9
2022-12-24,19:41:43.996000,2.764,7.52383,Clear,0,12049.603,35.34,9
2022-12-24,19:41:44.096000,2.682,7.44175,Clear,0,12049.41,35.341,9
2022-12-24,19:41:44.196000,2.823,7.58323,Clear,0,12049.217,35.343,9
2022-12-24,19:41:44.296000,2.723,7.48287,Clear,0,12049.023,35.345,9
2022-12-24,19:41:44.396000,2.815,7.57495,Clear,0,12048.83,35.347,9
2022-12-24,19:41:44.496000,2.687,7.44728,Clear,0,12048.637,35.349,9
2022-12-24,19:41:44.596000,2.625,7.38505,Clear,0,12048.444,35.351,9
2022-12-24,19:41:44.696000,2.579,7.33913,Clear,0,12048.25,35.353,9
2022-12-24,19:41:44.796000,2.561,7.32073,Clear,0,12048.057,35.355,9
2022-12-24,19:41:44.896000,2.64,7.40013,Clear,0,12047.864,35.356,9
2022-12-24,19:41:44.996000,2.702,7.46234,Clear,0,12047.671,35.358,9
2022-12-24,19:41:45.096000,2.657,7.41674,Clear,0,12047.478,35.36,9
2022-12-24,19:41:45.196000,2.595,7.35482,Clear,0,12047.284,35.362,9
2022-12-24,19:41:45.296000,2.474,7.23363,Clear,0,12047.091,35.364,9
2022-12-24,19:41:45.396000,2.734,7.49265,Clear,0,12046.898,35.366,9
2022-12-24,19:41:45.496000,2.742,7.50111,Clear,0,12046.705,35.368,9
