satellite, 1271 OPS 4988 (GREB 6) / US
catalogue, 1 NORAD
track, 23327097
variability, 1 Aperiodic
variability_period, 0.0
npoints, 720
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2023-02-24,02:40:57.792000,7.533,7.10363,Clear,0,927.6,73.742,2
2023-02-24,02:40:57.892000,7.51,7.08172,Clear,0,927.599,73.762,2
2023-02-24,02:40:57.992000,7.637,7.20902,Clear,0,927.599,73.782,2
2023-02-24,02:40:58.092000,7.393,6.96524,Clear,0,927.599,73.802,2
2023-02-24,02:40:58.192000,7.462,7.03511,Clear,0,927.6,73.822,2
2023-02-24,02:40:58.292000,7.312,6.88445,Clear,0,927.601,73.842,2
2023-02-24,02:40:58.392000,7.37,6.9426,Clear,0,927.603,73.862,2
2023-02-24,02:40:58.492000,7.29,6.86294,Clear,0,927.605,73.882,2
2023-02-24,02:40:58.592000,7.242,6.81607,Clear,0,927.607,73.902,2
2023-02-24,02:40:58.692000,7.279,6.85297,Clear,0,927.611,73.922,2
2023-02-24,02:40:58.792000,7.297,6.87068,Clear,0,927.614,73.942,2
2023-02-24,02:40:58.892000,7.213,6.7881,Clear,0,927.618,73.963,2
2023-02-24,02:40:58.992000,7.273,6.84811,Clear,0,927.623,73.983,2
2023-02-24,02:40:59.092000,7.168,6.74308,Clear,0,927.628,74.003,2
2023-02-24,02:40:59.192000,7.134,6.70868,Clear,0,927.634,74.023,2
2023-02-24,02:40:59.292000,7.192,6.76796,Clear,0,927.64,74.043,2
2023-02-24,02:40:59.392000,7.326,6.90209,Clear,0,927.647,74.063,2
2023-02-24,02:40:59.492000,7.201,6.77736,Clear,0,927.654,74.084,2
2023-02-24,02:40:59.592000,7.204,6.78119,Clear,0,927.661,74.104,2
2023-02-24,02:40:59.692000,7.098,6.67485,Clear,0,927.669,74.124,2
2023-02-24,02:40:59.792000,7.058,6.63467,Clear,0,927.678,74.144,2
2023-02-24,02:40:59.892000,6.936,6.51416,Clear,0,927.687,74.164,2
2023-02-24,02:41:00.092000,6.92,6.49827,Clear,0,927.706,74.205,2
2023-02-24,02:41:00.192000,6.896,6.47449,Clear,0,927.717,74.225,2
2023-02-24,02:41:00.292000,6.894,6.47254,Clear,0,927.728,74.245,2
2023-02-24,02:41:00.392000,6.924,6.50269,Clear,0,927.739,74.266,2
2023-02-24,02:41:00.492000,6.968,6.54773,Clear,0,927.751,74.286,2
2023-02-24,02:41:00.592000,6.941,6.52103,Clear,0,927.764,74.306,2
