satellite, 39455 SHIYUAN 5 (SY-5) / PRC
catalogue, 1 NORAD
track, 24563938
variability, 2 Periodic
variability_period, 15.29082
npoints, 664
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2023-06-28,21:06:21.197000,7.308,7.21182,Clear,0,893.237,97.273,8
2023-06-28,21:06:21.297000,7.567,7.46981,Clear,0,892.977,97.232,8
2023-06-28,21:06:21.397000,7.632,7.53294,Clear,0,892.719,97.19,8
2023-06-28,21:06:21.497000,8.378,8.27765,Clear,0,892.46,97.149,8
2023-06-28,21:06:21.597000,8.008,7.90603,Clear,0,892.202,97.108,8
2023-06-28,21:06:21.697000,8.396,8.29304,Clear,0,891.945,97.066,8
2023-06-28,21:06:21.797000,8.513,8.40825,Clear,0,891.688,97.025,8
2023-06-28,21:06:21.897000,9.065,8.9594,Clear,0,891.432,96.983,8
2023-06-28,21:06:22.097000,8.328,8.21895,Clear,0,890.921,96.9,8
2023-06-28,21:06:22.197000,8.759,8.64781,Clear,0,890.666,96.859,8
2023-06-28,21:06:22.297000,8.556,8.44374,Clear,0,890.411,96.817,8
2023-06-28,21:06:22.397000,7.858,7.74349,Clear,0,890.157,96.776,8
2023-06-28,21:06:22.497000,8.044,7.92941,Clear,0,889.904,96.734,8
2023-06-28,21:06:22.597000,7.784,7.66684,Clear,0,889.651,96.693,8
2023-06-28,21:06:22.697000,7.559,7.44133,Clear,0,889.399,96.651,8
2023-06-28,21:06:22.797000,7.388,7.26826,Clear,0,889.147,96.609,8
2023-06-28,21:06:22.897000,7.447,7.32578,Clear,0,888.896,96.568,8
2023-06-28,21:06:22.997000,6.826,6.70337,Clear,0,888.645,96.526,8
2023-06-28,21:06:23.097000,6.628,6.50369,Clear,0,888.394,96.484,8
2023-06-28,21:06:23.197000,6.055,5.92853,Clear,0,888.145,96.443,8
2023-06-28,21:06:23.297000,5.759,5.63172,Clear,0,887.895,96.401,8
2023-06-28,21:06:23.397000,5.407,5.2776,Clear,0,887.646,96.359,8
2023-06-28,21:06:23.497000,4.715,4.58534,Clear,0,887.398,96.317,8
2023-06-28,21:06:23.597000,4.299,4.16655,Clear,0,887.15,96.275,8
2023-06-28,21:06:23.697000,3.82,3.68707,Clear,0,886.903,96.234,8
2023-06-28,21:06:23.797000,4.091,3.95601,Clear,0,886.656,96.192,8
2023-06-28,21:06:23.897000,4.922,4.78642,Clear,0,886.41,96.15,8
2023-06-28,21:06:23.997000,5.29,5.15194,Clear,0,886.164,96.108,8
2023-06-28,21:06:24.097000,5.758,5.61855,Clear,0,885.919,96.066,8
2023-06-28,21:06:24.197000,5.959,5.81842,Clear,0,885.674,96.024,8
2023-06-28,21:06:24.297000,6.478,6.33643,Clear,0,885.43,95.982,8
