satellite, 27003 BADR B / PAKI
catalogue, 1 NORAD
track, 2464700
variability, 1 Aperiodic
variability_period, 0.0
npoints, 601
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-09-21,00:54:20.331000,8.313,8.37336,Clear,0,1215.591,66.339,7
2014-09-21,00:54:20.431000,8.224,8.28249,Clear,0,1215.187,66.335,7
2014-09-21,00:54:20.531000,8.522,8.58135,Clear,0,1214.784,66.331,7
2014-09-21,00:54:20.731000,8.304,8.36072,Clear,0,1213.978,66.322,7
2014-09-21,00:54:20.831000,8.364,8.41992,Clear,0,1213.576,66.318,7
2014-09-21,00:54:20.931000,8.377,8.43267,Clear,0,1213.174,66.314,7
2014-09-21,00:54:21.131000,8.24,8.29355,Clear,0,1212.37,66.306,7
2014-09-21,00:54:21.631000,8.292,8.34203,Clear,0,1210.365,66.286,7
2014-09-21,00:54:21.731000,8.305,8.35402,Clear,0,1209.965,66.282,7
2014-09-21,00:54:21.831000,8.277,8.32642,Clear,0,1209.565,66.278,7
2014-09-21,00:54:22.031000,8.38,8.42645,Clear,0,1208.766,66.27,7
2014-09-21,00:54:22.131000,8.378,8.42377,Clear,0,1208.367,66.266,7
2014-09-21,00:54:22.231000,8.156,8.20152,Clear,0,1207.969,66.262,7
2014-09-21,00:54:22.331000,8.176,8.22119,Clear,0,1207.57,66.258,7
2014-09-21,00:54:22.431000,8.193,8.23677,Clear,0,1207.172,66.254,7
2014-09-21,00:54:22.531000,8.367,8.41043,Clear,0,1206.774,66.25,7
2014-09-21,00:54:22.631000,8.406,8.4477,Clear,0,1206.376,66.247,7
2014-09-21,00:54:22.731000,8.257,8.29865,Clear,0,1205.979,66.243,7
2014-09-21,00:54:22.831000,8.295,8.33565,Clear,0,1205.581,66.239,7
2014-09-21,00:54:22.931000,8.21,8.24987,Clear,0,1205.184,66.235,7
2014-09-21,00:54:23.031000,7.95,7.98925,Clear,0,1204.788,66.231,7
2014-09-21,00:54:23.131000,8.022,8.06109,Clear,0,1204.391,66.227,7
2014-09-21,00:54:23.331000,8.272,8.30849,Clear,0,1203.599,66.219,7
2014-09-21,00:54:23.431000,8.284,8.31981,Clear,0,1203.204,66.215,7
2014-09-21,00:54:23.531000,8.044,8.07997,Clear,0,1202.809,66.211,7
2014-09-21,00:54:23.631000,8.067,8.10214,Clear,0,1202.414,66.207,7
2014-09-21,00:54:23.731000,8.165,8.19865,Clear,0,1202.019,66.203,7
2014-09-21,00:54:23.831000,7.929,7.96238,Clear,0,1201.624,66.199,7
2014-09-21,00:54:23.931000,7.967,7.99982,Clear,0,1201.23,66.195,7
