satellite, 11080 NIMBUS 7 / US
catalogue, 1 NORAD
track, 25257200
variability, 1 Aperiodic
variability_period, 0.0
npoints, 559
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2023-08-05,17:44:12.499000,7.854,7.82958,Clear,0,992.507,89.464,5
2023-08-05,17:44:12.599000,7.911,7.88703,Clear,0,992.623,89.45,5
2023-08-05,17:44:12.699000,8.017,7.99335,Clear,0,992.74,89.436,5
2023-08-05,17:44:12.799000,7.877,7.85264,Clear,0,992.858,89.421,5
2023-08-05,17:44:12.899000,7.911,7.88678,Clear,0,992.976,89.407,5
2023-08-05,17:44:12.999000,7.875,7.85068,Clear,0,993.094,89.393,5
2023-08-05,17:44:13.099000,7.99,7.96578,Clear,0,993.213,89.379,5
2023-08-05,17:44:13.199000,7.861,7.83705,Clear,0,993.332,89.364,5
2023-08-05,17:44:13.299000,7.854,7.8303,Clear,0,993.452,89.35,5
2023-08-05,17:44:13.399000,8.047,8.02336,Clear,0,993.572,89.336,5
2023-08-05,17:44:13.499000,7.907,7.88274,Clear,0,993.693,89.322,5
2023-08-05,17:44:13.599000,7.77,7.74573,Clear,0,993.814,89.308,5
2023-08-05,17:44:13.699000,7.74,7.71613,Clear,0,993.936,89.293,5
2023-08-05,17:44:13.799000,7.653,7.62887,Clear,0,994.058,89.279,5
2023-08-05,17:44:13.899000,7.728,7.70386,Clear,0,994.181,89.265,5
2023-08-05,17:44:13.999000,7.768,7.74417,Clear,0,994.304,89.251,5
2023-08-05,17:44:14.099000,7.618,7.5941,Clear,0,994.428,89.237,5
2023-08-05,17:44:14.199000,7.627,7.60303,Clear,0,994.552,89.222,5
2023-08-05,17:44:14.299000,7.688,7.66355,Clear,0,994.677,89.208,5
2023-08-05,17:44:14.399000,7.766,7.74196,Clear,0,994.802,89.194,5
2023-08-05,17:44:14.499000,7.68,7.65575,Clear,0,994.927,89.18,5
2023-08-05,17:44:14.599000,7.715,7.69047,Clear,0,995.053,89.166,5
2023-08-05,17:44:14.699000,7.629,7.60479,Clear,0,995.18,89.152,5
2023-08-05,17:44:14.799000,7.78,7.75578,Clear,0,995.307,89.138,5
2023-08-05,17:44:14.899000,7.572,7.54792,Clear,0,995.434,89.123,5
2023-08-05,17:44:14.999000,7.665,7.64091,Clear,0,995.562,89.109,5
2023-08-05,17:44:15.099000,7.748,7.72351,Clear,0,995.691,89.095,5
2023-08-05,17:44:15.199000,7.552,7.52791,Clear,0,995.819,89.081,5
2023-08-05,17:44:15.299000,7.672,7.64821,Clear,0,995.949,89.067,5
2023-08-05,17:44:15.399000,7.709,7.68457,Clear,0,996.079,89.053,5
2023-08-05,17:44:15.499000,7.561,7.53723,Clear,0,996.209,89.039,5
2023-08-05,17:44:15.599000,7.647,7.6227,Clear,0,996.34,89.025,5
2023-08-05,17:44:15.699000,7.377,7.35333,Clear,0,996.471,89.01,5
2023-08-05,17:44:15.799000,7.13,7.1061,Clear,0,996.603,88.996,5
2023-08-05,17:44:15.899000,7.325,7.30059,Clear,0,996.735,88.982,5
2023-08-05,17:44:15.999000,7.421,7.39738,Clear,0,996.868,88.968,5
2023-08-05,17:44:16.099000,7.517,7.493,Clear,0,997.001,88.954,5
2023-08-05,17:44:16.199000,7.474,7.44989,Clear,0,997.134,88.94,5
2023-08-05,17:44:16.299000,7.673,7.64924,Clear,0,997.268,88.926,5
2023-08-05,17:44:16.399000,7.512,7.48894,Clear,0,997.403,88.912,5
2023-08-05,17:44:16.499000,7.461,7.43757,Clear,0,997.538,88.898,5
2023-08-05,17:44:16.599000,7.598,7.57477,Clear,0,997.673,88.884,5
2023-08-05,17:44:16.699000,7.476,7.45261,Clear,0,997.809,88.87,5
2023-08-05,17:44:16.799000,7.547,7.52399,Clear,0,997.946,88.856,5
2023-08-05,17:44:16.899000,7.496,7.47305,Clear,0,998.083,88.842,5
2023-08-05,17:44:16.999000,7.459,7.4359,Clear,0,998.22,88.828,5
2023-08-05,17:44:17.099000,7.515,7.49159,Clear,0,998.358,88.814,5
2023-08-05,17:44:17.199000,7.297,7.27414,Clear,0,998.496,88.799,5
2023-08-05,17:44:17.299000,7.339,7.31594,Clear,0,998.635,88.785,5
2023-08-05,17:44:17.399000,7.149,7.12632,Clear,0,998.774,88.771,5
2023-08-05,17:44:17.499000,7.364,7.34082,Clear,0,998.914,88.757,5
2023-08-05,17:44:17.599000,7.289,7.26623,Clear,0,999.054,88.743,5
2023-08-05,17:44:17.699000,7.216,7.19322,Clear,0,999.195,88.729,5
2023-08-05,17:44:17.799000,7.203,7.18043,Clear,0,999.336,88.715,5
2023-08-05,17:44:17.899000,7.344,7.32135,Clear,0,999.478,88.701,5
2023-08-05,17:44:17.999000,7.187,7.16413,Clear,0,999.62,88.687,5
2023-08-05,17:44:18.099000,7.076,7.05277,Clear,0,999.762,88.673,5
2023-08-05,17:44:18.199000,7.026,7.00273,Clear,0,999.906,88.66,5
2023-08-05,17:44:18.299000,7.033,7.01017,Clear,0,1000.049,88.646,5
2023-08-05,17:44:18.399000,6.92,6.89646,Clear,0,1000.193,88.632,5
2023-08-05,17:44:18.499000,6.983,6.96007,Clear,0,1000.337,88.618,5
2023-08-05,17:44:18.599000,6.873,6.84957,Clear,0,1000.482,88.604,5
2023-08-05,17:44:18.699000,7.023,7.00093,Clear,0,1000.628,88.59,5
2023-08-05,17:44:18.799000,7.079,7.05725,Clear,0,1000.774,88.576,5
2023-08-05,17:44:18.899000,6.922,6.90014,Clear,0,1000.92,88.562,5
2023-08-05,17:44:18.999000,6.854,6.83185,Clear,0,1001.067,88.548,5
2023-08-05,17:44:19.099000,6.936,6.91372,Clear,0,1001.214,88.534,5
2023-08-05,17:44:19.199000,6.91,6.88823,Clear,0,1001.362,88.52,5
2023-08-05,17:44:19.299000,6.8,6.77798,Clear,0,1001.51,88.506,5
2023-08-05,17:44:19.399000,6.767,6.74511,Clear,0,1001.658,88.492,5
2023-08-05,17:44:19.499000,6.773,6.75054,Clear,0,1001.807,88.478,5
2023-08-05,17:44:19.599000,6.798,6.7756,Clear,0,1001.957,88.464,5
