satellite, 56158 CZ-4C R/B / PRC
catalogue, 1 NORAD
track, 25332120
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1189
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2023-08-10,17:53:00.699000,5.135,5.74861,Clear,0,1381.528,85.017,7
2023-08-10,17:53:00.799000,5.0,5.61271,Clear,0,1381.027,85.015,7
2023-08-10,17:53:00.899000,5.074,5.68572,Clear,0,1380.525,85.013,7
2023-08-10,17:53:00.999000,4.923,5.53403,Clear,0,1380.024,85.011,7
2023-08-10,17:53:01.099000,5.004,5.6153,Clear,0,1379.523,85.01,7
2023-08-10,17:53:01.199000,4.942,5.55218,Clear,0,1379.022,85.008,7
2023-08-10,17:53:01.299000,4.904,5.51271,Clear,0,1378.521,85.006,7
2023-08-10,17:53:01.399000,5.042,5.64974,Clear,0,1378.02,85.004,7
2023-08-10,17:53:01.499000,5.023,5.63028,Clear,0,1377.52,85.002,7
2023-08-10,17:53:01.599000,4.945,5.55187,Clear,0,1377.019,85.0,7
2023-08-10,17:53:01.699000,4.885,5.49116,Clear,0,1376.519,84.998,7
2023-08-10,17:53:01.799000,4.91,5.51447,Clear,0,1376.019,84.997,7
2023-08-10,17:53:01.899000,5.001,5.60482,Clear,0,1375.519,84.995,7
2023-08-10,17:53:02.099000,5.053,5.65453,Clear,0,1374.52,84.991,7
2023-08-10,17:53:02.199000,5.044,5.64633,Clear,0,1374.02,84.989,7
2023-08-10,17:53:02.299000,4.98,5.58053,Clear,0,1373.521,84.987,7
2023-08-10,17:53:02.399000,5.11,5.71016,Clear,0,1373.021,84.985,7
2023-08-10,17:53:02.499000,5.081,5.68044,Clear,0,1372.522,84.983,7
2023-08-10,17:53:02.599000,5.059,5.6571,Clear,0,1372.023,84.982,7
2023-08-10,17:53:02.699000,5.153,5.75104,Clear,0,1371.525,84.98,7
2023-08-10,17:53:02.899000,4.979,5.57489,Clear,0,1370.527,84.976,7
2023-08-10,17:53:02.999000,5.052,5.64718,Clear,0,1370.029,84.974,7
