satellite, 192 MIDAS 4 / US
catalogue, 1 NORAD
track, 2540763
variability, 2 Periodic
variability_period, 43.67083248
npoints, 581
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-09-29,22:57:30.895000,6.547,8.99495,Clear,0,3794.984,59.028,1
2014-09-29,22:57:30.995000,6.351,8.799,Clear,0,3795.039,59.034,1
2014-09-29,22:57:31.095000,6.254,8.70169,Clear,0,3795.093,59.04,1
2014-09-29,22:57:31.195000,6.005,8.45285,Clear,0,3795.147,59.045,1
2014-09-29,22:57:31.295000,6.273,8.72144,Clear,0,3795.202,59.051,1
2014-09-29,22:57:31.395000,6.186,8.63345,Clear,0,3795.256,59.057,1
2014-09-29,22:57:31.495000,6.148,8.59629,Clear,0,3795.311,59.063,1
2014-09-29,22:57:31.595000,5.926,8.37524,Clear,0,3795.366,59.069,1
2014-09-29,22:57:31.695000,5.891,8.33983,Clear,0,3795.42,59.075,1
2014-09-29,22:57:31.795000,6.008,8.45671,Clear,0,3795.475,59.081,1
2014-09-29,22:57:31.895000,5.716,8.16456,Clear,0,3795.53,59.087,1
2014-09-29,22:57:31.995000,5.885,8.33404,Clear,0,3795.585,59.093,1
2014-09-29,22:57:32.095000,5.756,8.20526,Clear,0,3795.64,59.099,1
2014-09-29,22:57:32.195000,5.879,8.32796,Clear,0,3795.695,59.105,1
2014-09-29,22:57:32.295000,5.699,8.14762,Clear,0,3795.75,59.11,1
2014-09-29,22:57:32.395000,5.66,8.10871,Clear,0,3795.806,59.116,1
2014-09-29,22:57:32.495000,5.745,8.19345,Clear,0,3795.861,59.122,1
2014-09-29,22:57:32.595000,5.54,7.98875,Clear,0,3795.916,59.128,1
2014-09-29,22:57:32.695000,5.697,8.14697,Clear,0,3795.972,59.134,1
2014-09-29,22:57:32.795000,5.617,8.06731,Clear,0,3796.027,59.14,1
2014-09-29,22:57:32.895000,5.43,7.88036,Clear,0,3796.083,59.146,1
2014-09-29,22:57:32.995000,5.338,7.78774,Clear,0,3796.138,59.152,1
2014-09-29,22:57:33.095000,5.454,7.90421,Clear,0,3796.194,59.158,1
2014-09-29,22:57:33.195000,5.299,7.74873,Clear,0,3796.25,59.164,1
2014-09-29,22:57:33.295000,5.217,7.66683,Clear,0,3796.305,59.17,1
2014-09-29,22:57:33.395000,5.252,7.70175,Clear,0,3796.361,59.176,1
2014-09-29,22:57:33.495000,5.068,7.51763,Clear,0,3796.417,59.181,1
2014-09-29,22:57:33.595000,5.096,7.54617,Clear,0,3796.473,59.187,1
2014-09-29,22:57:33.695000,4.675,7.12638,Clear,0,3796.529,59.193,1
2014-09-29,22:57:33.795000,3.909,6.36027,Clear,0,3796.585,59.199,1
2014-09-29,22:57:33.895000,4.51,6.96084,Clear,0,3796.642,59.205,1
2014-09-29,22:57:33.995000,4.719,7.17028,Clear,0,3796.698,59.211,1
2014-09-29,22:57:34.095000,4.921,7.37165,Clear,0,3796.754,59.217,1
2014-09-29,22:57:34.195000,5.002,7.45276,Clear,0,3796.811,59.223,1
2014-09-29,22:57:34.295000,5.125,7.57567,Clear,0,3796.867,59.229,1
2014-09-29,22:57:34.395000,5.257,7.70838,Clear,0,3796.923,59.235,1
2014-09-29,22:57:34.495000,5.141,7.59197,Clear,0,3796.98,59.241,1
2014-09-29,22:57:34.595000,5.141,7.59148,Clear,0,3797.037,59.247,1
2014-09-29,22:57:34.695000,5.222,7.67276,Clear,0,3797.093,59.252,1
2014-09-29,22:57:34.795000,5.067,7.51845,Clear,0,3797.15,59.258,1
2014-09-29,22:57:34.895000,5.158,7.60946,Clear,0,3797.207,59.264,1
2014-09-29,22:57:34.995000,5.161,7.61336,Clear,0,3797.264,59.27,1
2014-09-29,22:57:35.095000,5.202,7.65389,Clear,0,3797.321,59.276,1
2014-09-29,22:57:35.195000,5.168,7.62012,Clear,0,3797.378,59.282,1
2014-09-29,22:57:35.295000,5.139,7.59082,Clear,0,3797.435,59.288,1
2014-09-29,22:57:35.395000,5.151,7.60272,Clear,0,3797.492,59.294,1
2014-09-29,22:57:35.495000,5.174,7.62636,Clear,0,3797.55,59.3,1
2014-09-29,22:57:35.595000,4.889,7.34133,Clear,0,3797.607,59.306,1
2014-09-29,22:57:35.695000,4.938,7.39006,Clear,0,3797.664,59.312,1
2014-09-29,22:57:35.795000,5.088,7.54107,Clear,0,3797.722,59.318,1
2014-09-29,22:57:35.895000,5.215,7.66782,Clear,0,3797.779,59.324,1
2014-09-29,22:57:35.995000,5.132,7.58474,Clear,0,3797.837,59.329,1
2014-09-29,22:57:36.095000,5.511,7.96353,Clear,0,3797.894,59.335,1
2014-09-29,22:57:36.195000,5.137,7.58984,Clear,0,3797.952,59.341,1
2014-09-29,22:57:36.295000,5.441,7.89345,Clear,0,3798.01,59.347,1
2014-09-29,22:57:36.395000,5.397,7.84954,Clear,0,3798.068,59.353,1
2014-09-29,22:57:36.495000,5.522,7.97528,Clear,0,3798.126,59.359,1
2014-09-29,22:57:36.595000,5.618,8.07085,Clear,0,3798.184,59.365,1
2014-09-29,22:57:36.695000,5.282,7.73519,Clear,0,3798.242,59.371,1
2014-09-29,22:57:36.795000,5.68,8.13424,Clear,0,3798.3,59.377,1
2014-09-29,22:57:36.895000,5.602,8.0562,Clear,0,3798.358,59.383,1
2014-09-29,22:57:36.995000,5.712,8.1656,Clear,0,3798.416,59.389,1
2014-09-29,22:57:37.095000,5.699,8.15302,Clear,0,3798.474,59.395,1
2014-09-29,22:57:37.195000,5.793,8.24689,Clear,0,3798.533,59.401,1
2014-09-29,22:57:37.295000,5.525,7.97875,Clear,0,3798.591,59.407,1
2014-09-29,22:57:37.395000,5.934,8.3879,Clear,0,3798.65,59.413,1
2014-09-29,22:57:37.495000,5.761,8.21492,Clear,0,3798.708,59.418,1
2014-09-29,22:57:37.595000,5.828,8.28177,Clear,0,3798.767,59.424,1
2014-09-29,22:57:37.695000,5.605,8.05909,Clear,0,3798.825,59.43,1
2014-09-29,22:57:37.795000,5.954,8.40759,Clear,0,3798.884,59.436,1
2014-09-29,22:57:37.895000,5.79,8.24465,Clear,0,3798.943,59.442,1
2014-09-29,22:57:37.995000,5.79,8.24536,Clear,0,3799.002,59.448,1
2014-09-29,22:57:38.095000,5.67,8.12493,Clear,0,3799.061,59.454,1
2014-09-29,22:57:38.195000,5.943,8.39823,Clear,0,3799.12,59.46,1
2014-09-29,22:57:38.295000,5.877,8.33227,Clear,0,3799.179,59.466,1
2014-09-29,22:57:38.395000,6.119,8.57413,Clear,0,3799.238,59.472,1
2014-09-29,22:57:38.495000,5.927,8.38149,Clear,0,3799.297,59.478,1
2014-09-29,22:57:38.595000,5.897,8.35161,Clear,0,3799.357,59.484,1
2014-09-29,22:57:38.695000,6.217,8.67168,Clear,0,3799.416,59.49,1
2014-09-29,22:57:38.795000,5.932,8.38673,Clear,0,3799.475,59.496,1
2014-09-29,22:57:38.895000,5.656,8.11166,Clear,0,3799.535,59.502,1
2014-09-29,22:57:38.995000,6.06,8.51641,Clear,0,3799.594,59.508,1
2014-09-29,22:57:39.095000,6.141,8.59657,Clear,0,3799.654,59.513,1
2014-09-29,22:57:39.195000,5.898,8.35444,Clear,0,3799.714,59.519,1
2014-09-29,22:57:39.295000,6.32,8.77622,Clear,0,3799.773,59.525,1
2014-09-29,22:57:39.395000,6.049,8.50498,Clear,0,3799.833,59.531,1
2014-09-29,22:57:39.495000,6.224,8.68014,Clear,0,3799.893,59.537,1
2014-09-29,22:57:39.595000,6.089,8.54481,Clear,0,3799.953,59.543,1
2014-09-29,22:57:39.695000,6.362,8.81751,Clear,0,3800.013,59.549,1
