satellite, 57756 WILDFIRE 4 / US
catalogue, 1 NORAD
track, 26075720
variability, 0 Not variable
variability_period, 0.0
npoints, 965
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2023-09-24,00:56:39.099000,6.763,6.27396,Clear,0,1011.597,52.471,3
2023-09-24,00:56:39.199000,6.687,6.19926,Clear,0,1011.819,52.469,3
2023-09-24,00:56:39.299000,6.727,6.23892,Clear,0,1012.041,52.467,3
2023-09-24,00:56:39.399000,6.726,6.23843,Clear,0,1012.264,52.465,3
2023-09-24,00:56:39.499000,6.717,6.23019,Clear,0,1012.487,52.463,3
2023-09-24,00:56:39.599000,6.668,6.18112,Clear,0,1012.71,52.462,3
2023-09-24,00:56:39.699000,6.699,6.2126,Clear,0,1012.934,52.46,3
2023-09-24,00:56:39.799000,6.689,6.20314,Clear,0,1013.158,52.458,3
2023-09-24,00:56:39.899000,6.612,6.12718,Clear,0,1013.383,52.457,3
2023-09-24,00:56:39.999000,6.63,6.14499,Clear,0,1013.608,52.455,3
2023-09-24,00:56:40.099000,6.667,6.1832,Clear,0,1013.833,52.453,3
2023-09-24,00:56:40.199000,6.581,6.09693,Clear,0,1014.059,52.452,3
2023-09-24,00:56:40.299000,6.56,6.07736,Clear,0,1014.285,52.45,3
2023-09-24,00:56:40.399000,6.681,6.19774,Clear,0,1014.512,52.448,3
2023-09-24,00:56:40.499000,6.601,6.11919,Clear,0,1014.739,52.447,3
2023-09-24,00:56:40.599000,6.523,6.04138,Clear,0,1014.967,52.445,3
2023-09-24,00:56:40.699000,6.534,6.05254,Clear,0,1015.194,52.444,3
2023-09-24,00:56:40.799000,6.677,6.19593,Clear,0,1015.423,52.442,3
2023-09-24,00:56:40.899000,6.59,6.10965,Clear,0,1015.652,52.441,3
2023-09-24,00:56:40.999000,6.6,6.11996,Clear,0,1015.881,52.439,3
2023-09-24,00:56:41.099000,6.57,6.08959,Clear,0,1016.11,52.438,3
2023-09-24,00:56:41.199000,6.452,5.97309,Clear,0,1016.34,52.437,3
2023-09-24,00:56:41.299000,6.497,6.0181,Clear,0,1016.571,52.435,3
2023-09-24,00:56:41.399000,6.618,6.13998,Clear,0,1016.801,52.434,3
2023-09-24,00:56:41.499000,6.492,6.01389,Clear,0,1017.033,52.432,3
2023-09-24,00:56:41.599000,6.513,6.03594,Clear,0,1017.264,52.431,3
2023-09-24,00:56:41.699000,6.538,6.06057,Clear,0,1017.496,52.43,3
2023-09-24,00:56:41.799000,6.503,6.02646,Clear,0,1017.728,52.428,3
2023-09-24,00:56:41.899000,6.535,6.05904,Clear,0,1017.961,52.427,3
2023-09-24,00:56:41.999000,6.545,6.06953,Clear,0,1018.195,52.426,3
2023-09-24,00:56:42.099000,6.447,5.97169,Clear,0,1018.428,52.425,3
2023-09-24,00:56:42.199000,6.473,5.9989,Clear,0,1018.662,52.423,3
2023-09-24,00:56:42.299000,6.519,6.045,Clear,0,1018.897,52.422,3
2023-09-24,00:56:42.399000,6.468,5.99503,Clear,0,1019.131,52.421,3
2023-09-24,00:56:42.499000,6.503,6.03015,Clear,0,1019.367,52.42,3
2023-09-24,00:56:42.599000,6.405,5.93272,Clear,0,1019.602,52.419,3
2023-09-24,00:56:42.699000,6.425,5.95338,Clear,0,1019.838,52.418,3
2023-09-24,00:56:42.799000,6.512,6.04051,Clear,0,1020.075,52.417,3
2023-09-24,00:56:42.899000,6.411,5.93976,Clear,0,1020.312,52.416,3
2023-09-24,00:56:42.999000,6.535,6.06519,Clear,0,1020.549,52.414,3
2023-09-24,00:56:43.099000,6.561,6.09072,Clear,0,1020.786,52.413,3
2023-09-24,00:56:43.199000,6.526,6.05668,Clear,0,1021.025,52.412,3
2023-09-24,00:56:43.299000,6.446,5.97709,Clear,0,1021.263,52.411,3
2023-09-24,00:56:43.399000,6.518,6.04945,Clear,0,1021.502,52.41,3
2023-09-24,00:56:43.499000,6.504,6.03589,Clear,0,1021.741,52.41,3
2023-09-24,00:56:43.599000,6.456,5.98935,Clear,0,1021.981,52.409,3
2023-09-24,00:56:43.699000,6.478,6.01142,Clear,0,1022.221,52.408,3
2023-09-24,00:56:43.799000,6.397,5.93109,Clear,0,1022.461,52.407,3
2023-09-24,00:56:43.899000,6.529,6.06309,Clear,0,1022.702,52.406,3
2023-09-24,00:56:43.999000,6.486,6.02091,Clear,0,1022.943,52.405,3
2023-09-24,00:56:44.099000,6.503,6.0375,Clear,0,1023.185,52.404,3
2023-09-24,00:56:44.199000,6.492,6.02756,Clear,0,1023.427,52.403,3
2023-09-24,00:56:44.299000,6.498,6.03414,Clear,0,1023.67,52.403,3
2023-09-24,00:56:44.399000,6.422,5.95882,Clear,0,1023.912,52.402,3
2023-09-24,00:56:44.499000,6.461,5.99803,Clear,0,1024.156,52.401,3
2023-09-24,00:56:44.599000,6.47,6.00809,Clear,0,1024.399,52.4,3
2023-09-24,00:56:44.699000,6.506,6.04353,Clear,0,1024.643,52.4,3
2023-09-24,00:56:44.799000,6.512,6.05138,Clear,0,1024.888,52.399,3
2023-09-24,00:56:44.899000,6.526,6.06519,Clear,0,1025.133,52.398,3
2023-09-24,00:56:44.999000,6.483,6.0226,Clear,0,1025.378,52.398,3
2023-09-24,00:56:45.099000,6.462,6.00196,Clear,0,1025.624,52.397,3
2023-09-24,00:56:45.299000,6.461,6.00181,Clear,0,1026.116,52.396,3
2023-09-24,00:56:45.399000,6.408,5.95041,Clear,0,1026.363,52.395,3
2023-09-24,00:56:45.499000,6.501,6.04278,Clear,0,1026.61,52.395,3
2023-09-24,00:56:45.599000,6.555,6.09838,Clear,0,1026.858,52.394,3
2023-09-24,00:56:45.699000,6.42,5.96257,Clear,0,1027.106,52.394,3
2023-09-24,00:56:45.799000,6.455,5.99871,Clear,0,1027.354,52.393,3
2023-09-24,00:56:45.899000,6.5,6.04424,Clear,0,1027.603,52.393,3
2023-09-24,00:56:45.999000,6.496,6.04132,Clear,0,1027.852,52.392,3
2023-09-24,00:56:46.099000,6.475,6.02057,Clear,0,1028.102,52.392,3
2023-09-24,00:56:46.199000,6.469,6.01456,Clear,0,1028.352,52.391,3
2023-09-24,00:56:46.299000,6.423,5.96999,Clear,0,1028.602,52.391,3
2023-09-24,00:56:46.399000,6.449,5.9959,Clear,0,1028.853,52.391,3
2023-09-24,00:56:46.499000,6.468,6.01574,Clear,0,1029.104,52.39,3
2023-09-24,00:56:46.599000,6.484,6.03214,Clear,0,1029.355,52.39,3
2023-09-24,00:56:46.699000,6.583,6.13229,Clear,0,1029.607,52.389,3
2023-09-24,00:56:46.799000,6.495,6.04364,Clear,0,1029.86,52.389,3
2023-09-24,00:56:46.899000,6.51,6.05996,Clear,0,1030.112,52.389,3
2023-09-24,00:56:46.999000,6.505,6.05454,Clear,0,1030.366,52.389,3
2023-09-24,00:56:47.099000,6.451,6.00191,Clear,0,1030.619,52.388,3
2023-09-24,00:56:47.199000,6.457,6.0079,Clear,0,1030.873,52.388,3
2023-09-24,00:56:47.299000,6.44,5.9919,Clear,0,1031.127,52.388,3
2023-09-24,00:56:47.399000,6.497,6.04885,Clear,0,1031.382,52.388,3
2023-09-24,00:56:47.499000,6.502,6.05464,Clear,0,1031.637,52.388,3
2023-09-24,00:56:47.599000,6.397,5.95009,Clear,0,1031.892,52.387,3
2023-09-24,00:56:47.699000,6.334,5.88779,Clear,0,1032.148,52.387,3
2023-09-24,00:56:47.799000,6.449,6.00429,Clear,0,1032.405,52.387,3
2023-09-24,00:56:47.899000,6.422,5.97704,Clear,0,1032.661,52.387,3
2023-09-24,00:56:48.099000,6.475,6.03079,Clear,0,1033.176,52.387,3
2023-09-24,00:56:48.199000,6.517,6.07362,Clear,0,1033.433,52.387,3
2023-09-24,00:56:48.299000,6.383,5.93967,Clear,0,1033.692,52.387,3
2023-09-24,00:56:48.399000,6.541,6.09892,Clear,0,1033.95,52.387,3
2023-09-24,00:56:48.499000,6.487,6.04495,Clear,0,1034.209,52.387,3
2023-09-24,00:56:48.599000,6.565,6.12416,Clear,0,1034.468,52.387,3
2023-09-24,00:56:48.699000,6.399,5.95761,Clear,0,1034.728,52.387,3
2023-09-24,00:56:48.799000,6.392,5.95171,Clear,0,1034.988,52.387,3
2023-09-24,00:56:48.899000,6.432,5.99344,Clear,0,1035.249,52.387,3
2023-09-24,00:56:49.099000,6.457,6.01909,Clear,0,1035.771,52.387,3
2023-09-24,00:56:49.199000,6.495,6.05673,Clear,0,1036.032,52.388,3
2023-09-24,00:56:49.299000,6.432,5.99542,Clear,0,1036.294,52.388,3
2023-09-24,00:56:49.399000,6.495,6.05755,Clear,0,1036.557,52.388,3
2023-09-24,00:56:49.499000,6.505,6.06855,Clear,0,1036.82,52.388,3
2023-09-24,00:56:49.599000,6.523,6.08672,Clear,0,1037.083,52.388,3
2023-09-24,00:56:49.699000,6.512,6.07684,Clear,0,1037.346,52.389,3
2023-09-24,00:56:49.799000,6.43,5.99542,Clear,0,1037.61,52.389,3
