satellite, 50490 ONEWEB-0413 / UK
catalogue, 1 NORAD
track, 27075066
variability, 0 Not variable
variability_period, 0.0
npoints, 645
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2023-12-11,02:26:36.794000,8.008,8.27447,Clear,0,1244.276,77.66,6
2023-12-11,02:26:36.894000,7.925,8.1924,Clear,0,1244.41,77.655,6
2023-12-11,02:26:36.994000,7.847,8.11367,Clear,0,1244.544,77.65,6
2023-12-11,02:26:37.094000,8.06,8.32679,Clear,0,1244.678,77.645,6
2023-12-11,02:26:37.194000,8.024,8.29187,Clear,0,1244.813,77.64,6
2023-12-11,02:26:37.294000,7.993,8.26047,Clear,0,1244.948,77.635,6
2023-12-11,02:26:37.394000,8.074,8.34243,Clear,0,1245.084,77.63,6
2023-12-11,02:26:37.494000,7.845,8.11336,Clear,0,1245.219,77.625,6
2023-12-11,02:26:37.594000,7.867,8.13514,Clear,0,1245.355,77.62,6
2023-12-11,02:26:37.694000,8.084,8.35185,Clear,0,1245.492,77.615,6
2023-12-11,02:26:37.794000,8.18,8.44832,Clear,0,1245.628,77.61,6
2023-12-11,02:26:37.894000,8.127,8.39586,Clear,0,1245.766,77.605,6
2023-12-11,02:26:37.994000,7.997,8.2664,Clear,0,1245.903,77.6,6
2023-12-11,02:26:38.094000,8.05,8.31869,Clear,0,1246.041,77.595,6
2023-12-11,02:26:38.194000,8.029,8.29762,Clear,0,1246.179,77.59,6
2023-12-11,02:26:38.294000,8.099,8.36786,Clear,0,1246.317,77.585,6
2023-12-11,02:26:38.394000,7.929,8.19764,Clear,0,1246.456,77.58,6
2023-12-11,02:26:38.494000,7.993,8.26291,Clear,0,1246.595,77.575,6
2023-12-11,02:26:38.594000,7.945,8.21451,Clear,0,1246.735,77.57,6
2023-12-11,02:26:38.694000,8.15,8.41975,Clear,0,1246.875,77.565,6
2023-12-11,02:26:38.794000,8.109,8.37943,Clear,0,1247.015,77.56,6
2023-12-11,02:26:38.894000,7.993,8.26291,Clear,0,1247.155,77.555,6
2023-12-11,02:26:38.994000,8.048,8.31759,Clear,0,1247.296,77.55,6
2023-12-11,02:26:39.094000,7.972,8.24288,Clear,0,1247.437,77.545,6
2023-12-11,02:26:39.194000,7.885,8.15579,Clear,0,1247.579,77.541,6
2023-12-11,02:26:39.294000,8.17,8.44131,Clear,0,1247.72,77.536,6
2023-12-11,02:26:39.394000,7.873,8.14417,Clear,0,1247.863,77.531,6
2023-12-11,02:26:39.494000,8.012,8.28332,Clear,0,1248.005,77.526,6
2023-12-11,02:26:39.594000,8.118,8.38918,Clear,0,1248.148,77.521,6
2023-12-11,02:26:39.694000,7.986,8.25804,Clear,0,1248.291,77.516,6
2023-12-11,02:26:39.794000,8.269,8.54061,Clear,0,1248.435,77.511,6
2023-12-11,02:26:39.894000,7.832,8.10369,Clear,0,1248.579,77.506,6
2023-12-11,02:26:39.994000,8.081,8.35336,Clear,0,1248.723,77.501,6
2023-12-11,02:26:40.094000,7.923,8.19469,Clear,0,1248.867,77.497,6
2023-12-11,02:26:40.194000,8.096,8.36939,Clear,0,1249.012,77.492,6
2023-12-11,02:26:40.294000,8.234,8.50736,Clear,0,1249.158,77.487,6
2023-12-11,02:26:40.394000,7.862,8.13452,Clear,0,1249.303,77.482,6
2023-12-11,02:26:40.494000,7.881,8.1539,Clear,0,1249.449,77.477,6
2023-12-11,02:26:40.594000,8.03,8.30267,Clear,0,1249.595,77.472,6
2023-12-11,02:26:40.694000,8.066,8.33941,Clear,0,1249.742,77.467,6
2023-12-11,02:26:40.794000,8.273,8.54718,Clear,0,1249.889,77.463,6
2023-12-11,02:26:40.894000,8.195,8.46903,Clear,0,1250.036,77.458,6
2023-12-11,02:26:40.994000,8.084,8.35799,Clear,0,1250.184,77.453,6
2023-12-11,02:26:41.094000,8.023,8.29665,Clear,0,1250.332,77.448,6
2023-12-11,02:26:41.194000,7.997,8.27129,Clear,0,1250.48,77.443,6
2023-12-11,02:26:41.294000,8.172,8.44681,Clear,0,1250.629,77.439,6
2023-12-11,02:26:41.394000,8.104,8.37884,Clear,0,1250.778,77.434,6
2023-12-11,02:26:41.494000,8.138,8.41249,Clear,0,1250.927,77.429,6
2023-12-11,02:26:41.594000,7.85,8.12455,Clear,0,1251.076,77.424,6
2023-12-11,02:26:41.694000,8.12,8.39534,Clear,0,1251.226,77.419,6
2023-12-11,02:26:41.794000,7.809,8.08368,Clear,0,1251.377,77.415,6
2023-12-11,02:26:41.894000,7.952,8.22837,Clear,0,1251.527,77.41,6
2023-12-11,02:26:41.994000,8.045,8.32077,Clear,0,1251.678,77.405,6
2023-12-11,02:26:42.094000,7.995,8.27058,Clear,0,1251.83,77.4,6
2023-12-11,02:26:42.194000,8.092,8.36836,Clear,0,1251.981,77.396,6
2023-12-11,02:26:42.294000,8.066,8.34242,Clear,0,1252.133,77.391,6
2023-12-11,02:26:42.394000,7.771,8.04832,Clear,0,1252.286,77.386,6
2023-12-11,02:26:42.494000,8.011,8.28765,Clear,0,1252.438,77.381,6
2023-12-11,02:26:42.594000,8.102,8.37923,Clear,0,1252.591,77.377,6
2023-12-11,02:26:42.694000,8.184,8.46143,Clear,0,1252.745,77.372,6
2023-12-11,02:26:42.794000,8.146,8.4234,Clear,0,1252.898,77.367,6
2023-12-11,02:26:42.894000,8.185,8.46269,Clear,0,1253.052,77.362,6
2023-12-11,02:26:42.994000,8.072,8.34961,Clear,0,1253.207,77.358,6
2023-12-11,02:26:43.094000,8.077,8.35531,Clear,0,1253.361,77.353,6
2023-12-11,02:26:43.194000,7.87,8.14793,Clear,0,1253.516,77.348,6
2023-12-11,02:26:43.294000,8.133,8.41048,Clear,0,1253.672,77.344,6
2023-12-11,02:26:43.394000,8.073,8.35227,Clear,0,1253.827,77.339,6
2023-12-11,02:26:43.494000,8.255,8.53406,Clear,0,1253.983,77.334,6
2023-12-11,02:26:43.594000,8.084,8.36259,Clear,0,1254.14,77.33,6
2023-12-11,02:26:43.694000,8.182,8.46059,Clear,0,1254.296,77.325,6
2023-12-11,02:26:43.794000,8.14,8.41895,Clear,0,1254.453,77.32,6
2023-12-11,02:26:43.894000,8.065,8.34468,Clear,0,1254.611,77.316,6
2023-12-11,02:26:43.994000,8.051,8.3308,Clear,0,1254.768,77.311,6
2023-12-11,02:26:44.094000,8.092,8.37184,Clear,0,1254.926,77.306,6
2023-12-11,02:26:44.194000,7.874,8.15393,Clear,0,1255.085,77.302,6
2023-12-11,02:26:44.294000,7.968,8.24823,Clear,0,1255.243,77.297,6
2023-12-11,02:26:44.394000,7.985,8.26565,Clear,0,1255.402,77.292,6
2023-12-11,02:26:44.494000,8.12,8.4005,Clear,0,1255.562,77.288,6
2023-12-11,02:26:44.594000,8.294,8.57484,Clear,0,1255.721,77.283,6
2023-12-11,02:26:44.694000,8.211,8.49172,Clear,0,1255.881,77.279,6
2023-12-11,02:26:44.794000,7.945,8.22565,Clear,0,1256.042,77.274,6
2023-12-11,02:26:44.894000,8.075,8.35722,Clear,0,1256.202,77.269,6
2023-12-11,02:26:44.994000,7.928,8.20952,Clear,0,1256.363,77.265,6
2023-12-11,02:26:45.094000,7.842,8.12362,Clear,0,1256.525,77.26,6
2023-12-11,02:26:45.194000,8.405,8.68691,Clear,0,1256.686,77.256,6
2023-12-11,02:26:45.294000,8.067,8.34923,Clear,0,1256.848,77.251,6
2023-12-11,02:26:45.394000,8.226,8.50916,Clear,0,1257.011,77.247,6
2023-12-11,02:26:45.494000,8.063,8.3462,Clear,0,1257.173,77.242,6
2023-12-11,02:26:45.594000,7.917,8.19956,Clear,0,1257.336,77.237,6
2023-12-11,02:26:45.694000,8.018,8.30063,Clear,0,1257.5,77.233,6
2023-12-11,02:26:45.794000,7.996,8.28015,Clear,0,1257.663,77.228,6
2023-12-11,02:26:45.894000,8.021,8.30463,Clear,0,1257.827,77.224,6
2023-12-11,02:26:45.994000,7.986,8.27023,Clear,0,1257.992,77.219,6
2023-12-11,02:26:46.094000,7.956,8.23997,Clear,0,1258.156,77.215,6
2023-12-11,02:26:46.194000,7.991,8.27518,Clear,0,1258.321,77.21,6
2023-12-11,02:26:46.294000,7.965,8.24962,Clear,0,1258.487,77.206,6
2023-12-11,02:26:46.394000,8.167,8.4518,Clear,0,1258.652,77.201,6
2023-12-11,02:26:46.494000,8.29,8.57484,Clear,0,1258.818,77.197,6
2023-12-11,02:26:46.594000,7.802,8.08725,Clear,0,1258.985,77.192,6
2023-12-11,02:26:46.694000,7.909,8.19528,Clear,0,1259.151,77.188,6
2023-12-11,02:26:46.794000,8.014,8.30027,Clear,0,1259.318,77.183,6
2023-12-11,02:26:46.894000,8.088,8.37378,Clear,0,1259.486,77.179,6
2023-12-11,02:26:46.994000,8.163,8.4493,Clear,0,1259.653,77.174,6
2023-12-11,02:26:47.094000,8.011,8.29665,Clear,0,1259.821,77.17,6
2023-12-11,02:26:47.194000,8.1,8.38666,Clear,0,1259.99,77.165,6
2023-12-11,02:26:47.294000,8.033,8.3204,Clear,0,1260.158,77.161,6
2023-12-11,02:26:47.394000,8.061,8.34809,Clear,0,1260.327,77.156,6
2023-12-11,02:26:47.494000,8.175,8.46227,Clear,0,1260.496,77.152,6
2023-12-11,02:26:47.594000,8.044,8.33192,Clear,0,1260.666,77.147,6
2023-12-11,02:26:47.694000,7.826,8.11411,Clear,0,1260.836,77.143,6
2023-12-11,02:26:47.794000,8.163,8.45055,Clear,0,1261.006,77.139,6
2023-12-11,02:26:47.894000,8.385,8.67302,Clear,0,1261.177,77.134,6
2023-12-11,02:26:47.994000,8.284,8.57158,Clear,0,1261.348,77.13,6
2023-12-11,02:26:48.094000,8.267,8.55632,Clear,0,1261.519,77.125,6
2023-12-11,02:26:48.194000,8.108,8.39732,Clear,0,1261.691,77.121,6
2023-12-11,02:26:48.294000,7.998,8.2873,Clear,0,1261.863,77.116,6
2023-12-11,02:26:48.394000,8.14,8.42911,Clear,0,1262.035,77.112,6
2023-12-11,02:26:48.494000,8.151,8.44143,Clear,0,1262.207,77.108,6
2023-12-11,02:26:48.594000,8.353,8.64327,Clear,0,1262.38,77.103,6
2023-12-11,02:26:48.694000,8.032,8.32151,Clear,0,1262.553,77.099,6
2023-12-11,02:26:48.794000,8.151,8.4406,Clear,0,1262.727,77.095,6
2023-12-11,02:26:48.894000,7.982,8.272,Clear,0,1262.901,77.09,6
2023-12-11,02:26:48.994000,8.09,8.38079,Clear,0,1263.075,77.086,6
2023-12-11,02:26:49.094000,8.066,8.35646,Clear,0,1263.25,77.081,6
2023-12-11,02:26:49.194000,8.152,8.44308,Clear,0,1263.424,77.077,6
2023-12-11,02:26:49.294000,7.992,8.28265,Clear,0,1263.6,77.073,6
2023-12-11,02:26:49.394000,8.163,8.45472,Clear,0,1263.775,77.068,6
2023-12-11,02:26:49.494000,8.176,8.46818,Clear,0,1263.951,77.064,6
2023-12-11,02:26:49.594000,8.057,8.34885,Clear,0,1264.127,77.06,6
2023-12-11,02:26:49.694000,7.935,8.22667,Clear,0,1264.304,77.055,6
2023-12-11,02:26:49.794000,7.903,8.19593,Clear,0,1264.481,77.051,6
2023-12-11,02:26:49.894000,8.471,8.76415,Clear,0,1264.658,77.047,6
2023-12-11,02:26:49.994000,7.842,8.13539,Clear,0,1264.835,77.042,6
2023-12-11,02:26:50.094000,8.01,8.30318,Clear,0,1265.013,77.038,6
2023-12-11,02:26:50.194000,8.011,8.305,Clear,0,1265.191,77.034,6
