satellite, 58427 OBJECT C / PRC
catalogue, 1 NORAD
track, 27907716
variability, 0 Not variable
variability_period, 0.0
npoints, 598
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2024-03-11,02:25:12.902000,5.341,6.09437,Clear,0,1235.639,103.586,6
2024-03-11,02:25:13.002000,5.455,6.20918,Clear,0,1235.907,103.611,6
2024-03-11,02:25:13.102000,5.45,6.20504,Clear,0,1236.176,103.635,6
2024-03-11,02:25:13.202000,5.381,6.13728,Clear,0,1236.445,103.66,6
2024-03-11,02:25:13.302000,5.399,6.15593,Clear,0,1236.714,103.684,6
2024-03-11,02:25:13.402000,5.529,6.28696,Clear,0,1236.983,103.709,6
2024-03-11,02:25:13.502000,5.484,6.24296,Clear,0,1237.252,103.733,6
2024-03-11,02:25:13.602000,5.494,6.25378,Clear,0,1237.522,103.757,6
2024-03-11,02:25:13.702000,5.366,6.12733,Clear,0,1237.792,103.782,6
2024-03-11,02:25:13.802000,5.381,6.1425,Clear,0,1238.063,103.806,6
2024-03-11,02:25:13.902000,5.553,6.31638,Clear,0,1238.333,103.831,6
2024-03-11,02:25:14.002000,5.24,6.00386,Clear,0,1238.604,103.855,6
2024-03-11,02:25:14.102000,5.381,6.14691,Clear,0,1238.875,103.879,6
2024-03-11,02:25:14.202000,5.46,6.22653,Clear,0,1239.147,103.904,6
2024-03-11,02:25:14.302000,5.486,6.25383,Clear,0,1239.418,103.928,6
2024-03-11,02:25:14.402000,5.333,6.10181,Clear,0,1239.69,103.952,6
2024-03-11,02:25:14.502000,5.532,6.30237,Clear,0,1239.962,103.977,6
2024-03-11,02:25:14.602000,5.239,6.00965,Clear,0,1240.235,104.001,6
2024-03-11,02:25:14.702000,5.52,6.29179,Clear,0,1240.508,104.025,6
2024-03-11,02:25:14.802000,5.302,6.07467,Clear,0,1240.781,104.05,6
2024-03-11,02:25:14.902000,5.326,6.10022,Clear,0,1241.054,104.074,6
2024-03-11,02:25:15.002000,5.43,6.20528,Clear,0,1241.328,104.098,6
2024-03-11,02:25:15.102000,5.443,6.21942,Clear,0,1241.602,104.122,6
2024-03-11,02:25:15.302000,5.48,6.25831,Clear,0,1242.15,104.171,6
2024-03-11,02:25:15.402000,5.47,6.24907,Clear,0,1242.425,104.195,6
2024-03-11,02:25:15.502000,5.354,6.13395,Clear,0,1242.7,104.219,6
2024-03-11,02:25:15.602000,5.356,6.13801,Clear,0,1242.975,104.244,6
2024-03-11,02:25:15.702000,5.364,6.14686,Clear,0,1243.25,104.268,6
2024-03-11,02:25:15.802000,5.314,6.09841,Clear,0,1243.526,104.292,6
2024-03-11,02:25:15.902000,5.446,6.2308,Clear,0,1243.802,104.316,6
