satellite, 26858 ATLAS 2AS CENTAUR R/B / US
catalogue, 1 NORAD
track, 28257443
variability, 2 Periodic
variability_period, 10.36655172
npoints, 1427
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2024-05-03,21:40:56.495000,4.842,9.29702,Clear,0,10367.854,38.815,4
2024-05-03,21:40:56.595000,4.905,9.35969,Clear,0,10367.808,38.817,4
2024-05-03,21:40:56.695000,4.724,9.17875,Clear,0,10367.761,38.818,4
2024-05-03,21:40:56.795000,5.147,9.60169,Clear,0,10367.715,38.82,4
2024-05-03,21:40:56.895000,4.687,9.14172,Clear,0,10367.668,38.822,4
2024-05-03,21:40:56.995000,4.847,9.30228,Clear,0,10367.622,38.823,4
2024-05-03,21:40:57.095000,4.705,9.16007,Clear,0,10367.575,38.825,4
2024-05-03,21:40:57.195000,4.839,9.29387,Clear,0,10367.529,38.826,4
2024-05-03,21:40:57.295000,4.646,9.10064,Clear,0,10367.483,38.828,4
2024-05-03,21:40:57.395000,4.969,9.42385,Clear,0,10367.436,38.829,4
2024-05-03,21:40:57.495000,4.624,9.07895,Clear,0,10367.39,38.831,4
2024-05-03,21:40:57.595000,4.655,9.11032,Clear,0,10367.343,38.833,4
2024-05-03,21:40:57.695000,4.637,9.09191,Clear,0,10367.297,38.834,4
2024-05-03,21:40:58.298000,5.083,9.53824,Clear,0,10367.017,38.844,4
2024-05-03,21:40:58.798000,5.338,9.79272,Clear,0,10366.785,38.852,4
2024-05-03,21:40:58.998000,5.341,9.79604,Clear,0,10366.692,38.855,4
2024-05-03,21:40:59.098000,5.04,9.49455,Clear,0,10366.646,38.856,4
2024-05-03,21:40:59.198000,4.931,9.38559,Clear,0,10366.599,38.858,4
2024-05-03,21:40:59.398000,5.299,9.75364,Clear,0,10366.507,38.861,4
2024-05-03,21:40:59.698000,5.003,9.45862,Clear,0,10366.368,38.866,4
2024-05-03,21:40:59.998000,4.975,9.43095,Clear,0,10366.229,38.871,4
2024-05-03,21:41:00.098000,5.347,9.80271,Clear,0,10366.182,38.872,4
2024-05-03,21:41:00.298000,4.622,9.07809,Clear,0,10366.09,38.875,4
2024-05-03,21:41:00.398000,4.525,8.98126,Clear,0,10366.044,38.877,4
2024-05-03,21:41:00.498000,5.196,9.65147,Clear,0,10365.997,38.879,4
2024-05-03,21:41:00.998000,5.063,9.51875,Clear,0,10365.766,38.887,4
2024-05-03,21:41:01.098000,5.073,9.5291,Clear,0,10365.72,38.888,4
2024-05-03,21:41:01.198000,5.0,9.45619,Clear,0,10365.674,38.89,4
2024-05-03,21:41:01.298000,4.816,9.27211,Clear,0,10365.627,38.891,4
2024-05-03,21:41:01.398000,5.322,9.7779,Clear,0,10365.581,38.893,4
2024-05-03,21:41:01.498000,5.102,9.55809,Clear,0,10365.535,38.895,4
2024-05-03,21:41:01.598000,4.783,9.23876,Clear,0,10365.489,38.896,4
2024-05-03,21:41:01.698000,4.749,9.20544,Clear,0,10365.442,38.898,4
2024-05-03,21:41:01.798000,4.811,9.26699,Clear,0,10365.396,38.899,4
2024-05-03,21:41:01.898000,4.426,8.88229,Clear,0,10365.35,38.901,4
2024-05-03,21:41:01.998000,4.575,9.0312,Clear,0,10365.304,38.902,4
2024-05-03,21:41:02.098000,4.632,9.08763,Clear,0,10365.258,38.904,4
2024-05-03,21:41:02.198000,4.697,9.15264,Clear,0,10365.212,38.906,4
2024-05-03,21:41:02.298000,4.581,9.03696,Clear,0,10365.165,38.907,4
2024-05-03,21:41:02.398000,4.502,8.95821,Clear,0,10365.119,38.909,4
2024-05-03,21:41:02.498000,4.252,8.70783,Clear,0,10365.073,38.91,4
2024-05-03,21:41:02.598000,4.751,9.20722,Clear,0,10365.027,38.912,4
2024-05-03,21:41:02.698000,4.821,9.27697,Clear,0,10364.981,38.914,4
2024-05-03,21:41:02.798000,5.145,9.6007,Clear,0,10364.935,38.915,4
2024-05-03,21:41:02.898000,4.792,9.24753,Clear,0,10364.889,38.917,4
2024-05-03,21:41:02.998000,5.028,9.48381,Clear,0,10364.842,38.918,4
2024-05-03,21:41:03.098000,4.86,9.31573,Clear,0,10364.796,38.92,4
2024-05-03,21:41:03.198000,4.819,9.27491,Clear,0,10364.75,38.921,4
2024-05-03,21:41:03.298000,4.691,9.14715,Clear,0,10364.704,38.923,4
2024-05-03,21:41:03.398000,4.783,9.23855,Clear,0,10364.658,38.925,4
2024-05-03,21:41:03.498000,4.882,9.33836,Clear,0,10364.612,38.926,4
2024-05-03,21:41:03.698000,4.809,9.26469,Clear,0,10364.52,38.929,4
2024-05-03,21:41:03.998000,4.97,9.42563,Clear,0,10364.381,38.934,4
2024-05-03,21:41:04.198000,4.795,9.25054,Clear,0,10364.289,38.937,4
2024-05-03,21:41:04.598000,5.131,9.58692,Clear,0,10364.105,38.944,4
2024-05-03,21:41:04.698000,4.996,9.45191,Clear,0,10364.059,38.945,4
2024-05-03,21:41:05.398000,5.52,9.97633,Clear,0,10363.737,38.956,4
2024-05-03,21:41:05.698000,4.965,9.42092,Clear,0,10363.599,38.961,4
2024-05-03,21:41:05.898000,4.823,9.27903,Clear,0,10363.507,38.964,4
2024-05-03,21:41:05.998000,5.024,9.48008,Clear,0,10363.461,38.966,4
2024-05-03,21:41:06.098000,5.296,9.75223,Clear,0,10363.416,38.968,4
2024-05-03,21:41:06.298000,5.623,10.079,Clear,0,10363.324,38.971,4
2024-05-03,21:41:06.498000,5.562,10.0183,Clear,0,10363.232,38.974,4
2024-05-03,21:41:06.598000,5.19,9.646,Clear,0,10363.186,38.976,4
2024-05-03,21:41:06.798000,5.039,9.49507,Clear,0,10363.094,38.979,4
2024-05-03,21:41:06.898000,4.913,9.36929,Clear,0,10363.048,38.98,4
2024-05-03,21:41:06.998000,4.926,9.38169,Clear,0,10363.002,38.982,4
2024-05-03,21:41:07.098000,4.882,9.33836,Clear,0,10362.957,38.983,4
2024-05-03,21:41:07.198000,4.926,9.38169,Clear,0,10362.911,38.985,4
2024-05-03,21:41:07.298000,4.702,9.15816,Clear,0,10362.865,38.987,4
2024-05-03,21:41:07.398000,4.567,9.02303,Clear,0,10362.819,38.988,4
2024-05-03,21:41:07.498000,4.323,8.77896,Clear,0,10362.773,38.99,4
2024-05-03,21:41:07.598000,4.577,9.03284,Clear,0,10362.727,38.991,4
2024-05-03,21:41:07.698000,4.69,9.14623,Clear,0,10362.681,38.993,4
2024-05-03,21:41:07.798000,4.998,9.45433,Clear,0,10362.636,38.995,4
2024-05-03,21:41:07.898000,4.808,9.26367,Clear,0,10362.59,38.996,4
2024-05-03,21:41:07.998000,4.777,9.23261,Clear,0,10362.544,38.998,4
2024-05-03,21:41:08.098000,4.952,9.40807,Clear,0,10362.498,38.999,4
2024-05-03,21:41:08.198000,5.29,9.74588,Clear,0,10362.452,39.001,4
2024-05-03,21:41:08.398000,5.145,9.6007,Clear,0,10362.361,39.004,4
2024-05-03,21:41:08.498000,4.692,9.14806,Clear,0,10362.315,39.006,4
2024-05-03,21:41:08.598000,5.409,9.86468,Clear,0,10362.269,39.007,4
2024-05-03,21:41:08.698000,4.904,9.36037,Clear,0,10362.223,39.009,4
2024-05-03,21:41:08.798000,5.319,9.77479,Clear,0,10362.178,39.011,4
2024-05-03,21:41:08.898000,5.088,9.54397,Clear,0,10362.132,39.012,4
2024-05-03,21:41:08.998000,5.189,9.64456,Clear,0,10362.086,39.014,4
2024-05-03,21:41:09.198000,5.463,9.91907,Clear,0,10361.995,39.017,4
2024-05-03,21:41:09.298000,5.087,9.54265,Clear,0,10361.949,39.019,4
2024-05-03,21:41:09.398000,4.861,9.3168,Clear,0,10361.903,39.02,4
2024-05-03,21:41:09.498000,4.812,9.26775,Clear,0,10361.857,39.022,4
2024-05-03,21:41:09.598000,5.171,9.62737,Clear,0,10361.812,39.023,4
2024-05-03,21:41:09.698000,5.612,10.0683,Clear,0,10361.766,39.025,4
2024-05-03,21:41:10.397000,5.775,10.2314,Clear,0,10361.446,39.036,4
2024-05-03,21:41:10.497000,4.984,9.43989,Clear,0,10361.401,39.038,4
2024-05-03,21:41:10.597000,4.832,9.28835,Clear,0,10361.355,39.039,4
2024-05-03,21:41:10.697000,4.606,9.062,Clear,0,10361.309,39.041,4
2024-05-03,21:41:10.797000,4.486,8.94146,Clear,0,10361.264,39.042,4
2024-05-03,21:41:10.897000,4.859,9.31467,Clear,0,10361.218,39.044,4
2024-05-03,21:41:10.997000,4.976,9.43155,Clear,0,10361.173,39.046,4
2024-05-03,21:41:11.197000,5.051,9.50646,Clear,0,10361.081,39.049,4
2024-05-03,21:41:11.397000,5.008,9.46407,Clear,0,10360.99,39.052,4
2024-05-03,21:41:11.497000,5.128,9.58418,Clear,0,10360.944,39.054,4
2024-05-03,21:41:11.597000,4.937,9.39308,Clear,0,10360.899,39.055,4
2024-05-03,21:41:11.697000,4.873,9.32861,Clear,0,10360.853,39.057,4
2024-05-03,21:41:11.897000,4.713,9.16929,Clear,0,10360.762,39.06,4
2024-05-03,21:41:11.997000,4.824,9.27969,Clear,0,10360.716,39.062,4
2024-05-03,21:41:12.097000,4.533,8.98873,Clear,0,10360.671,39.063,4
2024-05-03,21:41:12.197000,4.638,9.09403,Clear,0,10360.625,39.065,4
2024-05-03,21:41:12.297000,4.724,9.18007,Clear,0,10360.58,39.066,4
2024-05-03,21:41:12.397000,4.896,9.35232,Clear,0,10360.534,39.068,4
2024-05-03,21:41:12.497000,4.867,9.3229,Clear,0,10360.489,39.07,4
2024-05-03,21:41:12.597000,4.611,9.06652,Clear,0,10360.443,39.071,4
2024-05-03,21:41:12.697000,4.575,9.03144,Clear,0,10360.398,39.073,4
2024-05-03,21:41:12.797000,4.568,9.02407,Clear,0,10360.352,39.074,4
2024-05-03,21:41:12.897000,4.53,8.98558,Clear,0,10360.307,39.076,4
2024-05-03,21:41:12.997000,4.508,8.96374,Clear,0,10360.261,39.078,4
2024-05-03,21:41:13.097000,4.512,8.96838,Clear,0,10360.216,39.079,4
2024-05-03,21:41:13.197000,4.496,8.95222,Clear,0,10360.17,39.081,4
2024-05-03,21:41:13.297000,4.653,9.10894,Clear,0,10360.125,39.082,4
2024-05-03,21:41:13.397000,4.633,9.08882,Clear,0,10360.079,39.084,4
2024-05-03,21:41:13.497000,4.849,9.30478,Clear,0,10360.034,39.086,4
2024-05-03,21:41:13.597000,4.634,9.08969,Clear,0,10359.988,39.087,4
2024-05-03,21:41:13.697000,5.075,9.53079,Clear,0,10359.943,39.089,4
2024-05-03,21:41:13.797000,5.35,9.80644,Clear,0,10359.897,39.09,4
2024-05-03,21:41:13.897000,4.848,9.30372,Clear,0,10359.852,39.092,4
2024-05-03,21:41:13.997000,5.379,9.83535,Clear,0,10359.806,39.093,4
2024-05-03,21:41:14.097000,5.345,9.80142,Clear,0,10359.761,39.095,4
2024-05-03,21:41:14.497000,5.393,9.84923,Clear,0,10359.579,39.101,4
2024-05-03,21:41:14.597000,5.008,9.46389,Clear,0,10359.534,39.103,4
2024-05-03,21:41:14.697000,5.244,9.69946,Clear,0,10359.488,39.105,4
2024-05-03,21:41:14.797000,4.999,9.45536,Clear,0,10359.443,39.106,4
2024-05-03,21:41:15.597000,4.863,9.31861,Clear,0,10359.08,39.119,4
2024-05-03,21:41:15.797000,5.383,9.8388,Clear,0,10358.989,39.122,4
2024-05-03,21:41:15.897000,5.467,9.92326,Clear,0,10358.944,39.124,4
2024-05-03,21:41:16.397000,5.332,9.78814,Clear,0,10358.717,39.132,4
2024-05-03,21:41:16.497000,4.563,9.01918,Clear,0,10358.672,39.133,4
2024-05-03,21:41:16.597000,4.871,9.32721,Clear,0,10358.626,39.135,4
2024-05-03,21:41:16.797000,4.865,9.32075,Clear,0,10358.536,39.138,4
2024-05-03,21:41:16.897000,5.15,9.60625,Clear,0,10358.491,39.14,4
2024-05-03,21:41:16.997000,5.12,9.57598,Clear,0,10358.445,39.141,4
2024-05-03,21:41:17.097000,4.945,9.40088,Clear,0,10358.4,39.143,4
2024-05-03,21:41:17.197000,4.904,9.36008,Clear,0,10358.355,39.145,4
2024-05-03,21:41:17.297000,4.714,9.16975,Clear,0,10358.309,39.146,4
2024-05-03,21:41:17.397000,4.831,9.28695,Clear,0,10358.264,39.148,4
2024-05-03,21:41:17.497000,4.839,9.2953,Clear,0,10358.219,39.149,4
2024-05-03,21:41:17.597000,4.566,9.02163,Clear,0,10358.174,39.151,4
2024-05-03,21:41:17.697000,4.9,9.35564,Clear,0,10358.128,39.153,4
2024-05-03,21:41:17.797000,4.552,9.00787,Clear,0,10358.083,39.154,4
2024-05-03,21:41:17.897000,4.339,8.79527,Clear,0,10358.038,39.156,4
2024-05-03,21:41:17.997000,4.636,9.0923,Clear,0,10357.993,39.157,4
2024-05-03,21:41:18.097000,4.951,9.40667,Clear,0,10357.948,39.159,4
2024-05-03,21:41:18.197000,4.856,9.3122,Clear,0,10357.902,39.161,4
2024-05-03,21:41:18.297000,4.591,9.04717,Clear,0,10357.857,39.162,4
