satellite, 58425 OBJECT A / PRC
catalogue, 1 NORAD
track, 28683961
variability, 0 Not variable
variability_period, 0.0
npoints, 562
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2024-06-16,20:13:24.001000,5.095,5.40237,Unknown,0,1187.235,86.292,7
2024-06-16,20:13:24.101000,5.013,5.31884,Unknown,0,1187.004,86.269,7
2024-06-16,20:13:24.201000,5.059,5.36499,Unknown,0,1186.773,86.246,7
2024-06-16,20:13:24.301000,4.945,5.25016,Unknown,0,1186.543,86.223,7
2024-06-16,20:13:24.401000,4.902,5.20616,Unknown,0,1186.313,86.201,7
2024-06-16,20:13:24.501000,4.877,5.18021,Unknown,0,1186.083,86.178,7
2024-06-16,20:13:24.601000,4.991,5.29341,Unknown,0,1185.854,86.155,7
2024-06-16,20:13:24.701000,4.964,5.2653,Unknown,0,1185.625,86.132,7
2024-06-16,20:13:24.801000,4.867,5.16778,Unknown,0,1185.396,86.109,7
2024-06-16,20:13:24.901000,4.803,5.10339,Unknown,0,1185.167,86.087,7
2024-06-16,20:13:25.001000,4.832,5.13045,Unknown,0,1184.939,86.064,7
2024-06-16,20:13:25.101000,4.885,5.18282,Unknown,0,1184.711,86.041,7
2024-06-16,20:13:25.201000,4.868,5.16542,Unknown,0,1184.484,86.018,7
2024-06-16,20:13:25.301000,4.859,5.15557,Unknown,0,1184.257,85.995,7
2024-06-16,20:13:25.401000,4.821,5.11723,Unknown,0,1184.03,85.972,7
2024-06-16,20:13:25.501000,4.846,5.14128,Unknown,0,1183.803,85.949,7
2024-06-16,20:13:25.601000,4.797,5.09048,Unknown,0,1183.577,85.926,7
2024-06-16,20:13:25.701000,4.806,5.09875,Unknown,0,1183.35,85.904,7
2024-06-16,20:13:25.801000,4.781,5.07316,Unknown,0,1183.125,85.881,7
2024-06-16,20:13:25.901000,4.761,5.05247,Unknown,0,1182.899,85.858,7
2024-06-16,20:13:26.001000,4.862,5.15252,Unknown,0,1182.674,85.835,7
2024-06-16,20:13:26.101000,4.875,5.16536,Unknown,0,1182.449,85.812,7
2024-06-16,20:13:26.201000,4.848,5.13677,Unknown,0,1182.225,85.789,7
2024-06-16,20:13:26.301000,4.774,5.0623,Unknown,0,1182.0,85.766,7
2024-06-16,20:13:26.401000,4.854,5.14195,Unknown,0,1181.777,85.743,7
2024-06-16,20:13:26.501000,4.768,5.05529,Unknown,0,1181.553,85.72,7
2024-06-16,20:13:26.601000,4.74,5.02602,Unknown,0,1181.33,85.697,7
2024-06-16,20:13:26.701000,4.759,5.04404,Unknown,0,1181.107,85.674,7
2024-06-16,20:13:26.801000,4.76,5.0438,Unknown,0,1180.884,85.651,7
2024-06-16,20:13:26.901000,4.78,5.06284,Unknown,0,1180.661,85.628,7
2024-06-16,20:13:27.001000,4.777,5.05985,Unknown,0,1180.439,85.605,7
2024-06-16,20:13:27.101000,4.779,5.06054,Unknown,0,1180.218,85.582,7
2024-06-16,20:13:27.201000,4.748,5.02865,Unknown,0,1179.996,85.559,7
2024-06-16,20:13:27.301000,4.774,5.05415,Unknown,0,1179.775,85.536,7
2024-06-16,20:13:27.401000,4.791,5.07003,Unknown,0,1179.554,85.513,7
2024-06-16,20:13:27.501000,4.796,5.07479,Unknown,0,1179.333,85.49,7
2024-06-16,20:13:27.601000,4.749,5.02743,Unknown,0,1179.113,85.467,7
2024-06-16,20:13:27.701000,4.735,5.01165,Unknown,0,1178.893,85.444,7
2024-06-16,20:13:27.801000,4.733,5.00944,Unknown,0,1178.674,85.421,7
2024-06-16,20:13:27.901000,4.81,5.08508,Unknown,0,1178.454,85.398,7
2024-06-16,20:13:28.001000,4.795,5.06957,Unknown,0,1178.235,85.375,7
2024-06-16,20:13:28.101000,4.74,5.01417,Unknown,0,1178.016,85.352,7
2024-06-16,20:13:28.201000,4.785,5.05761,Unknown,0,1177.798,85.329,7
2024-06-16,20:13:28.301000,4.77,5.04166,Unknown,0,1177.58,85.306,7
2024-06-16,20:13:28.401000,4.716,4.98666,Unknown,0,1177.362,85.283,7
2024-06-16,20:13:28.501000,4.754,5.02497,Unknown,0,1177.145,85.26,7
2024-06-16,20:13:28.601000,4.713,4.98254,Unknown,0,1176.927,85.237,7
2024-06-16,20:13:28.701000,4.733,5.00207,Unknown,0,1176.711,85.213,7
2024-06-16,20:13:28.801000,4.757,5.02506,Unknown,0,1176.494,85.19,7
2024-06-16,20:13:28.901000,4.706,4.97284,Unknown,0,1176.278,85.167,7
2024-06-16,20:13:29.001000,4.696,4.96327,Unknown,0,1176.062,85.144,7
2024-06-16,20:13:29.101000,4.692,4.95834,Unknown,0,1175.846,85.121,7
2024-06-16,20:13:29.201000,4.702,4.96699,Unknown,0,1175.631,85.098,7
2024-06-16,20:13:29.301000,4.69,4.95397,Unknown,0,1175.416,85.075,7
2024-06-16,20:13:29.401000,4.733,4.99564,Unknown,0,1175.201,85.051,7
2024-06-16,20:13:29.501000,4.67,4.93311,Unknown,0,1174.987,85.028,7
2024-06-16,20:13:29.601000,4.7,4.96164,Unknown,0,1174.773,85.005,7
2024-06-16,20:13:29.701000,4.64,4.90061,Unknown,0,1174.559,84.982,7
2024-06-16,20:13:29.801000,4.712,4.97238,Unknown,0,1174.346,84.959,7
2024-06-16,20:13:29.901000,4.694,4.95249,Unknown,0,1174.132,84.936,7
2024-06-16,20:13:30.001000,4.664,4.92342,Unknown,0,1173.92,84.912,7
2024-06-16,20:13:30.101000,4.717,4.97491,Unknown,0,1173.707,84.889,7
2024-06-16,20:13:30.201000,4.722,4.97845,Unknown,0,1173.495,84.866,7
2024-06-16,20:13:30.301000,4.667,4.92263,Unknown,0,1173.283,84.843,7
2024-06-16,20:13:30.401000,4.748,5.00279,Unknown,0,1173.071,84.82,7
2024-06-16,20:13:30.501000,4.685,4.94006,Unknown,0,1172.86,84.796,7
2024-06-16,20:13:30.601000,4.699,4.95294,Unknown,0,1172.649,84.773,7
2024-06-16,20:13:30.701000,4.76,5.01316,Unknown,0,1172.438,84.75,7
2024-06-16,20:13:30.801000,4.728,4.97997,Unknown,0,1172.228,84.727,7
2024-06-16,20:13:30.901000,4.748,4.99911,Unknown,0,1172.018,84.703,7
2024-06-16,20:13:31.001000,4.712,4.96257,Unknown,0,1171.808,84.68,7
2024-06-16,20:13:31.101000,4.692,4.94214,Unknown,0,1171.599,84.657,7
2024-06-16,20:13:31.201000,4.73,4.97856,Unknown,0,1171.39,84.633,7
2024-06-16,20:13:31.301000,4.715,4.96319,Unknown,0,1171.181,84.61,7
2024-06-16,20:13:31.401000,4.659,4.90629,Unknown,0,1170.973,84.587,7
2024-06-16,20:13:31.501000,4.771,5.01804,Unknown,0,1170.765,84.564,7
2024-06-16,20:13:31.601000,4.714,4.95967,Unknown,0,1170.557,84.54,7
2024-06-16,20:13:31.701000,4.736,4.98081,Unknown,0,1170.349,84.517,7
2024-06-16,20:13:31.801000,4.721,4.96513,Unknown,0,1170.142,84.494,7
2024-06-16,20:13:31.901000,4.781,5.02464,Unknown,0,1169.935,84.47,7
2024-06-16,20:13:32.001000,4.724,4.96728,Unknown,0,1169.729,84.447,7
2024-06-16,20:13:32.101000,4.679,4.92104,Unknown,0,1169.522,84.424,7
2024-06-16,20:13:32.201000,4.711,4.9518,Unknown,0,1169.316,84.4,7
2024-06-16,20:13:32.301000,4.645,4.88468,Unknown,0,1169.111,84.377,7
2024-06-16,20:13:32.401000,4.603,4.84284,Unknown,0,1168.905,84.354,7
2024-06-16,20:13:32.501000,4.666,4.90497,Unknown,0,1168.7,84.33,7
2024-06-16,20:13:32.601000,4.736,4.97358,Unknown,0,1168.496,84.307,7
2024-06-16,20:13:32.701000,4.652,4.88886,Unknown,0,1168.291,84.284,7
2024-06-16,20:13:32.801000,4.771,5.00684,Unknown,0,1168.087,84.26,7
2024-06-16,20:13:32.901000,4.647,4.88249,Unknown,0,1167.884,84.237,7
2024-06-16,20:13:33.001000,4.72,4.95475,Unknown,0,1167.68,84.213,7
2024-06-16,20:13:33.101000,4.663,4.89721,Unknown,0,1167.477,84.19,7
2024-06-16,20:13:33.201000,4.739,4.97199,Unknown,0,1167.274,84.167,7
2024-06-16,20:13:33.301000,4.64,4.8728,Unknown,0,1167.072,84.143,7
2024-06-16,20:13:33.401000,4.68,4.91165,Unknown,0,1166.87,84.12,7
2024-06-16,20:13:33.501000,4.67,4.9013,Unknown,0,1166.668,84.096,7
2024-06-16,20:13:33.601000,4.674,4.90358,Unknown,0,1166.466,84.073,7
2024-06-16,20:13:33.701000,4.696,4.92517,Unknown,0,1166.265,84.049,7
2024-06-16,20:13:33.801000,4.622,4.8508,Unknown,0,1166.064,84.026,7
2024-06-16,20:13:33.901000,4.727,4.95472,Unknown,0,1165.864,84.003,7
2024-06-16,20:13:34.001000,4.729,4.95633,Unknown,0,1165.663,83.979,7
2024-06-16,20:13:34.101000,4.712,4.93836,Unknown,0,1165.464,83.956,7
2024-06-16,20:13:34.201000,4.739,4.96523,Unknown,0,1165.264,83.932,7
2024-06-16,20:13:34.301000,4.613,4.83817,Unknown,0,1165.065,83.909,7
2024-06-16,20:13:34.401000,4.744,4.96825,Unknown,0,1164.866,83.885,7
2024-06-16,20:13:34.501000,4.729,4.95241,Unknown,0,1164.667,83.862,7
2024-06-16,20:13:34.601000,4.731,4.95421,Unknown,0,1164.469,83.838,7
2024-06-16,20:13:34.701000,4.679,4.90125,Unknown,0,1164.271,83.815,7
2024-06-16,20:13:34.801000,4.636,4.85657,Unknown,0,1164.073,83.791,7
2024-06-16,20:13:34.901000,4.73,4.95039,Unknown,0,1163.876,83.768,7
2024-06-16,20:13:35.001000,4.698,4.91702,Unknown,0,1163.679,83.744,7
2024-06-16,20:13:35.101000,4.621,4.83952,Unknown,0,1163.482,83.721,7
2024-06-16,20:13:35.201000,4.697,4.9153,Unknown,0,1163.285,83.697,7
2024-06-16,20:13:35.301000,4.702,4.91879,Unknown,0,1163.089,83.674,7
2024-06-16,20:13:35.401000,4.739,4.95515,Unknown,0,1162.894,83.65,7
2024-06-16,20:13:35.501000,4.678,4.89422,Unknown,0,1162.698,83.626,7
2024-06-16,20:13:35.601000,4.712,4.9268,Unknown,0,1162.503,83.603,7
2024-06-16,20:13:35.701000,4.603,4.81657,Unknown,0,1162.308,83.579,7
2024-06-16,20:13:35.801000,4.719,4.9318,Unknown,0,1162.114,83.556,7
2024-06-16,20:13:35.901000,4.575,4.78834,Unknown,0,1161.92,83.532,7
2024-06-16,20:13:36.001000,4.655,4.86669,Unknown,0,1161.726,83.509,7
2024-06-16,20:13:36.101000,4.707,4.91807,Unknown,0,1161.532,83.485,7
2024-06-16,20:13:36.201000,4.719,4.92924,Unknown,0,1161.339,83.461,7
2024-06-16,20:13:36.301000,4.701,4.91088,Unknown,0,1161.146,83.438,7
2024-06-16,20:13:36.401000,4.791,5.00004,Unknown,0,1160.954,83.414,7
2024-06-16,20:13:36.501000,4.664,4.87192,Unknown,0,1160.761,83.391,7
2024-06-16,20:13:36.601000,4.67,4.87713,Unknown,0,1160.569,83.367,7
2024-06-16,20:13:36.701000,4.56,4.76622,Unknown,0,1160.378,83.343,7
2024-06-16,20:13:36.801000,4.637,4.84311,Unknown,0,1160.187,83.32,7
2024-06-16,20:13:36.901000,4.598,4.80344,Unknown,0,1159.996,83.296,7
2024-06-16,20:13:37.001000,4.623,4.82725,Unknown,0,1159.805,83.272,7
2024-06-16,20:13:37.101000,4.702,4.90544,Unknown,0,1159.615,83.249,7
2024-06-16,20:13:37.201000,4.639,4.84224,Unknown,0,1159.425,83.225,7
2024-06-16,20:13:37.301000,4.636,4.83752,Unknown,0,1159.235,83.202,7
2024-06-16,20:13:37.401000,4.655,4.85636,Unknown,0,1159.046,83.178,7
2024-06-16,20:13:37.501000,4.615,4.81487,Unknown,0,1158.857,83.154,7
2024-06-16,20:13:37.601000,4.639,4.83916,Unknown,0,1158.668,83.131,7
2024-06-16,20:13:37.701000,4.623,4.82173,Unknown,0,1158.48,83.107,7
2024-06-16,20:13:37.801000,4.635,4.83283,Unknown,0,1158.292,83.083,7
2024-06-16,20:13:37.901000,4.618,4.81508,Unknown,0,1158.104,83.059,7
2024-06-16,20:13:38.001000,4.675,4.87169,Unknown,0,1157.917,83.036,7
2024-06-16,20:13:38.101000,4.655,4.85049,Unknown,0,1157.73,83.012,7
2024-06-16,20:13:38.201000,4.635,4.83011,Unknown,0,1157.543,82.988,7
2024-06-16,20:13:38.301000,4.671,4.86543,Unknown,0,1157.356,82.965,7
2024-06-16,20:13:38.401000,4.662,4.85611,Unknown,0,1157.17,82.941,7
2024-06-16,20:13:38.501000,4.638,4.83085,Unknown,0,1156.985,82.917,7
2024-06-16,20:13:38.601000,4.652,4.84381,Unknown,0,1156.799,82.893,7
2024-06-16,20:13:38.701000,4.604,4.79514,Unknown,0,1156.614,82.87,7
2024-06-16,20:13:38.801000,4.695,4.8857,Unknown,0,1156.429,82.846,7
2024-06-16,20:13:38.901000,4.658,4.84788,Unknown,0,1156.245,82.822,7
2024-06-16,20:13:39.001000,4.653,4.84219,Unknown,0,1156.061,82.798,7
2024-06-16,20:13:39.101000,4.64,4.82887,Unknown,0,1155.877,82.775,7
2024-06-16,20:13:39.201000,4.612,4.80032,Unknown,0,1155.693,82.751,7
2024-06-16,20:13:39.301000,4.654,4.84101,Unknown,0,1155.51,82.727,7
2024-06-16,20:13:39.401000,4.658,4.84407,Unknown,0,1155.327,82.703,7
2024-06-16,20:13:39.501000,4.679,4.86529,Unknown,0,1155.145,82.68,7
2024-06-16,20:13:39.601000,4.702,4.88655,Unknown,0,1154.963,82.656,7
2024-06-16,20:13:39.701000,4.705,4.88923,Unknown,0,1154.781,82.632,7
2024-06-16,20:13:39.801000,4.621,4.80422,Unknown,0,1154.599,82.608,7
2024-06-16,20:13:39.901000,4.691,4.8743,Unknown,0,1154.418,82.584,7
2024-06-16,20:13:40.001000,4.644,4.82614,Unknown,0,1154.237,82.561,7
2024-06-16,20:13:40.101000,4.545,4.72602,Unknown,0,1154.057,82.537,7
2024-06-16,20:13:40.201000,4.669,4.84866,Unknown,0,1153.877,82.513,7
2024-06-16,20:13:40.301000,4.585,4.76465,Unknown,0,1153.697,82.489,7
2024-06-16,20:13:40.401000,4.638,4.81735,Unknown,0,1153.517,82.465,7
2024-06-16,20:13:40.501000,4.656,4.83401,Unknown,0,1153.338,82.442,7
2024-06-16,20:13:40.601000,4.666,4.84302,Unknown,0,1153.159,82.418,7
2024-06-16,20:13:40.701000,4.58,4.7565,Unknown,0,1152.981,82.394,7
2024-06-16,20:13:40.801000,4.611,4.7867,Unknown,0,1152.802,82.37,7
2024-06-16,20:13:40.901000,4.565,4.74026,Unknown,0,1152.624,82.346,7
2024-06-16,20:13:41.001000,4.6,4.77543,Unknown,0,1152.447,82.322,7
2024-06-16,20:13:41.101000,4.64,4.8138,Unknown,0,1152.27,82.298,7
2024-06-16,20:13:41.201000,4.624,4.79744,Unknown,0,1152.093,82.274,7
2024-06-16,20:13:41.301000,4.674,4.84576,Unknown,0,1151.916,82.251,7
2024-06-16,20:13:41.401000,4.632,4.80359,Unknown,0,1151.74,82.227,7
2024-06-16,20:13:41.501000,4.674,4.84466,Unknown,0,1151.564,82.203,7
2024-06-16,20:13:41.601000,4.696,4.86601,Unknown,0,1151.388,82.179,7
2024-06-16,20:13:41.701000,4.706,4.87484,Unknown,0,1151.213,82.155,7
2024-06-16,20:13:41.801000,4.675,4.84373,Unknown,0,1151.038,82.131,7
2024-06-16,20:13:41.901000,4.703,4.8711,Unknown,0,1150.864,82.107,7
2024-06-16,20:13:42.001000,4.745,4.91185,Unknown,0,1150.689,82.083,7
2024-06-16,20:13:42.101000,4.686,4.85328,Unknown,0,1150.515,82.059,7
2024-06-16,20:13:42.201000,4.663,4.82921,Unknown,0,1150.342,82.035,7
2024-06-16,20:13:42.301000,4.686,4.85062,Unknown,0,1150.169,82.012,7
2024-06-16,20:13:42.401000,4.632,4.79616,Unknown,0,1149.996,81.988,7
2024-06-16,20:13:42.501000,4.706,4.8698,Unknown,0,1149.823,81.964,7
2024-06-16,20:13:42.601000,4.621,4.78364,Unknown,0,1149.651,81.94,7
2024-06-16,20:13:42.701000,4.685,4.84672,Unknown,0,1149.479,81.916,7
2024-06-16,20:13:42.801000,4.672,4.83356,Unknown,0,1149.307,81.892,7
2024-06-16,20:13:42.901000,4.664,4.82469,Unknown,0,1149.136,81.868,7
2024-06-16,20:13:43.001000,4.713,4.8733,Unknown,0,1148.965,81.844,7
2024-06-16,20:13:43.101000,4.597,4.75582,Unknown,0,1148.794,81.82,7
2024-06-16,20:13:43.201000,4.605,4.76373,Unknown,0,1148.624,81.796,7
2024-06-16,20:13:43.301000,4.635,4.79252,Unknown,0,1148.454,81.772,7
2024-06-16,20:13:43.401000,4.647,4.80386,Unknown,0,1148.284,81.748,7
2024-06-16,20:13:43.501000,4.658,4.81402,Unknown,0,1148.115,81.724,7
2024-06-16,20:13:43.600000,4.618,4.77418,Unknown,0,1147.948,81.7,7
2024-06-16,20:13:43.700000,4.646,4.80144,Unknown,0,1147.779,81.676,7
2024-06-16,20:13:43.800000,4.649,4.80318,Unknown,0,1147.611,81.652,7
2024-06-16,20:13:43.900000,4.593,4.74729,Unknown,0,1147.443,81.628,7
2024-06-16,20:13:44,4.65,4.8034,Unknown,0,1147.275,81.604,7
2024-06-16,20:13:44.100000,4.649,4.80144,Unknown,0,1147.108,81.58,7
2024-06-16,20:13:44.703000,4.763,4.91094,Unknown,0,1146.107,81.435,7
2024-06-16,20:13:44.803000,4.633,4.77966,Unknown,0,1145.942,81.411,7
2024-06-16,20:13:44.903000,4.655,4.80206,Unknown,0,1145.777,81.387,7
2024-06-16,20:13:45.003000,4.603,4.74882,Unknown,0,1145.613,81.363,7
2024-06-16,20:13:45.103000,4.684,4.82853,Unknown,0,1145.449,81.339,7
2024-06-16,20:13:45.203000,4.622,4.76559,Unknown,0,1145.285,81.315,7
2024-06-16,20:13:45.303000,4.611,4.75455,Unknown,0,1145.122,81.291,7
2024-06-16,20:13:45.403000,4.636,4.77929,Unknown,0,1144.959,81.267,7
2024-06-16,20:13:45.503000,4.609,4.75126,Unknown,0,1144.796,81.243,7
2024-06-16,20:13:45.603000,4.689,4.8312,Unknown,0,1144.634,81.219,7
2024-06-16,20:13:45.703000,4.624,4.76461,Unknown,0,1144.472,81.194,7
2024-06-16,20:13:45.803000,4.619,4.75854,Unknown,0,1144.311,81.17,7
2024-06-16,20:13:45.903000,4.614,4.75433,Unknown,0,1144.149,81.146,7
2024-06-16,20:13:46.003000,4.665,4.80411,Unknown,0,1143.989,81.122,7
2024-06-16,20:13:46.103000,4.675,4.81264,Unknown,0,1143.828,81.098,7
2024-06-16,20:13:46.203000,4.695,4.8319,Unknown,0,1143.668,81.074,7
2024-06-16,20:13:46.303000,4.634,4.77088,Unknown,0,1143.508,81.05,7
2024-06-16,20:13:46.403000,4.648,4.78415,Unknown,0,1143.348,81.026,7
2024-06-16,20:13:46.503000,4.63,4.76523,Unknown,0,1143.189,81.002,7
2024-06-16,20:13:46.603000,4.672,4.80717,Unknown,0,1143.03,80.977,7
2024-06-16,20:13:46.703000,4.675,4.80899,Unknown,0,1142.872,80.953,7
2024-06-16,20:13:46.803000,4.644,4.77682,Unknown,0,1142.714,80.929,7
2024-06-16,20:13:46.903000,4.7,4.83299,Unknown,0,1142.556,80.905,7
2024-06-16,20:13:47.003000,4.681,4.81267,Unknown,0,1142.398,80.881,7
2024-06-16,20:13:47.103000,4.645,4.7762,Unknown,0,1142.241,80.857,7
2024-06-16,20:13:47.203000,4.576,4.70647,Unknown,0,1142.084,80.832,7
2024-06-16,20:13:47.303000,4.598,4.72773,Unknown,0,1141.928,80.808,7
2024-06-16,20:13:47.403000,4.642,4.77085,Unknown,0,1141.771,80.784,7
2024-06-16,20:13:47.503000,4.635,4.76342,Unknown,0,1141.616,80.76,7
2024-06-16,20:13:47.603000,4.522,4.64982,Unknown,0,1141.46,80.736,7
2024-06-16,20:13:47.703000,4.608,4.7349,Unknown,0,1141.305,80.712,7
2024-06-16,20:13:47.803000,4.587,4.71247,Unknown,0,1141.15,80.687,7
2024-06-16,20:13:47.903000,4.64,4.76632,Unknown,0,1140.996,80.663,7
2024-06-16,20:13:48.003000,4.541,4.66617,Unknown,0,1140.842,80.639,7
2024-06-16,20:13:48.103000,4.63,4.75429,Unknown,0,1140.688,80.615,7
2024-06-16,20:13:48.203000,4.641,4.76502,Unknown,0,1140.534,80.591,7
2024-06-16,20:13:48.303000,4.655,4.77796,Unknown,0,1140.381,80.566,7
2024-06-16,20:13:48.397000,4.723,4.84459,Clear,0,1140.238,80.544,2
2024-06-16,20:13:48.403000,4.633,4.75542,Unknown,0,1140.228,80.542,7
2024-06-16,20:13:48.497000,4.726,4.84771,Clear,0,1140.085,80.519,2
2024-06-16,20:13:48.503000,4.632,4.75399,Unknown,0,1140.076,80.518,7
2024-06-16,20:13:48.603000,4.686,4.80669,Unknown,0,1139.924,80.494,7
2024-06-16,20:13:48.697000,4.75,4.87034,Clear,0,1139.781,80.471,2
2024-06-16,20:13:48.703000,4.646,4.76606,Unknown,0,1139.772,80.47,7
2024-06-16,20:13:48.797000,4.741,4.86134,Clear,0,1139.63,80.447,2
2024-06-16,20:13:48.803000,4.606,4.72643,Unknown,0,1139.621,80.445,7
2024-06-16,20:13:48.897000,4.761,4.88032,Clear,0,1139.479,80.423,2
2024-06-16,20:13:48.903000,4.647,4.76545,Unknown,0,1139.47,80.421,7
2024-06-16,20:13:48.997000,4.79,4.90824,Clear,0,1139.328,80.398,2
2024-06-16,20:13:49.003000,4.654,4.77171,Unknown,0,1139.319,80.397,7
2024-06-16,20:13:49.097000,4.717,4.83532,Clear,0,1139.178,80.374,2
2024-06-16,20:13:49.103000,4.719,4.83663,Unknown,0,1139.168,80.373,7
2024-06-16,20:13:49.203000,4.644,4.76082,Unknown,0,1139.018,80.348,7
2024-06-16,20:13:49.297000,4.754,4.86954,Clear,0,1138.878,80.326,2
2024-06-16,20:13:49.303000,4.628,4.74425,Unknown,0,1138.869,80.324,7
2024-06-16,20:13:49.397000,4.788,4.90394,Clear,0,1138.728,80.301,2
2024-06-16,20:13:49.403000,4.61,4.72593,Unknown,0,1138.719,80.3,7
2024-06-16,20:13:49.497000,4.775,4.88981,Clear,0,1138.579,80.277,2
2024-06-16,20:13:49.503000,4.636,4.75081,Unknown,0,1138.57,80.276,7
2024-06-16,20:13:49.597000,4.773,4.88744,Clear,0,1138.431,80.253,2
2024-06-16,20:13:49.603000,4.706,4.81968,Unknown,0,1138.422,80.251,7
2024-06-16,20:13:49.697000,4.734,4.84793,Clear,0,1138.282,80.229,2
2024-06-16,20:13:49.703000,4.644,4.75833,Unknown,0,1138.273,80.227,7
2024-06-16,20:13:49.803000,4.64,4.75261,Unknown,0,1138.125,80.203,7
2024-06-16,20:13:49.897000,4.794,4.90557,Clear,0,1137.987,80.18,2
2024-06-16,20:13:49.903000,4.616,4.72786,Unknown,0,1137.978,80.179,7
2024-06-16,20:13:49.997000,4.742,4.85422,Clear,0,1137.839,80.156,2
2024-06-16,20:13:50.003000,4.644,4.7561,Unknown,0,1137.83,80.154,7
2024-06-16,20:13:50.097000,4.718,4.82935,Clear,0,1137.692,80.131,2
2024-06-16,20:13:50.103000,4.718,4.82888,Unknown,0,1137.683,80.13,7
2024-06-16,20:13:50.197000,4.765,4.8754,Clear,0,1137.546,80.107,2
2024-06-16,20:13:50.203000,4.649,4.75862,Unknown,0,1137.537,80.106,7
2024-06-16,20:13:50.297000,4.798,4.90833,Clear,0,1137.399,80.083,2
2024-06-16,20:13:50.303000,4.733,4.8429,Unknown,0,1137.39,80.081,7
2024-06-16,20:13:50.397000,4.795,4.90364,Clear,0,1137.253,80.059,2
2024-06-16,20:13:50.403000,4.659,4.76829,Unknown,0,1137.245,80.057,7
2024-06-16,20:13:50.497000,4.773,4.88129,Clear,0,1137.108,80.034,2
2024-06-16,20:13:50.503000,4.739,4.84713,Unknown,0,1137.099,80.033,7
2024-06-16,20:13:50.597000,4.752,4.85993,Clear,0,1136.962,80.01,2
2024-06-16,20:13:50.603000,4.631,4.73848,Unknown,0,1136.954,80.009,7
2024-06-16,20:13:50.697000,4.837,4.9438,Clear,0,1136.817,79.986,2
2024-06-16,20:13:50.703000,4.727,4.8339,Unknown,0,1136.809,79.984,7
2024-06-16,20:13:50.797000,4.773,4.87902,Clear,0,1136.673,79.961,2
2024-06-16,20:13:50.803000,4.689,4.79448,Unknown,0,1136.664,79.96,7
2024-06-16,20:13:50.897000,4.716,4.82167,Clear,0,1136.529,79.937,2
2024-06-16,20:13:50.903000,4.625,4.7312,Unknown,0,1136.52,79.936,7
2024-06-16,20:13:50.997000,4.765,4.86951,Clear,0,1136.385,79.913,2
2024-06-16,20:13:51.003000,4.677,4.78232,Unknown,0,1136.376,79.911,7
