satellite, 29657 H-2A R/B / JPN
catalogue, 1 NORAD
track, 2938684
variability, 2 Periodic
variability_period, 35.8394157
npoints, 1204
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-10-11,00:30:55.264000,2.776,7.90199,Clear,0,9909.519,97.097,4
2014-10-11,00:30:55.364000,2.959,8.08529,Clear,0,9909.882,97.099,4
2014-10-11,00:30:55.464000,3.089,8.21458,Clear,0,9910.245,97.101,4
2014-10-11,00:30:55.564000,2.861,7.98674,Clear,0,9910.608,97.102,4
2014-10-11,00:30:55.664000,2.937,8.0627,Clear,0,9910.971,97.104,4
2014-10-11,00:30:55.764000,2.713,7.8397,Clear,0,9911.334,97.106,4
2014-10-11,00:30:55.864000,2.771,7.89821,Clear,0,9911.697,97.108,4
2014-10-11,00:30:55.964000,2.951,8.07802,Clear,0,9912.06,97.11,4
2014-10-11,00:30:56.064000,2.713,7.8397,Clear,0,9912.423,97.111,4
2014-10-11,00:30:56.164000,2.84,7.96664,Clear,0,9912.786,97.113,4
2014-10-11,00:30:56.264000,2.622,7.74918,Clear,0,9913.15,97.115,4
2014-10-11,00:30:56.364000,3.112,8.23886,Clear,0,9913.513,97.117,4
2014-10-11,00:30:56.464000,2.73,7.85694,Clear,0,9913.876,97.119,4
2014-10-11,00:30:56.564000,3.171,8.29878,Clear,0,9914.239,97.12,4
2014-10-11,00:30:56.664000,2.785,7.91265,Clear,0,9914.602,97.122,4
2014-10-11,00:30:56.764000,2.533,7.66101,Clear,0,9914.965,97.124,4
2014-10-11,00:30:56.864000,2.785,7.91273,Clear,0,9915.328,97.126,4
2014-10-11,00:30:56.964000,2.886,8.01394,Clear,0,9915.691,97.128,4
2014-10-11,00:30:57.064000,2.988,8.11546,Clear,0,9916.054,97.129,4
2014-10-11,00:30:57.164000,2.633,7.76059,Clear,0,9916.417,97.131,4
2014-10-11,00:30:57.264000,2.643,7.77139,Clear,0,9916.78,97.133,4
