satellite, 10704 DELTA 1 R/B / US
catalogue, 1 NORAD
track, 3069053
variability, 0 Not variable
variability_period, 0.0
npoints, 740
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-10-13,02:18:19.742000,5.038,5.64037,Clear,0,1809.299,27.823,6
2014-10-13,02:18:19.842000,5.011,5.61321,Clear,0,1809.341,27.801,6
2014-10-13,02:18:19.942000,4.93,5.53157,Clear,0,1809.382,27.779,6
2014-10-13,02:18:20.042000,5.001,5.60338,Clear,0,1809.424,27.757,6
2014-10-13,02:18:20.142000,4.957,5.55921,Clear,0,1809.466,27.735,6
2014-10-13,02:18:20.242000,4.996,5.59841,Clear,0,1809.508,27.713,6
2014-10-13,02:18:20.342000,5.002,5.60444,Clear,0,1809.551,27.691,6
2014-10-13,02:18:20.442000,4.979,5.58082,Clear,0,1809.594,27.669,6
2014-10-13,02:18:20.542000,5.047,5.64858,Clear,0,1809.637,27.647,6
2014-10-13,02:18:20.642000,5.012,5.61441,Clear,0,1809.68,27.625,6
2014-10-13,02:18:20.742000,5.026,5.62753,Clear,0,1809.724,27.603,6
2014-10-13,02:18:20.842000,5.029,5.63057,Clear,0,1809.768,27.581,6
2014-10-13,02:18:20.942000,5.007,5.60883,Clear,0,1809.812,27.559,6
2014-10-13,02:18:21.042000,5.024,5.62597,Clear,0,1809.856,27.538,6
2014-10-13,02:18:21.242000,5.048,5.64901,Clear,0,1809.946,27.494,6
2014-10-13,02:18:21.342000,5.009,5.6104,Clear,0,1809.991,27.472,6
2014-10-13,02:18:21.442000,4.923,5.52348,Clear,0,1810.036,27.45,6
2014-10-13,02:18:21.542000,4.906,5.5067,Clear,0,1810.082,27.428,6
2014-10-13,02:18:21.642000,4.963,5.5644,Clear,0,1810.128,27.406,6
2014-10-13,02:18:21.742000,4.956,5.55729,Clear,0,1810.174,27.384,6
2014-10-13,02:18:21.842000,4.915,5.51598,Clear,0,1810.221,27.362,6
2014-10-13,02:18:21.942000,4.903,5.50444,Clear,0,1810.268,27.34,6
2014-10-13,02:18:22.042000,4.963,5.56429,Clear,0,1810.315,27.318,6
2014-10-13,02:18:22.142000,4.946,5.5467,Clear,0,1810.362,27.297,6
2014-10-13,02:18:22.242000,4.966,5.56669,Clear,0,1810.41,27.275,6
2014-10-13,02:18:22.342000,5.037,5.63788,Clear,0,1810.457,27.253,6
2014-10-13,02:18:22.442000,5.024,5.62478,Clear,0,1810.505,27.231,6
2014-10-13,02:18:22.542000,4.97,5.57111,Clear,0,1810.554,27.209,6
2014-10-13,02:18:22.642000,4.946,5.5473,Clear,0,1810.602,27.187,6
2014-10-13,02:18:22.742000,4.952,5.55272,Clear,0,1810.651,27.165,6
2014-10-13,02:18:22.842000,4.931,5.53242,Clear,0,1810.7,27.143,6
2014-10-13,02:18:22.942000,4.945,5.54565,Clear,0,1810.75,27.121,6
