satellite, 1420 OPS 8480 (TRANSIT 5B-6) / US
catalogue, 1 NORAD
track, 3151851
variability, 0 Not variable
variability_period, 0.0
npoints, 586
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-10-14,17:38:37.605000,7.508,8.47907,Clear,0,1452.618,97.75,9
2014-10-14,17:38:37.705000,7.311,8.28163,Clear,0,1452.591,97.758,9
2014-10-14,17:38:38.105000,7.62,8.59078,Clear,0,1452.484,97.788,9
2014-10-14,17:38:38.205000,7.223,8.19424,Clear,0,1452.458,97.796,9
2014-10-14,17:38:38.305000,7.253,8.22422,Clear,0,1452.432,97.803,9
2014-10-14,17:38:38.405000,6.967,7.93845,Clear,0,1452.407,97.811,9
2014-10-14,17:38:38.505000,7.469,8.44048,Clear,0,1452.382,97.818,9
2014-10-14,17:38:38.905000,7.177,8.14901,Clear,0,1452.285,97.849,9
2014-10-14,17:38:39.005000,7.408,8.38004,Clear,0,1452.261,97.856,9
2014-10-14,17:38:39.105000,7.258,8.23046,Clear,0,1452.238,97.864,9
2014-10-14,17:38:39.205000,6.958,7.93052,Clear,0,1452.215,97.871,9
2014-10-14,17:38:39.305000,7.217,8.19027,Clear,0,1452.193,97.879,9
2014-10-14,17:38:39.405000,7.051,8.02379,Clear,0,1452.17,97.887,9
2014-10-14,17:38:39.505000,6.961,7.93417,Clear,0,1452.148,97.894,9
2014-10-14,17:38:39.605000,7.052,8.02453,Clear,0,1452.127,97.902,9
2014-10-14,17:38:39.705000,7.312,8.28471,Clear,0,1452.105,97.909,9
2014-10-14,17:38:39.805000,7.004,7.97685,Clear,0,1452.084,97.917,9
2014-10-14,17:38:39.905000,7.219,8.19333,Clear,0,1452.063,97.925,9
2014-10-14,17:38:40.005000,6.852,7.82627,Clear,0,1452.043,97.932,9
2014-10-14,17:38:40.105000,7.043,8.01674,Clear,0,1452.023,97.94,9
2014-10-14,17:38:40.205000,6.876,7.84963,Clear,0,1452.003,97.947,9
2014-10-14,17:38:40.305000,7.347,8.32118,Clear,0,1451.983,97.955,9
2014-10-14,17:38:40.405000,7.038,8.01214,Clear,0,1451.964,97.962,9
2014-10-14,17:38:40.505000,7.4,8.37399,Clear,0,1451.945,97.97,9
2014-10-14,17:38:40.605000,7.231,8.20614,Clear,0,1451.926,97.978,9
2014-10-14,17:38:40.705000,7.153,8.12758,Clear,0,1451.908,97.985,9
2014-10-14,17:38:40.805000,6.877,7.85163,Clear,0,1451.89,97.993,9
2014-10-14,17:38:40.905000,6.885,7.85995,Clear,0,1451.872,98.0,9
2014-10-14,17:38:41.005000,7.469,8.44376,Clear,0,1451.855,98.008,9
2014-10-14,17:38:41.105000,6.849,7.82412,Clear,0,1451.838,98.016,9
2014-10-14,17:38:41.205000,7.053,8.02746,Clear,0,1451.821,98.023,9
2014-10-14,17:38:41.305000,6.833,7.80765,Clear,0,1451.804,98.031,9
2014-10-14,17:38:41.405000,6.828,7.80435,Clear,0,1451.788,98.038,9
2014-10-14,17:38:41.505000,7.329,8.30486,Clear,0,1451.772,98.046,9
2014-10-14,17:38:41.605000,7.002,7.97771,Clear,0,1451.757,98.053,9
2014-10-14,17:38:41.705000,6.815,7.79046,Clear,0,1451.741,98.061,9
2014-10-14,17:38:41.805000,6.77,7.74556,Clear,0,1451.726,98.069,9
2014-10-14,17:38:41.905000,7.019,7.99514,Clear,0,1451.712,98.076,9
2014-10-14,17:38:42.005000,7.247,8.22344,Clear,0,1451.697,98.084,9
2014-10-14,17:38:42.105000,6.84,7.81682,Clear,0,1451.683,98.091,9
2014-10-14,17:38:42.205000,7.065,8.04152,Clear,0,1451.669,98.099,9
2014-10-14,17:38:42.305000,7.128,8.10491,Clear,0,1451.656,98.106,9
2014-10-14,17:38:42.405000,7.104,8.08091,Clear,0,1451.643,98.114,9
2014-10-14,17:38:42.505000,7.081,8.05829,Clear,0,1451.63,98.122,9
2014-10-14,17:38:42.605000,7.02,7.9968,Clear,0,1451.617,98.129,9
2014-10-14,17:38:42.705000,6.984,7.96217,Clear,0,1451.605,98.137,9
2014-10-14,17:38:42.805000,7.495,8.47288,Clear,0,1451.593,98.144,9
2014-10-14,17:38:42.905000,7.06,8.03764,Clear,0,1451.581,98.152,9
2014-10-14,17:38:43.005000,6.988,7.96586,Clear,0,1451.57,98.16,9
2014-10-14,17:38:43.105000,6.847,7.82479,Clear,0,1451.559,98.167,9
2014-10-14,17:38:43.205000,7.287,8.26463,Clear,0,1451.548,98.175,9
2014-10-14,17:38:43.305000,7.207,8.18513,Clear,0,1451.538,98.182,9
2014-10-14,17:38:43.405000,7.134,8.11312,Clear,0,1451.527,98.19,9
2014-10-14,17:38:43.505000,6.907,7.88615,Clear,0,1451.518,98.197,9
2014-10-14,17:38:43.605000,6.882,7.86064,Clear,0,1451.508,98.205,9
2014-10-14,17:38:43.705000,6.954,7.93327,Clear,0,1451.499,98.213,9
2014-10-14,17:38:43.805000,6.947,7.92606,Clear,0,1451.49,98.22,9
