satellite, 25746 USA 144 DEB / US
catalogue, 3 McCants
track, 3384106
variability, 2 Periodic
variability_period, 104.040403
npoints, 2162
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-10-20,16:05:23.549000,3.632,6.32429,Clear,0,3935.796,72.467,5
2014-10-20,16:05:23.649000,3.745,6.43678,Clear,0,3935.743,72.458,5
2014-10-20,16:05:23.749000,3.573,6.2652,Clear,0,3935.689,72.449,5
2014-10-20,16:05:23.849000,3.597,6.28802,Clear,0,3935.636,72.44,5
2014-10-20,16:05:23.949000,3.609,6.29976,Clear,0,3935.582,72.432,5
2014-10-20,16:05:24.049000,3.679,6.36999,Clear,0,3935.529,72.423,5
2014-10-20,16:05:24.149000,4.027,6.71837,Clear,0,3935.476,72.414,5
2014-10-20,16:05:24.249000,3.573,6.26385,Clear,0,3935.422,72.405,5
2014-10-20,16:05:24.349000,3.716,6.40742,Clear,0,3935.369,72.396,5
2014-10-20,16:05:24.449000,3.798,6.488,Clear,0,3935.316,72.388,5
2014-10-20,16:05:24.549000,3.899,6.58845,Clear,0,3935.263,72.379,5
2014-10-20,16:05:24.649000,3.977,6.66668,Clear,0,3935.21,72.37,5
2014-10-20,16:05:24.749000,3.814,6.50389,Clear,0,3935.157,72.361,5
2014-10-20,16:05:24.849000,3.709,6.39933,Clear,0,3935.104,72.352,5
2014-10-20,16:05:24.949000,3.642,6.3324,Clear,0,3935.051,72.344,5
2014-10-20,16:05:25.049000,3.636,6.32582,Clear,0,3934.998,72.335,5
2014-10-20,16:05:25.149000,4.024,6.71306,Clear,0,3934.946,72.326,5
2014-10-20,16:05:25.249000,3.652,6.34084,Clear,0,3934.893,72.317,5
2014-10-20,16:05:25.349000,4.093,6.78212,Clear,0,3934.84,72.308,5
2014-10-20,16:05:25.449000,3.823,6.51216,Clear,0,3934.788,72.3,5
2014-10-20,16:05:25.549000,3.878,6.56707,Clear,0,3934.735,72.291,5
2014-10-20,16:05:25.649000,3.902,6.59106,Clear,0,3934.683,72.282,5
2014-10-20,16:05:25.749000,3.862,6.55056,Clear,0,3934.63,72.273,5
2014-10-20,16:05:25.849000,3.969,6.65743,Clear,0,3934.578,72.264,5
2014-10-20,16:05:25.949000,4.12,6.80777,Clear,0,3934.526,72.255,5
2014-10-20,16:05:26.049000,4.044,6.73234,Clear,0,3934.474,72.247,5
2014-10-20,16:05:26.149000,3.801,6.48869,Clear,0,3934.421,72.238,5
2014-10-20,16:05:26.249000,3.856,6.54396,Clear,0,3934.369,72.229,5
2014-10-20,16:05:26.349000,3.747,6.43537,Clear,0,3934.317,72.22,5
2014-10-20,16:05:26.449000,4.124,6.81082,Clear,0,3934.265,72.211,5
2014-10-20,16:05:26.549000,4.186,6.87299,Clear,0,3934.213,72.203,5
2014-10-20,16:05:26.649000,4.115,6.80148,Clear,0,3934.161,72.194,5
2014-10-20,16:05:26.749000,3.981,6.66748,Clear,0,3934.109,72.185,5
2014-10-20,16:05:26.849000,3.933,6.62017,Clear,0,3934.058,72.176,5
2014-10-20,16:05:26.949000,3.918,6.60487,Clear,0,3934.006,72.167,5
2014-10-20,16:05:27.049000,4.062,6.74912,Clear,0,3933.954,72.159,5
2014-10-20,16:05:27.149000,3.858,6.54414,Clear,0,3933.902,72.15,5
2014-10-20,16:05:27.249000,3.927,6.61342,Clear,0,3933.851,72.141,5
2014-10-20,16:05:27.349000,4.173,6.85941,Clear,0,3933.799,72.132,5
2014-10-20,16:05:27.449000,4.008,6.69392,Clear,0,3933.748,72.123,5
2014-10-20,16:05:27.549000,4.004,6.69026,Clear,0,3933.696,72.115,5
2014-10-20,16:05:27.649000,3.975,6.66057,Clear,0,3933.645,72.106,5
2014-10-20,16:05:27.749000,4.01,6.69483,Clear,0,3933.594,72.097,5
2014-10-20,16:05:27.849000,4.048,6.7325,Clear,0,3933.542,72.088,5
2014-10-20,16:05:27.949000,4.052,6.73711,Clear,0,3933.491,72.079,5
2014-10-20,16:05:28.049000,4.31,6.99465,Clear,0,3933.44,72.07,5
2014-10-20,16:05:28.149000,4.227,6.91146,Clear,0,3933.389,72.062,5
2014-10-20,16:05:28.249000,4.315,6.99952,Clear,0,3933.338,72.053,5
2014-10-20,16:05:28.349000,4.069,6.75383,Clear,0,3933.287,72.044,5
2014-10-20,16:05:28.449000,4.094,6.77829,Clear,0,3933.236,72.035,5
2014-10-20,16:05:28.549000,4.149,6.83277,Clear,0,3933.185,72.026,5
2014-10-20,16:05:28.649000,3.943,6.62681,Clear,0,3933.134,72.018,5
2014-10-20,16:05:28.749000,4.053,6.7374,Clear,0,3933.083,72.009,5
2014-10-20,16:05:28.849000,4.035,6.71936,Clear,0,3933.033,72.0,5
2014-10-20,16:05:28.949000,4.472,7.15628,Clear,0,3932.982,71.991,5
2014-10-20,16:05:29.049000,4.196,6.87999,Clear,0,3932.931,71.982,5
2014-10-20,16:05:29.149000,4.265,6.94838,Clear,0,3932.881,71.974,5
2014-10-20,16:05:29.249000,4.183,6.86604,Clear,0,3932.83,71.965,5
2014-10-20,16:05:29.349000,4.298,6.98057,Clear,0,3932.78,71.956,5
2014-10-20,16:05:29.449000,4.186,6.86859,Clear,0,3932.73,71.947,5
2014-10-20,16:05:29.549000,4.178,6.86073,Clear,0,3932.679,71.938,5
2014-10-20,16:05:29.649000,4.487,7.16977,Clear,0,3932.629,71.929,5
2014-10-20,16:05:29.749000,4.264,6.94676,Clear,0,3932.579,71.921,5
2014-10-20,16:05:29.849000,4.501,7.18279,Clear,0,3932.529,71.912,5
2014-10-20,16:05:29.949000,4.357,7.03868,Clear,0,3932.478,71.903,5
2014-10-20,16:05:30.049000,4.564,7.24635,Clear,0,3932.428,71.894,5
2014-10-20,16:05:30.149000,4.341,7.02304,Clear,0,3932.378,71.885,5
2014-10-20,16:05:30.249000,4.351,7.03286,Clear,0,3932.328,71.877,5
2014-10-20,16:05:30.349000,4.371,7.05267,Clear,0,3932.279,71.868,5
2014-10-20,16:05:30.449000,4.511,7.19173,Clear,0,3932.229,71.859,5
2014-10-20,16:05:30.549000,4.4,7.08064,Clear,0,3932.179,71.85,5
2014-10-20,16:05:30.649000,4.495,7.17612,Clear,0,3932.129,71.841,5
2014-10-20,16:05:30.749000,4.372,7.05245,Clear,0,3932.079,71.832,5
2014-10-20,16:05:30.849000,4.42,7.10046,Clear,0,3932.03,71.824,5
2014-10-20,16:05:30.949000,4.519,7.19992,Clear,0,3931.98,71.815,5
2014-10-20,16:05:31.049000,4.527,7.20843,Clear,0,3931.931,71.806,5
2014-10-20,16:05:31.149000,4.478,7.15828,Clear,0,3931.881,71.797,5
2014-10-20,16:05:31.249000,4.366,7.04575,Clear,0,3931.832,71.788,5
2014-10-20,16:05:31.349000,4.338,7.01769,Clear,0,3931.783,71.78,5
2014-10-20,16:05:31.449000,4.689,7.36889,Clear,0,3931.733,71.771,5
2014-10-20,16:05:31.549000,4.605,7.28499,Clear,0,3931.684,71.762,5
2014-10-20,16:05:31.649000,4.455,7.135,Clear,0,3931.635,71.753,5
2014-10-20,16:05:31.749000,4.646,7.3259,Clear,0,3931.586,71.744,5
2014-10-20,16:05:31.849000,4.64,7.31855,Clear,0,3931.537,71.735,5
2014-10-20,16:05:31.949000,4.524,7.2027,Clear,0,3931.488,71.727,5
2014-10-20,16:05:32.049000,4.651,7.33023,Clear,0,3931.439,71.718,5
2014-10-20,16:05:32.149000,4.848,7.52681,Clear,0,3931.39,71.709,5
2014-10-20,16:05:32.249000,4.45,7.12883,Clear,0,3931.341,71.7,5
2014-10-20,16:05:32.349000,4.909,7.58802,Clear,0,3931.292,71.691,5
2014-10-20,16:05:32.449000,4.813,7.49183,Clear,0,3931.243,71.683,5
2014-10-20,16:05:32.549000,4.455,7.13311,Clear,0,3931.195,71.674,5
2014-10-20,16:05:32.649000,4.642,7.32042,Clear,0,3931.146,71.665,5
2014-10-20,16:05:32.749000,4.814,7.49229,Clear,0,3931.097,71.656,5
2014-10-20,16:05:32.849000,4.792,7.46956,Clear,0,3931.049,71.647,5
2014-10-20,16:05:32.949000,4.733,7.41126,Clear,0,3931.0,71.638,5
2014-10-20,16:05:33.049000,4.971,7.64861,Clear,0,3930.952,71.63,5
2014-10-20,16:05:33.149000,4.623,7.30008,Clear,0,3930.903,71.621,5
2014-10-20,16:05:33.249000,4.853,7.52949,Clear,0,3930.855,71.612,5
2014-10-20,16:05:33.349000,4.796,7.47341,Clear,0,3930.807,71.603,5
2014-10-20,16:05:33.449000,4.852,7.52925,Clear,0,3930.759,71.594,5
2014-10-20,16:05:33.549000,4.549,7.22614,Clear,0,3930.711,71.586,5
2014-10-20,16:05:33.649000,5.028,7.70525,Clear,0,3930.662,71.577,5
2014-10-20,16:05:33.749000,5.242,7.91894,Clear,0,3930.614,71.568,5
2014-10-20,16:05:33.849000,5.058,7.73377,Clear,0,3930.566,71.559,5
2014-10-20,16:05:33.949000,4.976,7.65146,Clear,0,3930.518,71.55,5
2014-10-20,16:05:34.049000,5.149,7.8249,Clear,0,3930.471,71.541,5
2014-10-20,16:05:34.149000,5.013,7.6887,Clear,0,3930.423,71.533,5
2014-10-20,16:05:34.249000,5.252,7.92837,Clear,0,3930.375,71.524,5
2014-10-20,16:05:34.349000,5.019,7.69482,Clear,0,3930.327,71.515,5
2014-10-20,16:05:34.449000,4.835,7.51069,Clear,0,3930.28,71.506,5
2014-10-20,16:05:34.549000,5.013,7.68787,Clear,0,3930.232,71.497,5
2014-10-20,16:05:34.649000,5.298,7.97328,Clear,0,3930.184,71.489,5
2014-10-20,16:05:34.749000,4.985,7.65956,Clear,0,3930.137,71.48,5
2014-10-20,16:05:34.849000,5.271,7.94557,Clear,0,3930.09,71.471,5
2014-10-20,16:05:34.949000,5.141,7.816,Clear,0,3930.042,71.462,5
2014-10-20,16:05:35.049000,5.131,7.80637,Clear,0,3929.995,71.453,5
2014-10-20,16:05:35.149000,5.267,7.94222,Clear,0,3929.948,71.444,5
2014-10-20,16:05:35.249000,5.172,7.84636,Clear,0,3929.9,71.436,5
2014-10-20,16:05:35.349000,5.399,8.0725,Clear,0,3929.853,71.427,5
2014-10-20,16:05:35.449000,5.201,7.87519,Clear,0,3929.806,71.418,5
2014-10-20,16:05:35.549000,5.258,7.93189,Clear,0,3929.759,71.409,5
2014-10-20,16:05:35.649000,5.37,8.04365,Clear,0,3929.712,71.4,5
2014-10-20,16:05:35.749000,5.347,8.02088,Clear,0,3929.665,71.391,5
2014-10-20,16:05:35.849000,5.386,8.05973,Clear,0,3929.618,71.383,5
2014-10-20,16:05:35.949000,5.48,8.15316,Clear,0,3929.571,71.374,5
2014-10-20,16:05:36.049000,5.627,8.29976,Clear,0,3929.525,71.365,5
2014-10-20,16:05:36.149000,5.497,8.17001,Clear,0,3929.478,71.356,5
2014-10-20,16:05:36.249000,5.317,7.98955,Clear,0,3929.431,71.347,5
2014-10-20,16:05:36.349000,5.476,8.14914,Clear,0,3929.385,71.338,5
2014-10-20,16:05:36.449000,5.417,8.08963,Clear,0,3929.338,71.33,5
2014-10-20,16:05:36.549000,5.615,8.28681,Clear,0,3929.291,71.321,5
2014-10-20,16:05:36.649000,5.485,8.15693,Clear,0,3929.245,71.312,5
2014-10-20,16:05:36.749000,5.698,8.36985,Clear,0,3929.199,71.303,5
2014-10-20,16:05:36.849000,5.634,8.30554,Clear,0,3929.152,71.294,5
2014-10-20,16:05:36.949000,5.572,8.24362,Clear,0,3929.106,71.286,5
2014-10-20,16:05:37.049000,5.628,8.29987,Clear,0,3929.06,71.277,5
2014-10-20,16:05:37.149000,5.57,8.24238,Clear,0,3929.014,71.268,5
2014-10-20,16:05:37.249000,5.765,8.43572,Clear,0,3928.967,71.259,5
2014-10-20,16:05:37.349000,5.808,8.47903,Clear,0,3928.921,71.25,5
2014-10-20,16:05:37.449000,5.977,8.64752,Clear,0,3928.875,71.241,5
2014-10-20,16:05:37.549000,5.934,8.6053,Clear,0,3928.829,71.233,5
