satellite, 26905 USA 160 (NOSS 3-1 (A) ?) / US
catalogue, 3 McCants
track, 5213578
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1671
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-12-15,16:32:10.533000,4.269,5.94044,Clear,0,1761.683,109.419,3
2014-12-15,16:32:10.633000,4.337,6.00763,Clear,0,1761.529,109.412,3
2014-12-15,16:32:10.733000,4.252,5.92204,Clear,0,1761.375,109.405,3
2014-12-15,16:32:10.833000,4.318,5.98793,Clear,0,1761.222,109.399,3
2014-12-15,16:32:10.933000,4.315,5.98481,Clear,0,1761.069,109.392,3
2014-12-15,16:32:11.033000,4.338,6.00736,Clear,0,1760.916,109.385,3
2014-12-15,16:32:11.133000,4.24,5.90943,Clear,0,1760.763,109.379,3
2014-12-15,16:32:11.233000,4.241,5.9089,Clear,0,1760.61,109.372,3
2014-12-15,16:32:11.333000,4.226,5.89351,Clear,0,1760.458,109.365,3
2014-12-15,16:32:11.433000,4.176,5.84364,Clear,0,1760.306,109.359,3
2014-12-15,16:32:11.533000,4.224,5.89101,Clear,0,1760.154,109.352,3
2014-12-15,16:32:11.633000,4.154,5.82116,Clear,0,1760.002,109.345,3
2014-12-15,16:32:11.733000,4.169,5.83594,Clear,0,1759.85,109.339,3
2014-12-15,16:32:11.833000,4.127,5.79318,Clear,0,1759.699,109.332,3
2014-12-15,16:32:11.933000,4.204,5.86953,Clear,0,1759.548,109.325,3
2014-12-15,16:32:12.033000,4.162,5.82752,Clear,0,1759.397,109.319,3
2014-12-15,16:32:12.133000,4.253,5.91759,Clear,0,1759.246,109.312,3
2014-12-15,16:32:12.233000,4.281,5.94574,Clear,0,1759.096,109.305,3
2014-12-15,16:32:12.333000,4.139,5.80338,Clear,0,1758.945,109.299,3
2014-12-15,16:32:12.433000,4.157,5.82065,Clear,0,1758.795,109.292,3
2014-12-15,16:32:12.533000,4.133,5.79673,Clear,0,1758.646,109.285,3
2014-12-15,16:32:12.633000,4.201,5.86355,Clear,0,1758.496,109.278,3
2014-12-15,16:32:12.733000,4.204,5.86659,Clear,0,1758.346,109.272,3
2014-12-15,16:32:12.833000,4.281,5.94389,Clear,0,1758.197,109.265,3
2014-12-15,16:32:12.933000,4.213,5.87492,Clear,0,1758.048,109.258,3
2014-12-15,16:32:13.033000,4.158,5.81954,Clear,0,1757.9,109.252,3
2014-12-15,16:32:13.133000,4.201,5.86344,Clear,0,1757.751,109.245,3
2014-12-15,16:32:13.233000,4.218,5.87877,Clear,0,1757.603,109.238,3
2014-12-15,16:32:13.333000,4.193,5.8535,Clear,0,1757.455,109.232,3
2014-12-15,16:32:13.433000,4.218,5.87795,Clear,0,1757.307,109.225,3
2014-12-15,16:32:13.533000,4.127,5.78736,Clear,0,1757.159,109.218,3
2014-12-15,16:32:13.633000,4.293,5.95326,Clear,0,1757.011,109.211,3
2014-12-15,16:32:13.733000,4.253,5.91231,Clear,0,1756.864,109.205,3
2014-12-15,16:32:13.833000,4.299,5.95745,Clear,0,1756.717,109.198,3
2014-12-15,16:32:13.933000,4.074,5.7327,Clear,0,1756.57,109.191,3
2014-12-15,16:32:14.033000,4.254,5.91237,Clear,0,1756.424,109.185,3
2014-12-15,16:32:14.133000,4.236,5.89358,Clear,0,1756.277,109.178,3
2014-12-15,16:32:14.233000,4.201,5.85918,Clear,0,1756.131,109.171,3
2014-12-15,16:32:14.333000,4.137,5.79362,Clear,0,1755.985,109.164,3
2014-12-15,16:32:14.433000,4.055,5.71239,Clear,0,1755.839,109.158,3
2014-12-15,16:32:14.533000,4.127,5.78247,Clear,0,1755.694,109.151,3
2014-12-15,16:32:14.633000,4.175,5.8311,Clear,0,1755.548,109.144,3
2014-12-15,16:32:14.733000,4.167,5.82322,Clear,0,1755.403,109.137,3
2014-12-15,16:32:14.833000,4.164,5.81942,Clear,0,1755.258,109.131,3
2014-12-15,16:32:14.933000,4.28,5.93534,Clear,0,1755.114,109.124,3
2014-12-15,16:32:15.033000,4.196,5.85095,Clear,0,1754.969,109.117,3
2014-12-15,16:32:15.133000,4.107,5.76137,Clear,0,1754.825,109.11,3
2014-12-15,16:32:15.233000,4.209,5.86297,Clear,0,1754.681,109.104,3
2014-12-15,16:32:15.333000,4.181,5.83468,Clear,0,1754.537,109.097,3
2014-12-15,16:32:15.433000,4.252,5.9054,Clear,0,1754.393,109.09,3
2014-12-15,16:32:15.533000,4.156,5.80935,Clear,0,1754.25,109.083,3
2014-12-15,16:32:15.633000,4.067,5.71958,Clear,0,1754.107,109.077,3
2014-12-15,16:32:15.733000,4.127,5.77886,Clear,0,1753.964,109.07,3
2014-12-15,16:32:15.833000,4.185,5.83715,Clear,0,1753.821,109.063,3
2014-12-15,16:32:15.933000,4.106,5.75715,Clear,0,1753.679,109.056,3
2014-12-15,16:32:16.033000,4.029,5.68004,Clear,0,1753.536,109.049,3
