satellite, 163 MIDAS 3 / US
catalogue, 1 NORAD
track, 5836122
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1083
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2015-01-24,01:44:52.422000,5.736,8.43851,Clear,0,3752.392,80.176,7
2015-01-24,01:44:52.522000,6.08,8.78302,Clear,0,3752.527,80.177,7
2015-01-24,01:44:52.622000,6.127,8.82997,Clear,0,3752.662,80.178,7
2015-01-24,01:44:52.722000,5.968,8.67137,Clear,0,3752.797,80.179,7
2015-01-24,01:44:52.822000,5.983,8.68573,Clear,0,3752.932,80.179,7
2015-01-24,01:44:52.922000,5.917,8.62077,Clear,0,3753.068,80.18,7
2015-01-24,01:44:53.022000,5.911,8.61501,Clear,0,3753.203,80.181,7
2015-01-24,01:44:53.122000,5.901,8.60515,Clear,0,3753.339,80.182,7
2015-01-24,01:44:53.222000,6.004,8.70829,Clear,0,3753.474,80.182,7
2015-01-24,01:44:53.322000,5.954,8.65795,Clear,0,3753.61,80.183,7
2015-01-24,01:44:53.422000,5.722,8.42628,Clear,0,3753.745,80.184,7
2015-01-24,01:44:53.522000,5.855,8.5593,Clear,0,3753.881,80.185,7
2015-01-24,01:44:53.622000,6.185,8.88854,Clear,0,3754.017,80.185,7
2015-01-24,01:44:53.722000,5.962,8.66607,Clear,0,3754.153,80.186,7
2015-01-24,01:44:53.822000,6.246,8.9497,Clear,0,3754.289,80.187,7
2015-01-24,01:44:53.922000,5.728,8.43238,Clear,0,3754.425,80.188,7
2015-01-24,01:44:54.022000,5.727,8.43166,Clear,0,3754.561,80.189,7
2015-01-24,01:44:54.122000,5.794,8.49877,Clear,0,3754.697,80.189,7
2015-01-24,01:44:54.222000,5.787,8.49227,Clear,0,3754.833,80.19,7
2015-01-24,01:44:54.322000,5.937,8.64206,Clear,0,3754.969,80.191,7
2015-01-24,01:44:54.422000,5.757,8.46157,Clear,0,3755.106,80.192,7
2015-01-24,01:44:54.522000,5.854,8.5593,Clear,0,3755.242,80.192,7
2015-01-24,01:44:54.622000,6.347,9.05203,Clear,0,3755.378,80.193,7
2015-01-24,01:44:54.722000,5.882,8.58684,Clear,0,3755.515,80.194,7
2015-01-24,01:44:54.822000,5.784,8.48884,Clear,0,3755.651,80.195,7
2015-01-24,01:44:54.922000,5.514,8.21899,Clear,0,3755.788,80.195,7
2015-01-24,01:44:55.022000,5.82,8.52484,Clear,0,3755.925,80.196,7
2015-01-24,01:44:55.122000,5.712,8.41797,Clear,0,3756.061,80.197,7
2015-01-24,01:44:55.222000,6.018,8.72366,Clear,0,3756.198,80.198,7
2015-01-24,01:44:55.322000,5.906,8.61171,Clear,0,3756.335,80.199,7
2015-01-24,01:44:55.422000,5.648,8.3536,Clear,0,3756.472,80.199,7
2015-01-24,01:44:55.522000,5.918,8.62351,Clear,0,3756.609,80.2,7
2015-01-24,01:44:55.622000,5.841,8.54661,Clear,0,3756.746,80.201,7
2015-01-24,01:44:55.722000,5.65,8.35605,Clear,0,3756.883,80.202,7
2015-01-24,01:44:55.822000,5.7,8.40621,Clear,0,3757.02,80.203,7
2015-01-24,01:44:55.922000,5.994,8.69998,Clear,0,3757.158,80.203,7
2015-01-24,01:44:56.022000,5.674,8.38037,Clear,0,3757.295,80.204,7
2015-01-24,01:44:56.122000,5.944,8.65035,Clear,0,3757.432,80.205,7
2015-01-24,01:44:56.222000,5.576,8.28339,Clear,0,3757.57,80.206,7
2015-01-24,01:44:56.322000,5.672,8.37866,Clear,0,3757.707,80.206,7
2015-01-24,01:44:56.422000,5.655,8.36207,Clear,0,3757.845,80.207,7
2015-01-24,01:44:56.522000,5.583,8.28984,Clear,0,3757.982,80.208,7
2015-01-24,01:44:56.622000,5.931,8.63779,Clear,0,3758.12,80.209,7
2015-01-24,01:44:56.722000,5.669,8.37548,Clear,0,3758.258,80.21,7
2015-01-24,01:44:56.822000,5.661,8.36757,Clear,0,3758.396,80.21,7
2015-01-24,01:44:56.922000,5.886,8.59272,Clear,0,3758.534,80.211,7
2015-01-24,01:44:57.022000,5.901,8.608,Clear,0,3758.671,80.212,7
2015-01-24,01:44:57.122000,5.727,8.43418,Clear,0,3758.81,80.213,7
2015-01-24,01:44:57.222000,5.676,8.38265,Clear,0,3758.948,80.213,7
2015-01-24,01:44:57.322000,5.573,8.28071,Clear,0,3759.086,80.214,7
2015-01-24,01:44:57.422000,5.613,8.32127,Clear,0,3759.224,80.215,7
2015-01-24,01:44:57.522000,5.435,8.14278,Clear,0,3759.362,80.216,7
2015-01-24,01:44:57.622000,5.627,8.33469,Clear,0,3759.5,80.217,7
2015-01-24,01:44:57.722000,5.715,8.42342,Clear,0,3759.639,80.217,7
2015-01-24,01:44:57.822000,5.651,8.35928,Clear,0,3759.777,80.218,7
2015-01-24,01:44:57.922000,5.65,8.35761,Clear,0,3759.916,80.219,7
2015-01-24,01:44:58.022000,5.88,8.58782,Clear,0,3760.054,80.22,7
2015-01-24,01:44:58.122000,5.612,8.31977,Clear,0,3760.193,80.221,7
2015-01-24,01:44:58.222000,5.712,8.4201,Clear,0,3760.332,80.221,7
2015-01-24,01:44:58.322000,5.683,8.39136,Clear,0,3760.47,80.222,7
2015-01-24,01:44:58.422000,5.682,8.3909,Clear,0,3760.609,80.223,7
2015-01-24,01:44:58.522000,5.692,8.40132,Clear,0,3760.748,80.224,7
2015-01-24,01:44:58.622000,5.527,8.23585,Clear,0,3760.887,80.224,7
2015-01-24,01:44:58.722000,5.743,8.45224,Clear,0,3761.026,80.225,7
2015-01-24,01:44:58.822000,5.245,7.95393,Clear,0,3761.165,80.226,7
2015-01-24,01:44:58.922000,5.619,8.32818,Clear,0,3761.304,80.227,7
2015-01-24,01:44:59.022000,5.399,8.10768,Clear,0,3761.444,80.228,7
2015-01-24,01:44:59.122000,5.837,8.54634,Clear,0,3761.583,80.228,7
2015-01-24,01:44:59.222000,5.637,8.34575,Clear,0,3761.722,80.229,7
2015-01-24,01:44:59.322000,5.711,8.41974,Clear,0,3761.862,80.23,7
2015-01-24,01:44:59.422000,5.569,8.27854,Clear,0,3762.001,80.231,7
2015-01-24,01:44:59.522000,5.493,8.20269,Clear,0,3762.14,80.232,7
2015-01-24,01:44:59.622000,5.403,8.11283,Clear,0,3762.28,80.232,7
2015-01-24,01:44:59.722000,5.546,8.25641,Clear,0,3762.42,80.233,7
2015-01-24,01:44:59.822000,5.586,8.2959,Clear,0,3762.559,80.234,7
2015-01-24,01:44:59.922000,5.534,8.24428,Clear,0,3762.699,80.235,7
2015-01-24,01:45:00.022000,5.411,8.12057,Clear,0,3762.839,80.236,7
2015-01-24,01:45:00.122000,5.376,8.08604,Clear,0,3762.979,80.236,7
2015-01-24,01:45:00.222000,5.54,8.24998,Clear,0,3763.119,80.237,7
2015-01-24,01:45:00.322000,5.754,8.46355,Clear,0,3763.259,80.238,7
2015-01-24,01:45:00.422000,5.435,8.14513,Clear,0,3763.399,80.239,7
2015-01-24,01:45:00.522000,5.339,8.0496,Clear,0,3763.539,80.24,7
2015-01-24,01:45:00.622000,5.509,8.22035,Clear,0,3763.679,80.24,7
2015-01-24,01:45:00.722000,5.656,8.36656,Clear,0,3763.82,80.241,7
2015-01-24,01:45:00.822000,5.54,8.25088,Clear,0,3763.96,80.242,7
2015-01-24,01:45:00.922000,5.473,8.18373,Clear,0,3764.1,80.243,7
2015-01-24,01:45:01.022000,5.224,7.9345,Clear,0,3764.241,80.244,7
2015-01-24,01:45:01.122000,5.4,8.11082,Clear,0,3764.381,80.244,7
2015-01-24,01:45:01.222000,5.803,8.51412,Clear,0,3764.522,80.245,7
2015-01-24,01:45:01.322000,5.568,8.27885,Clear,0,3764.663,80.246,7
2015-01-24,01:45:01.422000,5.379,8.08997,Clear,0,3764.803,80.247,7
2015-01-24,01:45:01.522000,5.61,8.32052,Clear,0,3764.944,80.248,7
2015-01-24,01:45:01.622000,5.375,8.08655,Clear,0,3765.085,80.248,7
2015-01-24,01:45:01.722000,5.617,8.32861,Clear,0,3765.226,80.249,7
2015-01-24,01:45:01.822000,5.489,8.20078,Clear,0,3765.367,80.25,7
2015-01-24,01:45:01.922000,5.424,8.13622,Clear,0,3765.508,80.251,7
2015-01-24,01:45:02.022000,5.525,8.23733,Clear,0,3765.649,80.252,7
2015-01-24,01:45:02.122000,5.479,8.19089,Clear,0,3765.79,80.252,7
2015-01-24,01:45:02.222000,5.349,8.06135,Clear,0,3765.931,80.253,7
2015-01-24,01:45:02.322000,5.41,8.12216,Clear,0,3766.072,80.254,7
2015-01-24,01:45:02.422000,5.18,7.89164,Clear,0,3766.214,80.255,7
2015-01-24,01:45:02.522000,5.602,8.31437,Clear,0,3766.355,80.256,7
2015-01-24,01:45:02.622000,5.403,8.11567,Clear,0,3766.497,80.256,7
2015-01-24,01:45:02.722000,5.396,8.10876,Clear,0,3766.638,80.257,7
2015-01-24,01:45:02.822000,5.398,8.11083,Clear,0,3766.78,80.258,7
2015-01-24,01:45:02.922000,5.427,8.13987,Clear,0,3766.921,80.259,7
2015-01-24,01:45:03.022000,5.352,8.0654,Clear,0,3767.063,80.26,7
2015-01-24,01:45:03.122000,5.111,7.82427,Clear,0,3767.205,80.26,7
2015-01-24,01:45:03.222000,5.322,8.03494,Clear,0,3767.347,80.261,7
2015-01-24,01:45:03.322000,5.263,7.97575,Clear,0,3767.489,80.262,7
2015-01-24,01:45:03.422000,5.411,8.12402,Clear,0,3767.631,80.263,7
2015-01-24,01:45:03.522000,5.431,8.14387,Clear,0,3767.773,80.264,7
2015-01-24,01:45:03.622000,5.343,8.0562,Clear,0,3767.915,80.264,7
2015-01-24,01:45:03.722000,5.279,7.99302,Clear,0,3768.057,80.265,7
2015-01-24,01:45:03.822000,5.663,8.37662,Clear,0,3768.199,80.266,7
2015-01-24,01:45:03.922000,5.377,8.09102,Clear,0,3768.341,80.267,7
2015-01-24,01:45:04.022000,5.401,8.11455,Clear,0,3768.484,80.268,7
2015-01-24,01:45:04.122000,5.329,8.04338,Clear,0,3768.626,80.268,7
2015-01-24,01:45:04.222000,5.092,7.80642,Clear,0,3768.768,80.269,7
2015-01-24,01:45:04.322000,5.171,7.88472,Clear,0,3768.911,80.27,7
2015-01-24,01:45:04.422000,5.223,7.93667,Clear,0,3769.054,80.271,7
2015-01-24,01:45:04.522000,5.137,7.85067,Clear,0,3769.196,80.272,7
2015-01-24,01:45:04.622000,5.179,7.89269,Clear,0,3769.339,80.273,7
2015-01-24,01:45:04.722000,5.138,7.85147,Clear,0,3769.482,80.273,7
2015-01-24,01:45:04.822000,4.978,7.69307,Clear,0,3769.625,80.274,7
