satellite, 1520 CALSPHERE 4(A) / US
catalogue, 1 NORAD
track, 7176
variability, 0 Not variable
variability_period, 0.0
npoints, 565
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-06-04,23:51:33.249000,8.121,8.45246,Clear,0,1203.349,86.037,3
2014-06-04,23:51:33.449000,8.528,8.85808,Clear,0,1202.995,85.98,3
2014-06-04,23:51:33.649000,8.474,8.80283,Clear,0,1202.642,85.922,3
2014-06-04,23:51:34.249000,8.535,8.85903,Clear,0,1201.592,85.748,3
2014-06-04,23:51:34.349000,7.897,8.21949,Clear,0,1201.418,85.719,3
2014-06-04,23:51:34.549000,8.595,8.91597,Clear,0,1201.071,85.661,3
2014-06-04,23:51:34.649000,8.18,8.50034,Clear,0,1200.899,85.632,3
2014-06-04,23:51:34.849000,8.071,8.3895,Clear,0,1200.554,85.575,3
2014-06-04,23:51:34.949000,7.761,8.07921,Clear,0,1200.382,85.546,3
2014-06-04,23:51:35.049000,8.266,8.58295,Clear,0,1200.211,85.517,3
2014-06-04,23:51:35.149000,8.401,8.71674,Clear,0,1200.04,85.488,3
2014-06-04,23:51:35.249000,8.521,8.83653,Clear,0,1199.869,85.459,3
2014-06-04,23:51:35.449000,8.298,8.61158,Clear,0,1199.529,85.401,3
2014-06-04,23:51:35.549000,8.313,8.62605,Clear,0,1199.359,85.372,3
2014-06-04,23:51:35.749000,7.986,8.2968,Clear,0,1199.021,85.313,3
2014-06-04,23:51:35.849000,8.279,8.58959,Clear,0,1198.853,85.284,3
2014-06-04,23:51:36.049000,7.809,8.11816,Clear,0,1198.516,85.226,3
2014-06-04,23:51:36.149000,8.47,8.77794,Clear,0,1198.349,85.197,3
2014-06-04,23:51:36.349000,8.474,8.7806,Clear,0,1198.015,85.139,3
2014-06-04,23:51:36.549000,8.462,8.7665,Clear,0,1197.682,85.081,3
2014-06-04,23:51:36.649000,8.074,8.37829,Clear,0,1197.516,85.052,3
2014-06-04,23:51:36.749000,8.33,8.63312,Clear,0,1197.351,85.023,3
2014-06-04,23:51:36.849000,8.413,8.71557,Clear,0,1197.186,84.994,3
2014-06-04,23:51:36.949000,8.296,8.59777,Clear,0,1197.021,84.964,3
2014-06-04,23:51:37.049000,8.439,8.74021,Clear,0,1196.857,84.935,3
2014-06-04,23:51:37.249000,8.132,8.4311,Clear,0,1196.529,84.877,3
2014-06-04,23:51:37.449000,8.384,8.68159,Clear,0,1196.203,84.819,3
2014-06-04,23:51:37.549000,7.906,8.20273,Clear,0,1196.04,84.789,3
2014-06-04,23:51:37.649000,8.205,8.50048,Clear,0,1195.878,84.76,3
2014-06-04,23:51:37.849000,8.267,8.56183,Clear,0,1195.555,84.702,3
