satellite, 32783 CARTOSAT 2A / IND
catalogue, 1 NORAD
track, 7429487
variability, 1 Aperiodic
variability_period, 0.0
npoints, 653
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2015-04-24,17:58:20.550000,6.914,6.40989,Clear,0,810.096,87.335,9
2015-04-24,17:58:20.650000,6.602,6.0995,Clear,0,810.454,87.379,9
2015-04-24,17:58:20.750000,6.622,6.12097,Clear,0,810.812,87.423,9
2015-04-24,17:58:20.850000,6.625,6.12631,Clear,0,811.171,87.468,9
2015-04-24,17:58:20.950000,6.519,6.02234,Clear,0,811.53,87.512,9
2015-04-24,17:58:21.050000,6.608,6.11252,Clear,0,811.89,87.556,9
2015-04-24,17:58:21.150000,6.535,6.04141,Clear,0,812.251,87.601,9
2015-04-24,17:58:21.250000,6.592,6.10028,Clear,0,812.611,87.645,9
2015-04-24,17:58:21.350000,6.59,6.09949,Clear,0,812.973,87.689,9
2015-04-24,17:58:21.450000,6.486,5.99788,Clear,0,813.335,87.733,9
2015-04-24,17:58:21.550000,6.56,6.07415,Clear,0,813.697,87.777,9
2015-04-24,17:58:21.650000,6.527,6.04156,Clear,0,814.06,87.821,9
2015-04-24,17:58:21.750000,6.509,6.02549,Clear,0,814.423,87.865,9
2015-04-24,17:58:21.850000,6.525,6.04443,Clear,0,814.787,87.909,9
2015-04-24,17:58:21.950000,6.456,5.97722,Clear,0,815.151,87.953,9
2015-04-24,17:58:22.050000,6.534,6.05569,Clear,0,815.516,87.997,9
2015-04-24,17:58:22.150000,6.542,6.06618,Clear,0,815.881,88.041,9
2015-04-24,17:58:22.250000,6.483,6.00894,Clear,0,816.247,88.085,9
2015-04-24,17:58:22.350000,6.534,6.06145,Clear,0,816.614,88.129,9
2015-04-24,17:58:22.450000,6.608,6.13755,Clear,0,816.98,88.172,9
2015-04-24,17:58:22.550000,6.565,6.09615,Clear,0,817.347,88.216,9
2015-04-24,17:58:22.650000,6.458,5.99136,Clear,0,817.715,88.26,9
2015-04-24,17:58:22.750000,6.609,6.14399,Clear,0,818.083,88.303,9
2015-04-24,17:58:22.850000,6.505,6.04206,Clear,0,818.452,88.347,9
2015-04-24,17:58:22.950000,6.469,6.00676,Clear,0,818.821,88.391,9
2015-04-24,17:58:23.050000,6.474,6.01399,Clear,0,819.191,88.434,9
2015-04-24,17:58:23.150000,6.483,6.02523,Clear,0,819.561,88.478,9
2015-04-24,17:58:23.250000,6.58,6.12406,Clear,0,819.931,88.521,9
2015-04-24,17:58:23.350000,6.434,5.98044,Clear,0,820.303,88.564,9
2015-04-24,17:58:23.450000,6.496,6.04278,Clear,0,820.674,88.608,9
2015-04-24,17:58:23.550000,6.474,6.02336,Clear,0,821.046,88.651,9
2015-04-24,17:58:23.650000,6.537,6.08822,Clear,0,821.419,88.694,9
2015-04-24,17:58:23.750000,6.535,6.08833,Clear,0,821.792,88.738,9
