satellite, 25623 GLOBALSTAR M036 / GLOB
catalogue, 1 NORAD
track, 7817783
variability, 2 Periodic
variability_period, 26.7491808
npoints, 1688
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2015-05-31,21:45:41.389000,6.19,7.50625,Clear,0,1901.368,85.483,3
2015-05-31,21:45:41.489000,6.064,7.37978,Clear,0,1901.309,85.491,3
2015-05-31,21:45:41.589000,6.111,7.42713,Clear,0,1901.25,85.5,3
2015-05-31,21:45:41.689000,6.155,7.47091,Clear,0,1901.191,85.508,3
2015-05-31,21:45:41.789000,5.894,7.21003,Clear,0,1901.132,85.517,3
2015-05-31,21:45:41.889000,5.983,7.29865,Clear,0,1901.074,85.525,3
2015-05-31,21:45:41.989000,6.128,7.44437,Clear,0,1901.015,85.533,3
2015-05-31,21:45:42.089000,5.967,7.28261,Clear,0,1900.957,85.542,3
2015-05-31,21:45:42.189000,6.046,7.36238,Clear,0,1900.899,85.55,3
2015-05-31,21:45:42.289000,5.94,7.25559,Clear,0,1900.841,85.558,3
2015-05-31,21:45:42.389000,6.032,7.34816,Clear,0,1900.783,85.567,3
2015-05-31,21:45:42.489000,5.904,7.21961,Clear,0,1900.726,85.575,3
2015-05-31,21:45:42.589000,6.071,7.38771,Clear,0,1900.669,85.584,3
2015-05-31,21:45:42.689000,5.713,7.03032,Clear,0,1900.611,85.592,3
2015-05-31,21:45:42.789000,5.96,7.27721,Clear,0,1900.554,85.6,3
2015-05-31,21:45:42.889000,5.991,7.30748,Clear,0,1900.498,85.609,3
2015-05-31,21:45:42.989000,5.834,7.15096,Clear,0,1900.441,85.617,3
2015-05-31,21:45:43.089000,5.881,7.19755,Clear,0,1900.385,85.626,3
2015-05-31,21:45:43.189000,5.974,7.29126,Clear,0,1900.328,85.634,3
2015-05-31,21:45:43.289000,5.96,7.27677,Clear,0,1900.272,85.642,3
2015-05-31,21:45:43.389000,6.037,7.35433,Clear,0,1900.216,85.651,3
2015-05-31,21:45:43.489000,5.783,7.10025,Clear,0,1900.161,85.659,3
2015-05-31,21:45:43.589000,5.691,7.00769,Clear,0,1900.105,85.668,3
2015-05-31,21:45:43.689000,5.837,7.15359,Clear,0,1900.05,85.676,3
2015-05-31,21:45:43.789000,5.885,7.20337,Clear,0,1899.994,85.684,3
2015-05-31,21:45:43.889000,5.849,7.16683,Clear,0,1899.939,85.693,3
2015-05-31,21:45:43.989000,5.74,7.0577,Clear,0,1899.885,85.701,3
2015-05-31,21:45:44.089000,5.892,7.21013,Clear,0,1899.83,85.71,3
2015-05-31,21:45:44.189000,5.829,7.14664,Clear,0,1899.775,85.718,3
2015-05-31,21:45:44.289000,5.852,7.17042,Clear,0,1899.721,85.726,3
2015-05-31,21:45:44.389000,5.74,7.05796,Clear,0,1899.667,85.735,3
2015-05-31,21:45:44.489000,5.82,7.13812,Clear,0,1899.613,85.743,3
2015-05-31,21:45:44.589000,5.669,6.98691,Clear,0,1899.559,85.752,3
2015-05-31,21:45:44.689000,5.67,6.98812,Clear,0,1899.506,85.76,3
2015-05-31,21:45:44.789000,5.794,7.11146,Clear,0,1899.452,85.768,3
2015-05-31,21:45:44.889000,5.837,7.15623,Clear,0,1899.399,85.777,3
2015-05-31,21:45:44.989000,5.581,6.90032,Clear,0,1899.346,85.785,3
2015-05-31,21:45:45.089000,5.636,6.95453,Clear,0,1899.293,85.794,3
2015-05-31,21:45:45.189000,5.483,6.8023,Clear,0,1899.24,85.802,3
2015-05-31,21:45:45.289000,5.596,6.91472,Clear,0,1899.188,85.811,3
2015-05-31,21:45:45.389000,5.545,6.86397,Clear,0,1899.135,85.819,3
2015-05-31,21:45:45.489000,5.599,6.91795,Clear,0,1899.083,85.827,3
2015-05-31,21:45:45.589000,5.603,6.92161,Clear,0,1899.031,85.836,3
2015-05-31,21:45:45.689000,5.508,6.82698,Clear,0,1898.979,85.844,3
2015-05-31,21:45:45.789000,5.558,6.87714,Clear,0,1898.927,85.853,3
2015-05-31,21:45:45.889000,5.553,6.87174,Clear,0,1898.876,85.861,3
2015-05-31,21:45:45.989000,5.424,6.74319,Clear,0,1898.825,85.87,3
2015-05-31,21:45:46.089000,5.308,6.62812,Clear,0,1898.774,85.878,3
2015-05-31,21:45:46.189000,5.332,6.6519,Clear,0,1898.723,85.886,3
2015-05-31,21:45:46.289000,5.341,6.6611,Clear,0,1898.672,85.895,3
2015-05-31,21:45:46.389000,5.333,6.65272,Clear,0,1898.621,85.903,3
2015-05-31,21:45:46.489000,5.464,6.78389,Clear,0,1898.571,85.912,3
2015-05-31,21:45:46.589000,5.37,6.69031,Clear,0,1898.521,85.92,3
2015-05-31,21:45:46.689000,5.485,6.80497,Clear,0,1898.47,85.929,3
2015-05-31,21:45:46.789000,5.591,6.91119,Clear,0,1898.421,85.937,3
2015-05-31,21:45:46.889000,5.527,6.84674,Clear,0,1898.371,85.946,3
2015-05-31,21:45:46.989000,5.599,6.91847,Clear,0,1898.321,85.954,3
2015-05-31,21:45:47.089000,5.499,6.8189,Clear,0,1898.272,85.962,3
2015-05-31,21:45:47.189000,5.613,6.9344,Clear,0,1898.223,85.971,3
2015-05-31,21:45:47.289000,5.743,7.06397,Clear,0,1898.174,85.979,3
2015-05-31,21:45:47.389000,5.733,7.05436,Clear,0,1898.125,85.988,3
2015-05-31,21:45:47.489000,5.75,7.07125,Clear,0,1898.076,85.996,3
2015-05-31,21:45:47.589000,5.71,7.03132,Clear,0,1898.028,86.005,3
2015-05-31,21:45:47.689000,5.66,6.98062,Clear,0,1897.98,86.013,3
2015-05-31,21:45:47.789000,5.725,7.04634,Clear,0,1897.931,86.022,3
2015-05-31,21:45:47.889000,5.729,7.05036,Clear,0,1897.883,86.03,3
2015-05-31,21:45:47.989000,5.718,7.03911,Clear,0,1897.836,86.039,3
2015-05-31,21:45:48.089000,5.743,7.06429,Clear,0,1897.788,86.047,3
2015-05-31,21:45:48.189000,5.73,7.05231,Clear,0,1897.741,86.056,3
2015-05-31,21:45:48.289000,5.633,6.955,Clear,0,1897.693,86.064,3
2015-05-31,21:45:48.389000,5.621,6.94286,Clear,0,1897.646,86.072,3
2015-05-31,21:45:48.489000,5.765,7.08647,Clear,0,1897.6,86.081,3
2015-05-31,21:45:48.589000,5.586,6.90793,Clear,0,1897.553,86.089,3
2015-05-31,21:45:48.689000,5.734,7.05644,Clear,0,1897.506,86.098,3
2015-05-31,21:45:48.789000,5.933,7.25456,Clear,0,1897.46,86.106,3
2015-05-31,21:45:48.889000,5.798,7.11984,Clear,0,1897.414,86.115,3
2015-05-31,21:45:48.904000,5.868,7.18984,Clear,0,1897.407,86.116,6
2015-05-31,21:45:48.989000,5.63,6.95155,Clear,0,1897.368,86.123,3
2015-05-31,21:45:49.004000,5.726,7.04819,Clear,0,1897.361,86.125,6
2015-05-31,21:45:49.089000,5.866,7.18748,Clear,0,1897.322,86.132,3
2015-05-31,21:45:49.104000,5.58,6.90238,Clear,0,1897.315,86.133,6
2015-05-31,21:45:49.189000,5.646,6.96778,Clear,0,1897.276,86.14,3
2015-05-31,21:45:49.204000,5.631,6.95366,Clear,0,1897.27,86.142,6
2015-05-31,21:45:49.289000,5.692,7.01536,Clear,0,1897.231,86.149,3
2015-05-31,21:45:49.304000,5.598,6.92116,Clear,0,1897.224,86.15,6
2015-05-31,21:45:49.389000,5.706,7.02944,Clear,0,1897.186,86.157,3
2015-05-31,21:45:49.404000,5.659,6.98231,Clear,0,1897.179,86.158,6
2015-05-31,21:45:49.489000,5.879,7.20236,Clear,0,1897.141,86.166,3
2015-05-31,21:45:49.504000,5.675,6.99773,Clear,0,1897.134,86.167,6
2015-05-31,21:45:49.589000,5.662,6.98541,Clear,0,1897.096,86.174,3
2015-05-31,21:45:49.604000,5.699,7.02195,Clear,0,1897.089,86.175,6
2015-05-31,21:45:49.689000,5.632,6.95466,Clear,0,1897.051,86.183,3
2015-05-31,21:45:49.704000,5.607,6.92981,Clear,0,1897.044,86.184,6
2015-05-31,21:45:49.789000,5.682,7.00459,Clear,0,1897.006,86.191,3
2015-05-31,21:45:49.804000,5.569,6.89157,Clear,0,1897.0,86.192,6
2015-05-31,21:45:49.889000,5.691,7.01356,Clear,0,1896.962,86.2,3
2015-05-31,21:45:49.904000,5.586,6.90888,Clear,0,1896.955,86.201,6
2015-05-31,21:45:49.989000,5.67,6.9928,Clear,0,1896.918,86.208,3
2015-05-31,21:45:50.004000,5.602,6.92501,Clear,0,1896.911,86.209,6
2015-05-31,21:45:50.089000,5.591,6.91393,Clear,0,1896.874,86.217,3
2015-05-31,21:45:50.104000,5.626,6.94912,Clear,0,1896.867,86.218,6
2015-05-31,21:45:50.189000,5.528,6.85134,Clear,0,1896.83,86.225,3
2015-05-31,21:45:50.204000,5.4,6.72374,Clear,0,1896.823,86.226,6
2015-05-31,21:45:50.289000,5.615,6.93876,Clear,0,1896.786,86.234,3
2015-05-31,21:45:50.304000,5.665,6.9887,Clear,0,1896.78,86.235,6
2015-05-31,21:45:50.389000,5.42,6.74399,Clear,0,1896.743,86.242,3
2015-05-31,21:45:50.404000,5.422,6.74555,Clear,0,1896.736,86.243,6
2015-05-31,21:45:50.489000,5.396,6.71985,Clear,0,1896.699,86.251,3
2015-05-31,21:45:50.504000,5.464,6.78815,Clear,0,1896.693,86.252,6
2015-05-31,21:45:50.589000,5.377,6.70106,Clear,0,1896.656,86.259,3
2015-05-31,21:45:50.604000,5.506,6.83027,Clear,0,1896.65,86.26,6
2015-05-31,21:45:50.689000,5.387,6.71144,Clear,0,1896.613,86.268,3
2015-05-31,21:45:50.704000,5.357,6.68045,Clear,0,1896.607,86.269,6
2015-05-31,21:45:50.789000,5.499,6.82293,Clear,0,1896.57,86.276,3
2015-05-31,21:45:50.804000,5.279,6.60262,Clear,0,1896.564,86.277,6
2015-05-31,21:45:50.889000,5.39,6.714,Clear,0,1896.528,86.285,3
2015-05-31,21:45:50.904000,5.272,6.59582,Clear,0,1896.521,86.286,6
2015-05-31,21:45:50.989000,5.358,6.68217,Clear,0,1896.485,86.293,3
2015-05-31,21:45:51.004000,5.363,6.68726,Clear,0,1896.479,86.294,6
2015-05-31,21:45:51.089000,5.316,6.64032,Clear,0,1896.443,86.302,3
2015-05-31,21:45:51.104000,5.3,6.62348,Clear,0,1896.437,86.303,6
2015-05-31,21:45:51.189000,5.134,6.45897,Clear,0,1896.401,86.31,3
2015-05-31,21:45:51.204000,5.174,6.49931,Clear,0,1896.395,86.311,6
2015-05-31,21:45:51.289000,5.059,6.3844,Clear,0,1896.359,86.319,3
2015-05-31,21:45:51.304000,4.943,6.26841,Clear,0,1896.353,86.32,6
2015-05-31,21:45:51.389000,4.945,6.26988,Clear,0,1896.317,86.327,3
2015-05-31,21:45:51.404000,4.953,6.27755,Clear,0,1896.311,86.328,6
2015-05-31,21:45:51.489000,4.962,6.28728,Clear,0,1896.276,86.336,3
2015-05-31,21:45:51.504000,4.924,6.24928,Clear,0,1896.27,86.337,6
2015-05-31,21:45:51.589000,4.946,6.27058,Clear,0,1896.235,86.344,3
2015-05-31,21:45:51.604000,4.886,6.21075,Clear,0,1896.228,86.345,6
2015-05-31,21:45:51.689000,4.764,6.08888,Clear,0,1896.193,86.353,3
2015-05-31,21:45:51.704000,4.688,6.01308,Clear,0,1896.187,86.354,6
2015-05-31,21:45:51.789000,4.645,5.96955,Clear,0,1896.152,86.361,3
2015-05-31,21:45:51.804000,4.428,5.75273,Clear,0,1896.146,86.362,6
2015-05-31,21:45:51.889000,4.53,5.85464,Clear,0,1896.112,86.37,3
2015-05-31,21:45:51.904000,4.398,5.72298,Clear,0,1896.105,86.371,6
2015-05-31,21:45:51.989000,4.328,5.65332,Clear,0,1896.071,86.378,3
2015-05-31,21:45:52.004000,4.361,5.68618,Clear,0,1896.065,86.379,6
2015-05-31,21:45:52.089000,4.295,5.61994,Clear,0,1896.03,86.387,3
2015-05-31,21:45:52.104000,3.906,5.23077,Clear,0,1896.024,86.388,6
2015-05-31,21:45:52.189000,3.864,5.18994,Clear,0,1895.99,86.395,3
2015-05-31,21:45:52.204000,3.704,5.0301,Clear,0,1895.984,86.396,6
2015-05-31,21:45:52.289000,3.581,4.90653,Clear,0,1895.95,86.404,3
2015-05-31,21:45:52.304000,3.576,4.90145,Clear,0,1895.944,86.405,6
2015-05-31,21:45:52.389000,3.284,4.60962,Clear,0,1895.91,86.412,3
2015-05-31,21:45:52.404000,3.232,4.55789,Clear,0,1895.904,86.413,6
2015-05-31,21:45:52.489000,2.936,4.26194,Clear,0,1895.87,86.421,3
2015-05-31,21:45:52.504000,2.795,4.12139,Clear,0,1895.864,86.422,6
2015-05-31,21:45:52.589000,2.506,3.83221,Clear,0,1895.831,86.429,3
2015-05-31,21:45:52.604000,2.549,3.87514,Clear,0,1895.825,86.43,6
2015-05-31,21:45:52.689000,2.02,3.34642,Clear,0,1895.791,86.438,3
2015-05-31,21:45:52.704000,1.987,3.31308,Clear,0,1895.785,86.439,6
2015-05-31,21:45:52.789000,0.86,2.18578,Clear,0,1895.752,86.446,3
2015-05-31,21:45:52.804000,0.913,2.2387,Clear,0,1895.746,86.448,6
2015-05-31,21:45:52.889000,0.139,1.46456,Clear,0,1895.713,86.455,3
2015-05-31,21:45:52.904000,0.202,1.52841,Clear,0,1895.707,86.456,6
2015-05-31,21:45:52.989000,1.236,2.56173,Clear,0,1895.674,86.463,3
2015-05-31,21:45:53.004000,1.113,2.43916,Clear,0,1895.668,86.465,6
2015-05-31,21:45:53.089000,1.955,3.28199,Clear,0,1895.635,86.472,3
2015-05-31,21:45:53.104000,1.736,3.06291,Clear,0,1895.63,86.473,6
2015-05-31,21:45:53.189000,2.358,3.68455,Clear,0,1895.597,86.48,3
2015-05-31,21:45:53.204000,2.304,3.6312,Clear,0,1895.591,86.482,6
2015-05-31,21:45:53.289000,2.789,4.11628,Clear,0,1895.559,86.489,3
2015-05-31,21:45:53.304000,2.899,4.22612,Clear,0,1895.553,86.49,6
2015-05-31,21:45:53.389000,3.275,4.60239,Clear,0,1895.52,86.497,3
2015-05-31,21:45:53.404000,3.142,4.4689,Clear,0,1895.515,86.499,6
2015-05-31,21:45:53.489000,3.531,4.85818,Clear,0,1895.482,86.506,3
2015-05-31,21:45:53.504000,3.572,4.89849,Clear,0,1895.477,86.507,6
2015-05-31,21:45:53.589000,3.968,5.29469,Clear,0,1895.445,86.514,3
2015-05-31,21:45:53.604000,3.866,5.19258,Clear,0,1895.439,86.516,6
2015-05-31,21:45:53.689000,4.287,5.61353,Clear,0,1895.407,86.523,3
2015-05-31,21:45:53.704000,4.023,5.35043,Clear,0,1895.401,86.524,6
2015-05-31,21:45:53.789000,4.332,5.65933,Clear,0,1895.37,86.532,3
2015-05-31,21:45:53.804000,4.083,5.41012,Clear,0,1895.364,86.533,6
2015-05-31,21:45:53.889000,4.385,5.71236,Clear,0,1895.332,86.54,3
2015-05-31,21:45:53.904000,4.253,5.57978,Clear,0,1895.327,86.541,6
2015-05-31,21:45:53.989000,4.669,5.99626,Clear,0,1895.295,86.549,3
2015-05-31,21:45:54.004000,4.487,5.81527,Clear,0,1895.29,86.55,6
2015-05-31,21:45:54.089000,4.735,6.06335,Clear,0,1895.258,86.557,3
2015-05-31,21:45:54.104000,4.643,5.97098,Clear,0,1895.253,86.558,6
2015-05-31,21:45:54.189000,4.848,6.17554,Clear,0,1895.222,86.566,3
2015-05-31,21:45:54.204000,4.803,6.13065,Clear,0,1895.216,86.567,6
2015-05-31,21:45:54.289000,4.869,6.19728,Clear,0,1895.185,86.574,3
