satellite, 37818 TACSAT 4 / US
catalogue, 1 NORAD
track, 8052642
variability, 1 Aperiodic
variability_period, 0.0
npoints, 970
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2015-07-17,23:41:41.700000,6.442,8.97267,Clear,0,3295.803,86.657,1
2015-07-17,23:41:41.800000,6.558,9.08878,Clear,0,3295.595,86.655,1
2015-07-17,23:41:41.900000,6.292,8.82314,Clear,0,3295.387,86.654,1
2015-07-17,23:41:42,6.822,9.35218,Clear,0,3295.179,86.653,1
2015-07-17,23:41:42.200000,6.489,9.01907,Clear,0,3294.763,86.65,1
2015-07-17,23:41:42.300000,6.639,9.16863,Clear,0,3294.555,86.649,1
2015-07-17,23:41:42.400000,6.511,9.04122,Clear,0,3294.347,86.648,1
2015-07-17,23:41:42.500000,6.387,8.91675,Clear,0,3294.14,86.646,1
2015-07-17,23:41:42.600000,6.691,9.22005,Clear,0,3293.932,86.645,1
2015-07-17,23:41:42.700000,6.753,9.2815,Clear,0,3293.725,86.644,1
2015-07-17,23:41:42.800000,6.431,8.95968,Clear,0,3293.518,86.643,1
2015-07-17,23:41:42.900000,6.617,9.14579,Clear,0,3293.31,86.641,1
2015-07-17,23:41:43,6.582,9.1111,Clear,0,3293.103,86.64,1
2015-07-17,23:41:43.100000,6.448,8.97722,Clear,0,3292.896,86.639,1
2015-07-17,23:41:43.200000,6.376,8.9044,Clear,0,3292.689,86.638,1
2015-07-17,23:41:43.300000,6.22,8.7484,Clear,0,3292.482,86.636,1
2015-07-17,23:41:43.400000,7.071,9.59944,Clear,0,3292.276,86.635,1
2015-07-17,23:41:43.500000,6.561,9.08878,Clear,0,3292.069,86.634,1
2015-07-17,23:41:43.600000,6.665,9.19265,Clear,0,3291.862,86.633,1
2015-07-17,23:41:43.700000,6.592,9.12016,Clear,0,3291.656,86.631,1
