satellite, 4332 THOR BURNER 2 R/B / US
catalogue, 1 NORAD
track, 8151775
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1071
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2015-07-25,21:09:33.896000,8.476,7.95696,Clear,0,927.938,66.931,9
2015-07-25,21:09:33.996000,8.241,7.72263,Clear,0,927.992,66.977,9
2015-07-25,21:09:34.096000,8.398,7.88058,Clear,0,928.046,67.023,9
2015-07-25,21:09:34.196000,8.228,7.71108,Clear,0,928.101,67.069,9
2015-07-25,21:09:34.296000,8.075,7.55922,Clear,0,928.156,67.115,9
2015-07-25,21:09:34.396000,8.026,7.51137,Clear,0,928.212,67.16,9
2015-07-25,21:09:34.496000,8.033,7.51833,Clear,0,928.269,67.206,9
2015-07-25,21:09:34.596000,8.183,7.66856,Clear,0,928.326,67.252,9
2015-07-25,21:09:34.696000,8.005,7.49214,Clear,0,928.383,67.298,9
2015-07-25,21:09:34.796000,7.954,7.4424,Clear,0,928.441,67.344,9
2015-07-25,21:09:34.896000,7.94,7.42795,Clear,0,928.5,67.389,9
2015-07-25,21:09:34.996000,8.044,7.53335,Clear,0,928.559,67.435,9
2015-07-25,21:09:35.096000,8.017,7.50649,Clear,0,928.618,67.481,9
2015-07-25,21:09:35.196000,7.962,7.45193,Clear,0,928.679,67.527,9
2015-07-25,21:09:35.296000,7.863,7.35414,Clear,0,928.739,67.572,9
2015-07-25,21:09:35.396000,8.025,7.5169,Clear,0,928.8,67.618,9
2015-07-25,21:09:35.496000,7.728,7.22074,Clear,0,928.862,67.664,9
2015-07-25,21:09:35.596000,7.966,7.45883,Clear,0,928.924,67.71,9
2015-07-25,21:09:35.696000,7.823,7.31665,Clear,0,928.987,67.755,9
2015-07-25,21:09:35.796000,7.83,7.32544,Clear,0,929.051,67.801,9
2015-07-25,21:09:35.896000,7.675,7.17096,Clear,0,929.114,67.847,9
2015-07-25,21:09:35.996000,7.801,7.2972,Clear,0,929.179,67.892,9
2015-07-25,21:09:36.096000,7.75,7.24648,Clear,0,929.244,67.938,9
2015-07-25,21:09:36.196000,7.917,7.41514,Clear,0,929.309,67.984,9
2015-07-25,21:09:36.296000,7.792,7.29005,Clear,0,929.375,68.029,9
2015-07-25,21:09:36.396000,7.887,7.38627,Clear,0,929.442,68.075,9
2015-07-25,21:09:36.496000,7.837,7.337,Clear,0,929.509,68.121,9
2015-07-25,21:09:36.596000,8.063,7.56384,Clear,0,929.576,68.167,9
2015-07-25,21:09:36.696000,7.85,7.35113,Clear,0,929.644,68.212,9
2015-07-25,21:09:36.796000,7.914,7.41587,Clear,0,929.713,68.258,9
2015-07-25,21:09:36.896000,7.707,7.20947,Clear,0,929.782,68.304,9
2015-07-25,21:09:36.996000,7.959,7.46245,Clear,0,929.852,68.349,9
2015-07-25,21:09:37.096000,7.907,7.41066,Clear,0,929.922,68.395,9
2015-07-25,21:09:37.196000,7.96,7.46487,Clear,0,929.992,68.44,9
2015-07-25,21:09:37.296000,7.867,7.37267,Clear,0,930.064,68.486,9
2015-07-25,21:09:37.396000,7.883,7.38952,Clear,0,930.135,68.532,9
2015-07-25,21:09:37.496000,7.921,7.42825,Clear,0,930.208,68.577,9
2015-07-25,21:09:37.596000,7.822,7.3304,Clear,0,930.28,68.623,9
2015-07-25,21:09:37.696000,7.737,7.24586,Clear,0,930.354,68.669,9
2015-07-25,21:09:37.796000,7.816,7.32638,Clear,0,930.428,68.714,9
2015-07-25,21:09:37.896000,7.962,7.47185,Clear,0,930.502,68.76,9
2015-07-25,21:09:37.996000,7.963,7.47384,Clear,0,930.577,68.805,9
2015-07-25,21:09:38.096000,7.856,7.36752,Clear,0,930.652,68.851,9
2015-07-25,21:09:38.196000,7.847,7.36019,Clear,0,930.728,68.897,9
2015-07-25,21:09:38.296000,8.039,7.55298,Clear,0,930.805,68.942,9
2015-07-25,21:09:38.396000,7.919,7.43294,Clear,0,930.882,68.988,9
2015-07-25,21:09:38.496000,7.762,7.27704,Clear,0,930.959,69.033,9
2015-07-25,21:09:38.596000,7.882,7.39747,Clear,0,931.037,69.079,9
2015-07-25,21:09:38.696000,7.993,7.51042,Clear,0,931.116,69.124,9
2015-07-25,21:09:38.796000,7.977,7.494,Clear,0,931.195,69.17,9
2015-07-25,21:09:38.896000,7.862,7.37966,Clear,0,931.275,69.215,9
2015-07-25,21:09:38.996000,7.857,7.37588,Clear,0,931.355,69.261,9
2015-07-25,21:09:39.096000,7.848,7.36835,Clear,0,931.436,69.306,9
2015-07-25,21:09:39.196000,7.803,7.32437,Clear,0,931.517,69.352,9
2015-07-25,21:09:39.296000,7.779,7.3002,Clear,0,931.599,69.397,9
2015-07-25,21:09:39.396000,7.874,7.39633,Clear,0,931.681,69.443,9
2015-07-25,21:09:39.496000,7.997,7.52008,Clear,0,931.764,69.488,9
2015-07-25,21:09:39.596000,7.909,7.43324,Clear,0,931.847,69.534,9
2015-07-25,21:09:39.696000,8.083,7.60765,Clear,0,931.931,69.579,9
2015-07-25,21:09:39.796000,7.833,7.35812,Clear,0,932.015,69.625,9
2015-07-25,21:09:39.896000,7.785,7.3111,Clear,0,932.1,69.67,9
2015-07-25,21:09:39.996000,7.834,7.36102,Clear,0,932.185,69.716,9
2015-07-25,21:09:40.096000,8.036,7.56367,Clear,0,932.271,69.761,9
2015-07-25,21:09:40.196000,7.827,7.35606,Clear,0,932.358,69.807,9
2015-07-25,21:09:40.296000,7.803,7.33147,Clear,0,932.445,69.852,9
2015-07-25,21:09:40.396000,7.831,7.36129,Clear,0,932.532,69.897,9
2015-07-25,21:09:40.496000,7.87,7.40104,Clear,0,932.62,69.943,9
2015-07-25,21:09:40.596000,7.84,7.37169,Clear,0,932.709,69.988,9
2015-07-25,21:09:40.696000,7.93,7.46291,Clear,0,932.798,70.034,9
2015-07-25,21:09:40.796000,7.981,7.51437,Clear,0,932.887,70.079,9
2015-07-25,21:09:40.896000,8.044,7.57764,Clear,0,932.978,70.124,9
2015-07-25,21:09:40.996000,7.892,7.42737,Clear,0,933.068,70.17,9
2015-07-25,21:09:41.096000,7.731,7.26647,Clear,0,933.159,70.215,9
2015-07-25,21:09:41.196000,7.829,7.36586,Clear,0,933.251,70.26,9
2015-07-25,21:09:41.296000,7.832,7.36933,Clear,0,933.343,70.306,9
2015-07-25,21:09:41.396000,7.775,7.31321,Clear,0,933.436,70.351,9
2015-07-25,21:09:41.496000,7.728,7.26723,Clear,0,933.529,70.396,9
2015-07-25,21:09:41.596000,7.771,7.31136,Clear,0,933.623,70.442,9
2015-07-25,21:09:41.696000,7.804,7.34458,Clear,0,933.717,70.487,9
2015-07-25,21:09:41.796000,7.801,7.34309,Clear,0,933.812,70.532,9
2015-07-25,21:09:41.896000,7.827,7.36919,Clear,0,933.907,70.578,9
2015-07-25,21:09:41.996000,7.633,7.17622,Clear,0,934.003,70.623,9
2015-07-25,21:09:42.096000,7.688,7.23163,Clear,0,934.099,70.668,9
2015-07-25,21:09:42.196000,7.714,7.25939,Clear,0,934.196,70.713,9
2015-07-25,21:09:42.296000,7.596,7.14153,Clear,0,934.294,70.759,9
2015-07-25,21:09:42.396000,7.582,7.12889,Clear,0,934.392,70.804,9
2015-07-25,21:09:42.496000,7.654,7.20071,Clear,0,934.49,70.849,9
2015-07-25,21:09:42.596000,7.806,7.35414,Clear,0,934.589,70.894,9
2015-07-25,21:09:42.696000,7.652,7.20047,Clear,0,934.688,70.94,9
2015-07-25,21:09:42.796000,7.67,7.21952,Clear,0,934.788,70.985,9
2015-07-25,21:09:42.896000,7.707,7.25838,Clear,0,934.889,71.03,9
2015-07-25,21:09:42.996000,7.68,7.23224,Clear,0,934.99,71.075,9
2015-07-25,21:09:43.096000,7.612,7.16353,Clear,0,935.092,71.121,9
2015-07-25,21:09:43.196000,7.728,7.28089,Clear,0,935.194,71.166,9
2015-07-25,21:09:43.296000,7.584,7.13824,Clear,0,935.296,71.211,9
2015-07-25,21:09:43.396000,7.605,7.15983,Clear,0,935.399,71.256,9
2015-07-25,21:09:43.496000,7.573,7.12923,Clear,0,935.503,71.301,9
