satellite, 27386 ENVISAT / ESA
catalogue, 1 NORAD
track, 8265497
variability, 1 Aperiodic
variability_period, 0.0
npoints, 894
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2015-07-31,18:30:53.370000,4.58,4.08275,Clear,0,878.837,77.048,2
2015-07-31,18:30:53.470000,4.58,4.08287,Clear,0,878.678,77.087,2
2015-07-31,18:30:53.570000,4.615,4.11756,Clear,0,878.519,77.125,2
2015-07-31,18:30:53.670000,4.653,4.15643,Clear,0,878.36,77.164,2
2015-07-31,18:30:53.770000,4.696,4.1988,Clear,0,878.202,77.202,2
2015-07-31,18:30:53.870000,4.673,4.17578,Clear,0,878.045,77.24,2
2015-07-31,18:30:53.970000,4.661,4.16527,Clear,0,877.888,77.279,2
2015-07-31,18:30:54.070000,4.68,4.18439,Clear,0,877.731,77.317,2
2015-07-31,18:30:54.170000,4.611,4.11501,Clear,0,877.576,77.356,2
2015-07-31,18:30:54.270000,4.649,4.1525,Clear,0,877.42,77.394,2
2015-07-31,18:30:54.370000,4.71,4.21379,Clear,0,877.266,77.433,2
2015-07-31,18:30:54.470000,4.738,4.24334,Clear,0,877.111,77.471,2
2015-07-31,18:30:54.570000,4.795,4.30008,Clear,0,876.958,77.51,2
2015-07-31,18:30:54.670000,4.753,4.25774,Clear,0,876.805,77.549,2
2015-07-31,18:30:54.770000,4.793,4.29803,Clear,0,876.652,77.587,2
2015-07-31,18:30:54.870000,4.753,4.2593,Clear,0,876.5,77.626,2
2015-07-31,18:30:54.970000,4.75,4.25635,Clear,0,876.349,77.664,2
2015-07-31,18:30:55.070000,4.751,4.25738,Clear,0,876.198,77.703,2
2015-07-31,18:30:55.170000,4.707,4.21327,Clear,0,876.048,77.742,2
2015-07-31,18:30:55.270000,4.74,4.24627,Clear,0,875.898,77.78,2
2015-07-31,18:30:55.370000,4.672,4.17899,Clear,0,875.749,77.819,2
2015-07-31,18:30:55.470000,4.653,4.15954,Clear,0,875.6,77.858,2
2015-07-31,18:30:55.570000,4.62,4.12682,Clear,0,875.452,77.896,2
2015-07-31,18:30:55.670000,4.676,4.18293,Clear,0,875.305,77.935,2
2015-07-31,18:30:55.770000,4.577,4.08453,Clear,0,875.158,77.974,2
2015-07-31,18:30:55.870000,4.584,4.09217,Clear,0,875.011,78.013,2
2015-07-31,18:30:55.970000,4.596,4.10363,Clear,0,874.865,78.052,2
2015-07-31,18:30:56.070000,4.615,4.1229,Clear,0,874.72,78.09,2
2015-07-31,18:30:56.170000,4.623,4.13072,Clear,0,874.575,78.129,2
2015-07-31,18:30:56.270000,4.599,4.1076,Clear,0,874.431,78.168,2
2015-07-31,18:30:56.370000,4.644,4.1526,Clear,0,874.287,78.207,2
2015-07-31,18:30:56.470000,4.633,4.14184,Clear,0,874.144,78.246,2
2015-07-31,18:30:56.570000,4.61,4.11895,Clear,0,874.002,78.285,2
2015-07-31,18:30:56.670000,4.53,4.04005,Clear,0,873.86,78.324,2
2015-07-31,18:30:56.770000,4.431,3.94053,Clear,0,873.718,78.362,2
2015-07-31,18:30:56.870000,4.338,3.84841,Clear,0,873.578,78.401,2
2015-07-31,18:30:56.970000,4.346,3.85584,Clear,0,873.437,78.44,2
2015-07-31,18:30:57.070000,4.471,3.98194,Clear,0,873.298,78.479,2
2015-07-31,18:30:57.170000,4.518,4.02892,Clear,0,873.158,78.518,2
2015-07-31,18:30:57.270000,4.518,4.02851,Clear,0,873.02,78.557,2
2015-07-31,18:30:57.370000,4.587,4.09801,Clear,0,872.882,78.596,2
2015-07-31,18:30:57.470000,4.572,4.0838,Clear,0,872.744,78.635,2
2015-07-31,18:30:57.570000,4.483,3.99536,Clear,0,872.607,78.674,2
2015-07-31,18:30:57.670000,4.49,4.00154,Clear,0,872.471,78.713,2
2015-07-31,18:30:57.770000,4.379,3.8921,Clear,0,872.335,78.753,2
2015-07-31,18:30:57.870000,4.362,3.87483,Clear,0,872.2,78.792,2
2015-07-31,18:30:57.970000,4.365,3.87745,Clear,0,872.065,78.831,2
2015-07-31,18:30:58.070000,4.43,3.94246,Clear,0,871.931,78.87,2
2015-07-31,18:30:58.170000,4.404,3.91761,Clear,0,871.797,78.909,2
2015-07-31,18:30:58.270000,4.438,3.95151,Clear,0,871.664,78.948,2
2015-07-31,18:30:58.370000,4.397,3.91077,Clear,0,871.532,78.987,2
2015-07-31,18:30:58.470000,4.434,3.9484,Clear,0,871.4,79.027,2
2015-07-31,18:30:58.570000,4.429,3.94413,Clear,0,871.268,79.066,2
2015-07-31,18:30:58.670000,4.455,3.96986,Clear,0,871.137,79.105,2
2015-07-31,18:30:58.770000,4.524,4.03896,Clear,0,871.007,79.144,2
2015-07-31,18:30:58.870000,4.458,3.97398,Clear,0,870.877,79.183,2
2015-07-31,18:30:58.970000,4.43,3.94552,Clear,0,870.748,79.223,2
2015-07-31,18:30:59.070000,4.443,3.95894,Clear,0,870.62,79.262,2
2015-07-31,18:30:59.170000,4.425,3.94194,Clear,0,870.492,79.301,2
2015-07-31,18:30:59.270000,4.425,3.94178,Clear,0,870.364,79.341,2
2015-07-31,18:30:59.370000,4.396,3.9132,Clear,0,870.238,79.38,2
2015-07-31,18:30:59.470000,4.416,3.93266,Clear,0,870.111,79.419,2
2015-07-31,18:30:59.570000,4.41,3.92821,Clear,0,869.985,79.459,2
2015-07-31,18:30:59.670000,4.456,3.97394,Clear,0,869.86,79.498,2
