satellite, 899 EXPLORER 22 / US
catalogue, 1 NORAD
track, 8270643
variability, 1 Aperiodic
variability_period, 0.0
npoints, 667
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2015-07-31,21:33:08.097000,6.678,6.91338,Clear,0,1167.979,84.192,4
2015-07-31,21:33:08.197000,6.761,6.99516,Clear,0,1167.834,84.161,4
2015-07-31,21:33:08.297000,6.783,7.01644,Clear,0,1167.69,84.13,4
2015-07-31,21:33:08.397000,6.696,6.92905,Clear,0,1167.545,84.099,4
2015-07-31,21:33:08.497000,6.583,6.81505,Clear,0,1167.401,84.068,4
2015-07-31,21:33:08.597000,6.566,6.79702,Clear,0,1167.258,84.037,4
2015-07-31,21:33:08.697000,6.587,6.81739,Clear,0,1167.114,84.007,4
2015-07-31,21:33:08.797000,6.639,6.86937,Clear,0,1166.972,83.976,4
2015-07-31,21:33:08.897000,6.813,7.04167,Clear,0,1166.829,83.945,4
2015-07-31,21:33:08.997000,7.152,7.37958,Clear,0,1166.687,83.914,4
2015-07-31,21:33:09.097000,7.55,7.77734,Clear,0,1166.545,83.883,4
2015-07-31,21:33:09.197000,7.755,7.98085,Clear,0,1166.404,83.852,4
2015-07-31,21:33:09.397000,7.731,7.95624,Clear,0,1166.122,83.79,4
2015-07-31,21:33:09.497000,8.029,8.25299,Clear,0,1165.981,83.759,4
2015-07-31,21:33:09.597000,8.448,8.67101,Clear,0,1165.841,83.728,4
2015-07-31,21:33:09.697000,8.512,8.73346,Clear,0,1165.702,83.697,4
2015-07-31,21:33:09.797000,7.686,7.90778,Clear,0,1165.563,83.666,4
2015-07-31,21:33:09.897000,7.015,7.23601,Clear,0,1165.424,83.635,4
2015-07-31,21:33:09.997000,6.602,6.82234,Clear,0,1165.285,83.604,4
2015-07-31,21:33:10.097000,6.245,6.46351,Clear,0,1165.147,83.573,4
2015-07-31,21:33:10.197000,6.097,6.31484,Clear,0,1165.009,83.542,4
2015-07-31,21:33:10.297000,5.855,6.07261,Clear,0,1164.872,83.511,4
2015-07-31,21:33:10.397000,5.756,5.973,Clear,0,1164.734,83.48,4
2015-07-31,21:33:10.497000,5.699,5.91492,Clear,0,1164.598,83.449,4
2015-07-31,21:33:10.597000,5.555,5.77013,Clear,0,1164.461,83.418,4
