satellite, 40060 DELTA 2 R/B / US
catalogue, 1 NORAD
track, 8578993
variability, 1 Aperiodic
variability_period, 0.0
npoints, 2093
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2015-09-01,22:09:00.496000,4.146,9.08737,Clear,0,10700.513,77.799,4
2015-09-01,22:09:00.596000,4.515,9.45552,Clear,0,10700.449,77.797,4
2015-09-01,22:09:00.696000,4.565,9.5063,Clear,0,10700.384,77.795,4
2015-09-01,22:09:00.796000,4.0,8.94094,Clear,0,10700.32,77.793,4
2015-09-01,22:09:00.896000,4.2,9.14046,Clear,0,10700.255,77.791,4
2015-09-01,22:09:01.196000,4.575,9.51552,Clear,0,10700.062,77.786,4
2015-09-01,22:09:01.596000,4.236,9.17694,Clear,0,10699.804,77.778,4
2015-09-01,22:09:01.796000,4.424,9.36532,Clear,0,10699.675,77.774,4
2015-09-01,22:09:02.096000,4.14,9.08126,Clear,0,10699.481,77.769,4
2015-09-01,22:09:02.396000,4.088,9.02912,Clear,0,10699.288,77.763,4
2015-09-01,22:09:02.496000,4.363,9.30395,Clear,0,10699.223,77.761,4
2015-09-01,22:09:02.696000,4.342,9.28318,Clear,0,10699.094,77.758,4
2015-09-01,22:09:03.496000,4.355,9.29476,Clear,0,10698.579,77.743,4
2015-09-01,22:09:03.596000,4.565,9.50528,Clear,0,10698.514,77.741,4
2015-09-01,22:09:04.096000,4.312,9.25238,Clear,0,10698.192,77.731,4
2015-09-01,22:09:04.596000,4.331,9.27091,Clear,0,10697.869,77.722,4
2015-09-01,22:09:05.096000,4.442,9.38148,Clear,0,10697.547,77.713,4
2015-09-01,22:09:05.196000,4.514,9.45261,Clear,0,10697.483,77.711,4
2015-09-01,22:09:05.296000,4.277,9.21551,Clear,0,10697.418,77.709,4
2015-09-01,22:09:05.596000,4.298,9.23653,Clear,0,10697.225,77.704,4
2015-09-01,22:09:05.796000,4.369,9.30815,Clear,0,10697.096,77.7,4
2015-09-01,22:09:05.996000,4.101,9.04012,Clear,0,10696.967,77.696,4
2015-09-01,22:09:06.096000,4.088,9.02719,Clear,0,10696.903,77.694,4
2015-09-01,22:09:06.196000,4.237,9.17619,Clear,0,10696.838,77.692,4
2015-09-01,22:09:06.296000,4.488,9.42678,Clear,0,10696.774,77.69,4
2015-09-01,22:09:06.396000,4.483,9.42206,Clear,0,10696.709,77.689,4
2015-09-01,22:09:06.596000,4.798,9.73741,Clear,0,10696.58,77.685,4
2015-09-01,22:09:06.896000,4.569,9.50834,Clear,0,10696.387,77.679,4
2015-09-01,22:09:06.996000,4.228,9.16659,Clear,0,10696.323,77.677,4
2015-09-01,22:09:07.196000,4.907,9.84625,Clear,0,10696.194,77.674,4
2015-09-01,22:09:07.796000,4.672,9.60968,Clear,0,10695.807,77.663,4
2015-09-01,22:09:07.896000,4.712,9.6499,Clear,0,10695.743,77.661,4
2015-09-01,22:09:08.096000,4.231,9.16856,Clear,0,10695.614,77.657,4
2015-09-01,22:09:08.196000,4.982,9.92021,Clear,0,10695.549,77.655,4
2015-09-01,22:09:08.896000,4.353,9.29108,Clear,0,10695.098,77.642,4
2015-09-01,22:09:08.996000,4.147,9.08518,Clear,0,10695.034,77.64,4
2015-09-01,22:09:09.096000,4.207,9.14528,Clear,0,10694.97,77.638,4
2015-09-01,22:09:09.296000,4.449,9.38739,Clear,0,10694.841,77.635,4
2015-09-01,22:09:09.496000,4.599,9.53679,Clear,0,10694.712,77.631,4
2015-09-01,22:09:09.596000,4.568,9.50574,Clear,0,10694.648,77.629,4
2015-09-01,22:09:09.696000,4.665,9.60294,Clear,0,10694.583,77.627,4
2015-09-01,22:09:09.796000,4.237,9.17447,Clear,0,10694.519,77.625,4
2015-09-01,22:09:09.896000,4.546,9.48355,Clear,0,10694.454,77.623,4
2015-09-01,22:09:10.096000,4.24,9.17743,Clear,0,10694.325,77.62,4
2015-09-01,22:09:10.196000,4.141,9.07773,Clear,0,10694.261,77.618,4
2015-09-01,22:09:10.296000,4.238,9.17521,Clear,0,10694.197,77.616,4
2015-09-01,22:09:10.396000,4.432,9.36936,Clear,0,10694.132,77.614,4
2015-09-01,22:09:10.596000,4.239,9.17595,Clear,0,10694.003,77.61,4
2015-09-01,22:09:10.696000,4.249,9.18563,Clear,0,10693.939,77.608,4
2015-09-01,22:09:11.196000,4.649,9.58627,Clear,0,10693.617,77.599,4
2015-09-01,22:09:11.296000,4.195,9.13241,Clear,0,10693.553,77.597,4
2015-09-01,22:09:11.998000,4.766,9.70279,Clear,0,10693.1,77.584,4
2015-09-01,22:09:12.098000,4.323,9.26007,Clear,0,10693.036,77.582,4
2015-09-01,22:09:12.298000,3.96,8.89697,Clear,0,10692.907,77.579,4
2015-09-01,22:09:12.398000,4.106,9.04196,Clear,0,10692.843,77.577,4
2015-09-01,22:09:12.598000,4.551,9.48655,Clear,0,10692.714,77.573,4
2015-09-01,22:09:12.698000,4.389,9.32476,Clear,0,10692.65,77.571,4
2015-09-01,22:09:12.798000,4.728,9.66406,Clear,0,10692.585,77.569,4
2015-09-01,22:09:12.898000,4.087,9.0226,Clear,0,10692.521,77.567,4
2015-09-01,22:09:13.098000,4.675,9.61081,Clear,0,10692.392,77.564,4
2015-09-01,22:09:13.198000,4.953,9.88873,Clear,0,10692.328,77.562,4
2015-09-01,22:09:13.298000,4.479,9.41503,Clear,0,10692.263,77.56,4
2015-09-01,22:09:13.498000,4.003,8.93855,Clear,0,10692.135,77.556,4
