satellite, 446 ANNA 1B / US
catalogue, 1 NORAD
track, 902272
variability, 1 Aperiodic
variability_period, 0.0
npoints, 894
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-07-23,22:58:28.392000,8.744,9.48002,Clear,0,1283.869,99.27,1
2014-07-23,22:58:28.692000,8.495,9.23057,Clear,0,1283.607,99.291,1
2014-07-23,22:58:28.792000,8.825,9.56125,Clear,0,1283.52,99.297,1
2014-07-23,22:58:29.192000,8.297,9.03276,Clear,0,1283.176,99.325,1
2014-07-23,22:58:29.292000,8.398,9.1344,Clear,0,1283.091,99.332,1
2014-07-23,22:58:29.392000,8.411,9.14735,Clear,0,1283.006,99.338,1
2014-07-23,22:58:29.492000,8.06,8.79578,Clear,0,1282.922,99.345,1
2014-07-23,22:58:29.792000,8.713,9.44927,Clear,0,1282.67,99.366,1
2014-07-23,22:58:29.992000,8.094,8.83037,Clear,0,1282.504,99.38,1
2014-07-23,22:58:30.092000,8.175,8.91052,Clear,0,1282.421,99.386,1
2014-07-23,22:58:30.192000,8.687,9.42262,Clear,0,1282.339,99.393,1
2014-07-23,22:58:30.292000,8.083,8.81899,Clear,0,1282.257,99.4,1
2014-07-23,22:58:30.592000,8.251,8.98667,Clear,0,1282.013,99.421,1
2014-07-23,22:58:30.692000,8.547,9.2827,Clear,0,1281.932,99.427,1
2014-07-23,22:58:30.792000,8.394,9.12997,Clear,0,1281.852,99.434,1
2014-07-23,22:58:30.892000,8.179,8.91447,Clear,0,1281.772,99.441,1
2014-07-23,22:58:31.192000,8.267,9.00259,Clear,0,1281.533,99.462,1
2014-07-23,22:58:31.292000,8.286,9.02214,Clear,0,1281.454,99.468,1
2014-07-23,22:58:31.392000,8.099,8.83503,Clear,0,1281.376,99.475,1
2014-07-23,22:58:31.492000,8.632,9.36821,Clear,0,1281.298,99.482,1
2014-07-23,22:58:31.592000,8.692,9.4276,Clear,0,1281.22,99.489,1
2014-07-23,22:58:31.992000,8.795,9.53065,Clear,0,1280.911,99.516,1
2014-07-23,22:58:32.392000,8.229,8.96456,Clear,0,1280.608,99.544,1
2014-07-23,22:58:32.592000,8.027,8.76354,Clear,0,1280.458,99.557,1
2014-07-23,22:58:32.692000,8.263,8.99947,Clear,0,1280.384,99.564,1
2014-07-23,22:58:32.792000,8.16,8.89734,Clear,0,1280.31,99.571,1
2014-07-23,22:58:32.892000,8.248,8.98494,Clear,0,1280.236,99.578,1
2014-07-23,22:58:32.992000,7.804,8.54094,Clear,0,1280.163,99.585,1
2014-07-23,22:58:33.092000,8.418,9.15525,Clear,0,1280.089,99.591,1
2014-07-23,22:58:33.192000,8.344,9.08097,Clear,0,1280.017,99.598,1
2014-07-23,22:58:33.292000,8.127,8.86392,Clear,0,1279.944,99.605,1
2014-07-23,22:58:33.392000,8.734,9.4711,Clear,0,1279.872,99.612,1
2014-07-23,22:58:33.492000,8.214,8.95069,Clear,0,1279.8,99.619,1
