satellite, 3133 OPS 7034 (TRANSIT 18) / US
catalogue, 1 NORAD
track, 929300
variability, 1 Aperiodic
variability_period, 0.0
npoints, 887
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2014-07-24,20:47:15.788000,8.945,10.0459,Clear,0,1750.54,83.458,8
2014-07-24,20:47:15.888000,9.921,11.023,Clear,0,1750.466,83.478,8
2014-07-24,20:47:15.988000,9.012,10.1141,Clear,0,1750.392,83.497,8
2014-07-24,20:47:16.088000,8.82,9.92146,Clear,0,1750.318,83.517,8
2014-07-24,20:47:16.188000,8.943,10.0448,Clear,0,1750.244,83.537,8
2014-07-24,20:47:16.788000,8.531,9.63457,Clear,0,1749.807,83.656,8
2014-07-24,20:47:17.088000,8.399,9.50254,Clear,0,1749.591,83.715,8
2014-07-24,20:47:17.188000,9.118,10.2229,Clear,0,1749.52,83.735,8
2014-07-24,20:47:17.488000,8.612,9.71659,Clear,0,1749.308,83.794,8
2014-07-24,20:47:17.588000,9.29,10.3964,Clear,0,1749.238,83.814,8
2014-07-24,20:47:17.888000,9.495,10.6011,Clear,0,1749.028,83.874,8
2014-07-24,20:47:17.988000,9.009,10.1158,Clear,0,1748.959,83.894,8
2014-07-24,20:47:18.388000,9.368,10.4764,Clear,0,1748.685,83.973,8
2014-07-24,20:47:18.488000,8.435,9.54288,Clear,0,1748.617,83.993,8
2014-07-24,20:47:18.588000,7.675,8.7825,Clear,0,1748.549,84.013,8
2014-07-24,20:47:18.688000,9.274,10.3817,Clear,0,1748.482,84.032,8
2014-07-24,20:47:18.788000,8.089,9.19746,Clear,0,1748.414,84.052,8
2014-07-24,20:47:18.888000,9.177,10.2856,Clear,0,1748.347,84.072,8
2014-07-24,20:47:19.288000,7.893,9.00319,Clear,0,1748.082,84.152,8
2014-07-24,20:47:19.588000,8.576,9.68674,Clear,0,1747.886,84.211,8
2014-07-24,20:47:19.788000,8.373,9.48438,Clear,0,1747.756,84.251,8
2014-07-24,20:47:19.888000,8.073,9.18462,Clear,0,1747.692,84.271,8
2014-07-24,20:47:20.088000,8.331,9.44323,Clear,0,1747.564,84.311,8
2014-07-24,20:47:20.888000,8.11,9.22385,Clear,0,1747.061,84.47,8
2014-07-24,20:47:20.988000,8.058,9.17242,Clear,0,1746.999,84.49,8
2014-07-24,20:47:21.088000,9.267,10.3817,Clear,0,1746.938,84.51,8
2014-07-24,20:47:21.488000,8.418,9.53394,Clear,0,1746.695,84.589,8
2014-07-24,20:47:21.588000,8.909,10.0245,Clear,0,1746.635,84.609,8
2014-07-24,20:47:22.088000,7.844,8.96122,Clear,0,1746.338,84.709,8
2014-07-24,20:47:22.388000,7.601,8.71873,Clear,0,1746.163,84.769,8
2014-07-24,20:47:22.488000,8.266,9.38451,Clear,0,1746.105,84.789,8
2014-07-24,20:47:22.588000,9.199,10.3177,Clear,0,1746.047,84.809,8
2014-07-24,20:47:22.789000,7.993,9.11206,Clear,0,1745.932,84.849,8
2014-07-24,20:47:22.889000,8.675,9.79475,Clear,0,1745.875,84.869,8
2014-07-24,20:47:23.089000,7.757,8.87719,Clear,0,1745.762,84.909,8
2014-07-24,20:47:23.189000,8.237,9.35683,Clear,0,1745.706,84.929,8
2014-07-24,20:47:23.289000,7.913,9.0337,Clear,0,1745.65,84.949,8
2014-07-24,20:47:23.389000,7.763,8.8835,Clear,0,1745.595,84.969,8
2014-07-24,20:47:23.689000,9.131,10.253,Clear,0,1745.429,85.029,8
2014-07-24,20:47:23.789000,7.812,8.93409,Clear,0,1745.375,85.049,8
2014-07-24,20:47:23.989000,8.211,9.3342,Clear,0,1745.266,85.089,8
2014-07-24,20:47:24.089000,8.567,9.69004,Clear,0,1745.213,85.108,8
