satellite, 40750 CZ-3B R/B / PRC
catalogue, 1 NORAD
track, 9410982
variability, 1 Aperiodic
variability_period, 0.0
npoints, 851
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2015-11-06,21:49:54.491000,2.242,7.40967,Clear,0,14974.19,22.143,9
2015-11-06,21:49:54.591000,2.317,7.48382,Clear,0,14974.025,22.144,9
2015-11-06,21:49:54.691000,2.37,7.53679,Clear,0,14973.86,22.145,9
2015-11-06,21:49:54.791000,2.337,7.50383,Clear,0,14973.695,22.146,9
2015-11-06,21:49:54.891000,2.308,7.47507,Clear,0,14973.53,22.147,9
2015-11-06,21:49:54.991000,2.324,7.49099,Clear,0,14973.365,22.148,9
2015-11-06,21:49:55.091000,2.252,7.41928,Clear,0,14973.2,22.149,9
2015-11-06,21:49:55.191000,2.241,7.40769,Clear,0,14973.035,22.15,9
2015-11-06,21:49:55.291000,2.248,7.41515,Clear,0,14972.87,22.151,9
2015-11-06,21:49:55.391000,2.402,7.56937,Clear,0,14972.705,22.152,9
2015-11-06,21:49:55.491000,2.238,7.40542,Clear,0,14972.54,22.153,9
2015-11-06,21:49:55.591000,2.285,7.45209,Clear,0,14972.375,22.154,9
2015-11-06,21:49:55.691000,2.258,7.42481,Clear,0,14972.21,22.155,9
2015-11-06,21:49:55.791000,2.382,7.54846,Clear,0,14972.045,22.156,9
2015-11-06,21:49:55.891000,2.287,7.45399,Clear,0,14971.88,22.157,9
2015-11-06,21:49:55.991000,2.234,7.40059,Clear,0,14971.715,22.158,9
2015-11-06,21:49:56.091000,2.255,7.42219,Clear,0,14971.55,22.159,9
2015-11-06,21:49:56.191000,2.268,7.43486,Clear,0,14971.385,22.16,9
2015-11-06,21:49:56.291000,2.365,7.53151,Clear,0,14971.22,22.161,9
2015-11-06,21:49:56.391000,2.384,7.55071,Clear,0,14971.055,22.161,9
2015-11-06,21:49:56.491000,2.354,7.52103,Clear,0,14970.89,22.162,9
2015-11-06,21:49:56.591000,2.363,7.52947,Clear,0,14970.725,22.163,9
2015-11-06,21:49:56.691000,2.25,7.41683,Clear,0,14970.56,22.164,9
2015-11-06,21:49:56.791000,2.407,7.57413,Clear,0,14970.395,22.165,9
2015-11-06,21:49:56.891000,2.196,7.36257,Clear,0,14970.23,22.166,9
2015-11-06,21:49:56.991000,2.369,7.53611,Clear,0,14970.065,22.167,9
2015-11-06,21:49:57.091000,2.384,7.55071,Clear,0,14969.9,22.168,9
2015-11-06,21:49:57.191000,2.418,7.58496,Clear,0,14969.735,22.169,9
2015-11-06,21:49:57.291000,2.248,7.41484,Clear,0,14969.57,22.17,9
2015-11-06,21:49:57.391000,2.5,7.66666,Clear,0,14969.405,22.171,9
2015-11-06,21:49:57.491000,2.324,7.49067,Clear,0,14969.24,22.172,9
2015-11-06,21:49:57.591000,2.398,7.56445,Clear,0,14969.075,22.173,9
2015-11-06,21:49:57.691000,2.367,7.53406,Clear,0,14968.91,22.174,9
2015-11-06,21:49:57.791000,2.324,7.4905,Clear,0,14968.745,22.175,9
2015-11-06,21:49:57.891000,2.427,7.59356,Clear,0,14968.579,22.176,9
2015-11-06,21:49:57.991000,2.344,7.51115,Clear,0,14968.414,22.177,9
2015-11-06,21:49:58.091000,2.51,7.6769,Clear,0,14968.249,22.178,9
2015-11-06,21:49:58.191000,2.423,7.59015,Clear,0,14968.084,22.179,9
2015-11-06,21:49:58.291000,2.348,7.51465,Clear,0,14967.919,22.18,9
2015-11-06,21:49:58.391000,2.447,7.61353,Clear,0,14967.754,22.181,9
2015-11-06,21:49:58.491000,2.536,7.70245,Clear,0,14967.589,22.182,9
2015-11-06,21:49:58.591000,2.32,7.48675,Clear,0,14967.424,22.183,9
2015-11-06,21:49:58.691000,2.408,7.57483,Clear,0,14967.259,22.184,9
2015-11-06,21:49:58.791000,2.376,7.54261,Clear,0,14967.094,22.185,9
2015-11-06,21:49:58.891000,2.382,7.54863,Clear,0,14966.929,22.186,9
2015-11-06,21:49:58.991000,2.388,7.55521,Clear,0,14966.763,22.187,9
2015-11-06,21:49:59.091000,2.423,7.59015,Clear,0,14966.598,22.188,9
2015-11-06,21:49:59.191000,2.384,7.55071,Clear,0,14966.433,22.189,9
2015-11-06,21:49:59.291000,2.381,7.54794,Clear,0,14966.268,22.19,9
2015-11-06,21:49:59.391000,2.436,7.60313,Clear,0,14966.103,22.191,9
2015-11-06,21:49:59.491000,2.324,7.48985,Clear,0,14965.938,22.192,9
2015-11-06,21:49:59.591000,2.503,7.66878,Clear,0,14965.773,22.193,9
2015-11-06,21:49:59.691000,2.427,7.59266,Clear,0,14965.608,22.194,9
2015-11-06,21:49:59.791000,2.421,7.5871,Clear,0,14965.442,22.195,9
2015-11-06,21:49:59.891000,2.376,7.54209,Clear,0,14965.277,22.196,9
2015-11-06,21:49:59.991000,2.411,7.57696,Clear,0,14965.112,22.197,9
2015-11-06,21:50:00.091000,2.527,7.69275,Clear,0,14964.947,22.198,9
2015-11-06,21:50:00.191000,2.397,7.56253,Clear,0,14964.782,22.199,9
2015-11-06,21:50:00.291000,2.446,7.6117,Clear,0,14964.617,22.2,9
2015-11-06,21:50:00.391000,2.547,7.71264,Clear,0,14964.452,22.201,9
2015-11-06,21:50:00.491000,2.564,7.72963,Clear,0,14964.286,22.202,9
2015-11-06,21:50:00.591000,2.448,7.61408,Clear,0,14964.121,22.203,9
2015-11-06,21:50:00.691000,2.356,7.52153,Clear,0,14963.956,22.204,9
2015-11-06,21:50:00.791000,2.535,7.70126,Clear,0,14963.791,22.205,9
2015-11-06,21:50:00.891000,2.453,7.61849,Clear,0,14963.626,22.206,9
2015-11-06,21:50:00.991000,2.443,7.60859,Clear,0,14963.461,22.207,9
2015-11-06,21:50:01.091000,2.535,7.70046,Clear,0,14963.295,22.208,9
2015-11-06,21:50:01.191000,2.404,7.56972,Clear,0,14963.13,22.209,9
2015-11-06,21:50:01.291000,2.449,7.61499,Clear,0,14962.965,22.21,9
2015-11-06,21:50:01.391000,2.429,7.59464,Clear,0,14962.8,22.211,9
2015-11-06,21:50:01.491000,2.394,7.56008,Clear,0,14962.635,22.212,9
2015-11-06,21:50:01.591000,2.451,7.61683,Clear,0,14962.469,22.213,9
2015-11-06,21:50:01.691000,2.588,7.75396,Clear,0,14962.304,22.214,9
2015-11-06,21:50:01.791000,2.412,7.57802,Clear,0,14962.139,22.215,9
2015-11-06,21:50:01.891000,2.523,7.68882,Clear,0,14961.974,22.216,9
2015-11-06,21:50:01.991000,2.434,7.59987,Clear,0,14961.809,22.217,9
2015-11-06,21:50:02.091000,2.523,7.68901,Clear,0,14961.643,22.218,9
2015-11-06,21:50:02.191000,2.501,7.66666,Clear,0,14961.478,22.219,9
2015-11-06,21:50:02.291000,2.33,7.49559,Clear,0,14961.313,22.22,9
2015-11-06,21:50:02.391000,2.5,7.66589,Clear,0,14961.148,22.221,9
2015-11-06,21:50:02.491000,2.475,7.64061,Clear,0,14960.982,22.222,9
2015-11-06,21:50:02.591000,2.445,7.61115,Clear,0,14960.817,22.223,9
2015-11-06,21:50:02.691000,2.313,7.47863,Clear,0,14960.652,22.224,9
2015-11-06,21:50:02.791000,2.401,7.56743,Clear,0,14960.487,22.225,9
2015-11-06,21:50:02.891000,2.474,7.64005,Clear,0,14960.321,22.226,9
2015-11-06,21:50:02.991000,2.449,7.61518,Clear,0,14960.156,22.227,9
2015-11-06,21:50:03.091000,2.558,7.72434,Clear,0,14959.991,22.227,9
2015-11-06,21:50:03.191000,2.328,7.49444,Clear,0,14959.826,22.228,9
2015-11-06,21:50:03.291000,2.444,7.61024,Clear,0,14959.66,22.229,9
2015-11-06,21:50:03.391000,2.348,7.51432,Clear,0,14959.495,22.23,9
2015-11-06,21:50:03.491000,2.526,7.69177,Clear,0,14959.33,22.231,9
2015-11-06,21:50:03.591000,2.464,7.62996,Clear,0,14959.165,22.232,9
2015-11-06,21:50:03.691000,2.533,7.69927,Clear,0,14958.999,22.233,9
2015-11-06,21:50:03.791000,2.575,7.74111,Clear,0,14958.834,22.234,9
2015-11-06,21:50:03.891000,2.492,7.65746,Clear,0,14958.669,22.235,9
2015-11-06,21:50:03.991000,2.532,7.69828,Clear,0,14958.503,22.236,9
2015-11-06,21:50:04.091000,2.519,7.6849,Clear,0,14958.338,22.237,9
2015-11-06,21:50:04.191000,2.401,7.56726,Clear,0,14958.173,22.238,9
2015-11-06,21:50:04.291000,2.408,7.5736,Clear,0,14958.007,22.239,9
2015-11-06,21:50:04.391000,2.563,7.72852,Clear,0,14957.842,22.24,9
2015-11-06,21:50:04.491000,2.584,7.7487,Clear,0,14957.677,22.241,9
