satellite, 8311 THORAD DELTA 1 DEB / US
catalogue, 1 NORAD
track, 9414687
variability, 2 Periodic
variability_period, 28.29200985
npoints, 1539
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2015-11-07,02:19:40.801000,8.704,9.29631,Clear,0,1605.418,60.131,3
2015-11-07,02:19:41.001000,8.377,8.96789,Clear,0,1605.052,60.105,3
2015-11-07,02:19:41.201000,8.766,9.35586,Clear,0,1604.687,60.08,3
2015-11-07,02:19:41.301000,8.153,8.74288,Clear,0,1604.505,60.067,3
2015-11-07,02:19:41.401000,8.582,9.17089,Clear,0,1604.324,60.054,3
2015-11-07,02:19:41.501000,8.392,8.98055,Clear,0,1604.142,60.041,3
2015-11-07,02:19:41.601000,8.304,8.89247,Clear,0,1603.961,60.028,3
2015-11-07,02:19:41.701000,8.059,8.64645,Clear,0,1603.78,60.016,3
2015-11-07,02:19:41.801000,7.993,8.58057,Clear,0,1603.599,60.003,3
2015-11-07,02:19:41.901000,8.06,8.64645,Clear,0,1603.418,59.99,3
2015-11-07,02:19:42.001000,8.347,8.93379,Clear,0,1603.238,59.977,3
2015-11-07,02:19:42.101000,8.12,8.70713,Clear,0,1603.058,59.965,3
2015-11-07,02:19:42.201000,7.935,8.52138,Clear,0,1602.878,59.952,3
2015-11-07,02:19:42.301000,8.38,8.9655,Clear,0,1602.699,59.939,3
2015-11-07,02:19:42.401000,7.962,8.54773,Clear,0,1602.52,59.926,3
2015-11-07,02:19:42.501000,8.216,8.80066,Clear,0,1602.341,59.914,3
2015-11-07,02:19:42.601000,7.942,8.52653,Clear,0,1602.162,59.901,3
2015-11-07,02:19:42.701000,8.107,8.69125,Clear,0,1601.983,59.888,3
2015-11-07,02:19:42.801000,7.921,8.50492,Clear,0,1601.805,59.875,3
2015-11-07,02:19:42.901000,8.242,8.82636,Clear,0,1601.627,59.863,3
2015-11-07,02:19:43.001000,7.809,8.39242,Clear,0,1601.449,59.85,3
2015-11-07,02:19:43.101000,7.669,8.25232,Clear,0,1601.272,59.837,3
2015-11-07,02:19:43.201000,7.846,8.42902,Clear,0,1601.094,59.824,3
2015-11-07,02:19:43.301000,8.069,8.65049,Clear,0,1600.917,59.812,3
2015-11-07,02:19:43.401000,7.829,8.41076,Clear,0,1600.74,59.799,3
2015-11-07,02:19:43.501000,7.745,8.3262,Clear,0,1600.564,59.786,3
2015-11-07,02:19:43.601000,8.142,8.72298,Clear,0,1600.388,59.773,3
2015-11-07,02:19:43.701000,7.614,8.19484,Clear,0,1600.212,59.761,3
2015-11-07,02:19:43.801000,7.653,8.23325,Clear,0,1600.036,59.748,3
2015-11-07,02:19:43.901000,7.678,8.25821,Clear,0,1599.86,59.735,3
2015-11-07,02:19:44.001000,7.657,8.23549,Clear,0,1599.685,59.722,3
2015-11-07,02:19:44.101000,7.681,8.25952,Clear,0,1599.51,59.71,3
2015-11-07,02:19:44.201000,7.633,8.21167,Clear,0,1599.335,59.697,3
2015-11-07,02:19:44.301000,7.399,7.97722,Clear,0,1599.161,59.684,3
2015-11-07,02:19:44.401000,7.486,8.06414,Clear,0,1598.986,59.671,3
2015-11-07,02:19:44.501000,7.628,8.20634,Clear,0,1598.812,59.659,3
2015-11-07,02:19:44.601000,7.663,8.24,Clear,0,1598.639,59.646,3
2015-11-07,02:19:44.701000,7.642,8.21892,Clear,0,1598.465,59.633,3
2015-11-07,02:19:44.801000,7.429,8.00465,Clear,0,1598.292,59.621,3
2015-11-07,02:19:44.901000,7.581,8.15714,Clear,0,1598.119,59.608,3
2015-11-07,02:19:45.001000,7.214,7.79024,Clear,0,1597.946,59.595,3
2015-11-07,02:19:45.101000,7.483,8.0584,Clear,0,1597.774,59.582,3
2015-11-07,02:19:45.201000,7.521,8.09586,Clear,0,1597.601,59.57,3
2015-11-07,02:19:45.301000,7.252,7.82687,Clear,0,1597.429,59.557,3
2015-11-07,02:19:45.401000,7.297,7.87072,Clear,0,1597.258,59.544,3
2015-11-07,02:19:45.501000,7.206,7.78028,Clear,0,1597.086,59.532,3
2015-11-07,02:19:45.601000,7.16,7.73357,Clear,0,1596.915,59.519,3
2015-11-07,02:19:45.701000,7.171,7.74414,Clear,0,1596.744,59.506,3
2015-11-07,02:19:45.801000,7.291,7.86409,Clear,0,1596.573,59.493,3
2015-11-07,02:19:45.901000,7.014,7.58574,Clear,0,1596.403,59.481,3
2015-11-07,02:19:45.998000,7.464,8.03571,Clear,0,1596.237,59.468,8
2015-11-07,02:19:46.001000,7.089,7.6612,Clear,0,1596.232,59.468,3
2015-11-07,02:19:46.098000,7.205,7.7774,Clear,0,1596.067,59.456,8
2015-11-07,02:19:46.101000,7.136,7.70759,Clear,0,1596.062,59.455,3
2015-11-07,02:19:46.198000,7.203,7.77374,Clear,0,1595.898,59.443,8
2015-11-07,02:19:46.201000,6.993,7.56355,Clear,0,1595.893,59.443,3
2015-11-07,02:19:46.298000,7.061,7.63191,Clear,0,1595.728,59.43,8
2015-11-07,02:19:46.301000,7.072,7.64338,Clear,0,1595.723,59.43,3
2015-11-07,02:19:46.398000,7.064,7.63471,Clear,0,1595.559,59.418,8
2015-11-07,02:19:46.401000,7.037,7.60785,Clear,0,1595.554,59.417,3
2015-11-07,02:19:46.498000,7.266,7.83548,Clear,0,1595.39,59.405,8
2015-11-07,02:19:46.501000,7.009,7.5787,Clear,0,1595.385,59.405,3
2015-11-07,02:19:46.598000,7.007,7.57705,Clear,0,1595.221,59.392,8
2015-11-07,02:19:46.601000,6.935,7.5053,Clear,0,1595.216,59.392,3
2015-11-07,02:19:46.698000,6.852,7.42092,Clear,0,1595.053,59.38,8
2015-11-07,02:19:46.701000,6.938,7.50727,Clear,0,1595.048,59.379,3
2015-11-07,02:19:46.798000,7.078,7.64683,Clear,0,1594.885,59.367,8
2015-11-07,02:19:46.801000,7.162,7.73135,Clear,0,1594.879,59.366,3
2015-11-07,02:19:46.898000,7.045,7.61383,Clear,0,1594.717,59.354,8
2015-11-07,02:19:46.901000,6.95,7.51866,Clear,0,1594.711,59.354,3
2015-11-07,02:19:46.998000,7.177,7.7447,Clear,0,1594.549,59.342,8
2015-11-07,02:19:47.001000,6.97,7.53792,Clear,0,1594.544,59.341,3
2015-11-07,02:19:47.098000,6.87,7.4382,Clear,0,1594.381,59.329,8
2015-11-07,02:19:47.101000,6.998,7.56598,Clear,0,1594.376,59.328,3
2015-11-07,02:19:47.198000,7.065,7.63251,Clear,0,1594.214,59.316,8
2015-11-07,02:19:47.201000,6.877,7.44521,Clear,0,1594.209,59.316,3
2015-11-07,02:19:47.298000,6.98,7.54645,Clear,0,1594.047,59.303,8
2015-11-07,02:19:47.301000,7.048,7.61508,Clear,0,1594.042,59.303,3
2015-11-07,02:19:47.398000,7.032,7.59897,Clear,0,1593.88,59.291,8
2015-11-07,02:19:47.401000,6.993,7.55993,Clear,0,1593.875,59.29,3
2015-11-07,02:19:47.498000,7.081,7.64784,Clear,0,1593.714,59.278,8
2015-11-07,02:19:47.501000,7.103,7.67032,Clear,0,1593.709,59.278,3
2015-11-07,02:19:47.598000,7.2,7.76579,Clear,0,1593.548,59.265,8
2015-11-07,02:19:47.601000,7.026,7.59158,Clear,0,1593.543,59.265,3
2015-11-07,02:19:47.698000,7.003,7.56889,Clear,0,1593.382,59.253,8
2015-11-07,02:19:47.701000,6.987,7.55288,Clear,0,1593.377,59.252,3
2015-11-07,02:19:47.798000,7.189,7.75362,Clear,0,1593.216,59.24,8
2015-11-07,02:19:47.801000,7.025,7.58963,Clear,0,1593.211,59.24,3
2015-11-07,02:19:47.898000,7.048,7.61305,Clear,0,1593.051,59.227,8
2015-11-07,02:19:47.901000,7.179,7.74353,Clear,0,1593.046,59.227,3
2015-11-07,02:19:47.998000,7.019,7.58411,Clear,0,1592.886,59.215,8
2015-11-07,02:19:48.001000,6.953,7.51833,Clear,0,1592.881,59.214,3
2015-11-07,02:19:48.098000,7.033,7.59722,Clear,0,1592.721,59.202,8
2015-11-07,02:19:48.101000,7.145,7.70937,Clear,0,1592.716,59.202,3
2015-11-07,02:19:48.198000,7.179,7.7427,Clear,0,1592.556,59.19,8
2015-11-07,02:19:48.201000,7.04,7.6039,Clear,0,1592.551,59.189,3
2015-11-07,02:19:48.298000,6.783,7.34729,Clear,0,1592.392,59.177,8
2015-11-07,02:19:48.301000,7.166,7.72994,Clear,0,1592.387,59.176,3
2015-11-07,02:19:48.398000,6.93,7.493,Clear,0,1592.227,59.164,8
2015-11-07,02:19:48.401000,6.981,7.54435,Clear,0,1592.223,59.164,3
2015-11-07,02:19:48.498000,7.209,7.77215,Clear,0,1592.064,59.152,8
2015-11-07,02:19:48.501000,6.867,7.42981,Clear,0,1592.059,59.151,3
2015-11-07,02:19:48.598000,6.905,7.46809,Clear,0,1591.9,59.139,8
2015-11-07,02:19:48.601000,6.827,7.38973,Clear,0,1591.895,59.139,3
2015-11-07,02:19:48.698000,6.926,7.48808,Clear,0,1591.736,59.126,8
2015-11-07,02:19:48.701000,6.892,7.45424,Clear,0,1591.732,59.126,3
2015-11-07,02:19:48.798000,6.944,7.50612,Clear,0,1591.573,59.114,8
2015-11-07,02:19:48.801000,6.967,7.52934,Clear,0,1591.568,59.113,3
2015-11-07,02:19:48.898000,6.895,7.45662,Clear,0,1591.41,59.101,8
2015-11-07,02:19:48.901000,6.917,7.47939,Clear,0,1591.406,59.101,3
2015-11-07,02:19:48.998000,6.932,7.49247,Clear,0,1591.248,59.088,8
2015-11-07,02:19:49.001000,6.845,7.40546,Clear,0,1591.243,59.088,3
2015-11-07,02:19:49.098000,6.644,7.20457,Clear,0,1591.085,59.076,8
2015-11-07,02:19:49.101000,6.855,7.41553,Clear,0,1591.081,59.075,3
2015-11-07,02:19:49.198000,6.799,7.35891,Clear,0,1590.923,59.063,8
2015-11-07,02:19:49.201000,6.801,7.3608,Clear,0,1590.918,59.063,3
2015-11-07,02:19:49.298000,6.676,7.23623,Clear,0,1590.761,59.05,8
2015-11-07,02:19:49.301000,6.753,7.31335,Clear,0,1590.757,59.05,3
2015-11-07,02:19:49.398000,6.739,7.29923,Clear,0,1590.6,59.038,8
2015-11-07,02:19:49.401000,6.789,7.34881,Clear,0,1590.595,59.037,3
2015-11-07,02:19:49.498000,6.618,7.17683,Clear,0,1590.439,59.025,8
2015-11-07,02:19:49.501000,6.652,7.21143,Clear,0,1590.434,59.025,3
2015-11-07,02:19:49.598000,6.586,7.14516,Clear,0,1590.277,59.013,8
2015-11-07,02:19:49.601000,6.733,7.29227,Clear,0,1590.273,59.012,3
2015-11-07,02:19:49.698000,6.604,7.16309,Clear,0,1590.117,59.0,8
2015-11-07,02:19:49.701000,6.634,7.19271,Clear,0,1590.112,59.0,3
2015-11-07,02:19:49.798000,6.611,7.16935,Clear,0,1589.956,58.987,8
2015-11-07,02:19:49.801000,6.563,7.12102,Clear,0,1589.951,58.987,3
2015-11-07,02:19:49.898000,6.498,7.0563,Clear,0,1589.796,58.975,8
2015-11-07,02:19:49.901000,6.546,7.10379,Clear,0,1589.791,58.974,3
2015-11-07,02:19:49.998000,6.598,7.1557,Clear,0,1589.636,58.962,8
2015-11-07,02:19:50.001000,6.582,7.14041,Clear,0,1589.631,58.962,3
2015-11-07,02:19:50.098000,6.675,7.23165,Clear,0,1589.476,58.95,8
2015-11-07,02:19:50.101000,6.76,7.31707,Clear,0,1589.471,58.949,3
2015-11-07,02:19:50.198000,6.693,7.24981,Clear,0,1589.316,58.937,8
2015-11-07,02:19:50.201000,6.578,7.13538,Clear,0,1589.311,58.937,3
2015-11-07,02:19:50.298000,6.701,7.25844,Clear,0,1589.157,58.924,8
2015-11-07,02:19:50.301000,6.706,7.26251,Clear,0,1589.152,58.924,3
2015-11-07,02:19:50.398000,6.607,7.16309,Clear,0,1588.998,58.912,8
2015-11-07,02:19:50.401000,6.781,7.33681,Clear,0,1588.993,58.911,3
2015-11-07,02:19:50.498000,6.525,7.08049,Clear,0,1588.839,58.899,8
2015-11-07,02:19:50.501000,6.687,7.24251,Clear,0,1588.834,58.899,3
2015-11-07,02:19:50.598000,6.773,7.3282,Clear,0,1588.68,58.886,8
2015-11-07,02:19:50.601000,6.674,7.22933,Clear,0,1588.676,58.886,3
2015-11-07,02:19:50.698000,6.704,7.25943,Clear,0,1588.522,58.874,8
2015-11-07,02:19:50.701000,6.609,7.16433,Clear,0,1588.517,58.874,3
2015-11-07,02:19:50.798000,6.715,7.26971,Clear,0,1588.364,58.861,8
2015-11-07,02:19:50.801000,6.722,7.27649,Clear,0,1588.359,58.861,3
2015-11-07,02:19:50.898000,6.772,7.32639,Clear,0,1588.206,58.849,8
2015-11-07,02:19:50.901000,6.677,7.23137,Clear,0,1588.202,58.848,3
2015-11-07,02:19:50.998000,6.78,7.33382,Clear,0,1588.049,58.836,8
2015-11-07,02:19:51.001000,6.793,7.34697,Clear,0,1588.044,58.836,3
2015-11-07,02:19:51.098000,6.72,7.27428,Clear,0,1587.892,58.824,8
2015-11-07,02:19:51.101000,6.748,7.30147,Clear,0,1587.887,58.823,3
2015-11-07,02:19:51.198000,6.765,7.31778,Clear,0,1587.735,58.811,8
2015-11-07,02:19:51.201000,6.83,7.38297,Clear,0,1587.73,58.811,3
2015-11-07,02:19:51.298000,6.699,7.25182,Clear,0,1587.578,58.798,8
2015-11-07,02:19:51.301000,6.782,7.33541,Clear,0,1587.573,58.798,3
2015-11-07,02:19:51.398000,6.877,7.4301,Clear,0,1587.421,58.786,8
2015-11-07,02:19:51.401000,6.912,7.46508,Clear,0,1587.417,58.785,3
2015-11-07,02:19:51.498000,6.883,7.43475,Clear,0,1587.265,58.773,8
2015-11-07,02:19:51.501000,6.832,7.384,Clear,0,1587.261,58.773,3
2015-11-07,02:19:51.598000,6.815,7.367,Clear,0,1587.109,58.761,8
2015-11-07,02:19:51.601000,6.829,7.38093,Clear,0,1587.105,58.76,3
2015-11-07,02:19:51.698000,6.801,7.35317,Clear,0,1586.954,58.748,8
2015-11-07,02:19:51.701000,6.923,7.47508,Clear,0,1586.949,58.748,3
2015-11-07,02:19:51.798000,7.127,7.67773,Clear,0,1586.798,58.735,8
2015-11-07,02:19:51.801000,7.037,7.58768,Clear,0,1586.793,58.735,3
2015-11-07,02:19:51.898000,7.093,7.64411,Clear,0,1586.643,58.723,8
2015-11-07,02:19:51.901000,7.004,7.55494,Clear,0,1586.638,58.723,3
2015-11-07,02:19:51.998000,6.914,7.46462,Clear,0,1586.488,58.71,8
2015-11-07,02:19:52.001000,7.026,7.57678,Clear,0,1586.483,58.71,3
2015-11-07,02:19:52.098000,7.007,7.55725,Clear,0,1586.333,58.698,8
2015-11-07,02:19:52.101000,6.986,7.53606,Clear,0,1586.329,58.697,3
2015-11-07,02:19:52.198000,6.98,7.52984,Clear,0,1586.179,58.685,8
2015-11-07,02:19:52.201000,7.024,7.57433,Clear,0,1586.174,58.685,3
2015-11-07,02:19:52.298000,6.885,7.43508,Clear,0,1586.025,58.673,8
2015-11-07,02:19:52.301000,7.028,7.57765,Clear,0,1586.02,58.672,3
2015-11-07,02:19:52.398000,6.872,7.42135,Clear,0,1585.871,58.66,8
2015-11-07,02:19:52.401000,7.025,7.5738,Clear,0,1585.866,58.66,3
2015-11-07,02:19:52.498000,7.017,7.56567,Clear,0,1585.717,58.648,8
2015-11-07,02:19:52.501000,6.866,7.41522,Clear,0,1585.712,58.647,3
2015-11-07,02:19:52.598000,7.03,7.57871,Clear,0,1585.564,58.635,8
2015-11-07,02:19:52.601000,6.942,7.49103,Clear,0,1585.559,58.635,3
2015-11-07,02:19:52.698000,7.064,7.61229,Clear,0,1585.411,58.622,8
2015-11-07,02:19:52.701000,6.933,7.48069,Clear,0,1585.406,58.622,3
2015-11-07,02:19:52.798000,7.043,7.59113,Clear,0,1585.258,58.61,8
2015-11-07,02:19:52.801000,7.093,7.64109,Clear,0,1585.253,58.61,3
2015-11-07,02:19:52.898000,7.155,7.70279,Clear,0,1585.105,58.597,8
2015-11-07,02:19:52.901000,7.152,7.69905,Clear,0,1585.1,58.597,3
2015-11-07,02:19:52.998000,7.113,7.65997,Clear,0,1584.953,58.585,8
2015-11-07,02:19:53.001000,7.139,7.68597,Clear,0,1584.948,58.584,3
2015-11-07,02:19:53.098000,7.085,7.63187,Clear,0,1584.801,58.572,8
2015-11-07,02:19:53.101000,6.978,7.52497,Clear,0,1584.796,58.572,3
2015-11-07,02:19:53.198000,7.122,7.66778,Clear,0,1584.649,58.56,8
2015-11-07,02:19:53.201000,6.991,7.53743,Clear,0,1584.644,58.559,3
2015-11-07,02:19:53.298000,7.09,7.63587,Clear,0,1584.497,58.547,8
2015-11-07,02:19:53.301000,7.086,7.63145,Clear,0,1584.493,58.547,3
2015-11-07,02:19:53.398000,7.204,7.75026,Clear,0,1584.346,58.535,8
2015-11-07,02:19:53.401000,7.036,7.58219,Clear,0,1584.341,58.534,3
2015-11-07,02:19:53.498000,6.976,7.52134,Clear,0,1584.195,58.522,8
2015-11-07,02:19:53.501000,7.021,7.56642,Clear,0,1584.19,58.522,3
2015-11-07,02:19:53.598000,7.175,7.71976,Clear,0,1584.044,58.51,8
2015-11-07,02:19:53.601000,7.073,7.61769,Clear,0,1584.039,58.509,3
2015-11-07,02:19:53.698000,7.161,7.70578,Clear,0,1583.893,58.497,8
2015-11-07,02:19:53.701000,7.038,7.58307,Clear,0,1583.889,58.497,3
2015-11-07,02:19:53.798000,7.235,7.77868,Clear,0,1583.743,58.485,8
2015-11-07,02:19:53.801000,7.113,7.65742,Clear,0,1583.739,58.484,3
2015-11-07,02:19:53.898000,7.076,7.61996,Clear,0,1583.593,58.472,8
2015-11-07,02:19:53.901000,7.067,7.61097,Clear,0,1583.589,58.472,3
2015-11-07,02:19:53.998000,7.161,7.70514,Clear,0,1583.443,58.46,8
2015-11-07,02:19:54.001000,7.159,7.70319,Clear,0,1583.439,58.459,3
2015-11-07,02:19:54.098000,7.222,7.76505,Clear,0,1583.294,58.447,8
2015-11-07,02:19:54.101000,7.328,7.87068,Clear,0,1583.289,58.447,3
2015-11-07,02:19:54.198000,7.236,7.77936,Clear,0,1583.145,58.435,8
2015-11-07,02:19:54.201000,7.198,7.7405,Clear,0,1583.14,58.434,3
2015-11-07,02:19:54.298000,7.314,7.85731,Clear,0,1582.996,58.422,8
2015-11-07,02:19:54.301000,7.24,7.78254,Clear,0,1582.991,58.422,3
2015-11-07,02:19:54.398000,7.339,7.88115,Clear,0,1582.847,58.41,8
2015-11-07,02:19:54.401000,7.239,7.78106,Clear,0,1582.842,58.409,3
2015-11-07,02:19:54.498000,7.303,7.8451,Clear,0,1582.698,58.397,8
2015-11-07,02:19:54.501000,7.347,7.88902,Clear,0,1582.694,58.397,3
2015-11-07,02:19:54.598000,7.33,7.87165,Clear,0,1582.55,58.385,8
2015-11-07,02:19:54.601000,7.187,7.72873,Clear,0,1582.546,58.384,3
2015-11-07,02:19:54.698000,7.285,7.8256,Clear,0,1582.402,58.372,8
2015-11-07,02:19:54.701000,7.22,7.76132,Clear,0,1582.398,58.372,3
2015-11-07,02:19:54.798000,7.139,7.68044,Clear,0,1582.254,58.36,8
2015-11-07,02:19:54.801000,7.239,7.77957,Clear,0,1582.25,58.359,3
2015-11-07,02:19:54.898000,7.379,7.92027,Clear,0,1582.107,58.347,8
2015-11-07,02:19:54.901000,7.279,7.82032,Clear,0,1582.103,58.347,3
2015-11-07,02:19:54.998000,7.179,7.71846,Clear,0,1581.96,58.335,8
2015-11-07,02:19:55.001000,7.172,7.7123,Clear,0,1581.955,58.334,3
2015-11-07,02:19:55.098000,7.057,7.59711,Clear,0,1581.813,58.322,8
2015-11-07,02:19:55.101000,7.073,7.61296,Clear,0,1581.809,58.322,3
2015-11-07,02:19:55.198000,7.281,7.82131,Clear,0,1581.666,58.31,8
2015-11-07,02:19:55.201000,7.166,7.70595,Clear,0,1581.662,58.309,3
2015-11-07,02:19:55.298000,7.118,7.6569,Clear,0,1581.52,58.297,8
2015-11-07,02:19:55.301000,7.083,7.62171,Clear,0,1581.515,58.297,3
2015-11-07,02:19:55.398000,7.12,7.65936,Clear,0,1581.374,58.285,8
2015-11-07,02:19:55.401000,7.119,7.6578,Clear,0,1581.369,58.284,3
2015-11-07,02:19:55.498000,7.31,7.84899,Clear,0,1581.228,58.272,8
2015-11-07,02:19:55.501000,7.099,7.63793,Clear,0,1581.223,58.272,3
2015-11-07,02:19:55.598000,7.172,7.71006,Clear,0,1581.082,58.26,8
2015-11-07,02:19:55.601000,7.141,7.67861,Clear,0,1581.078,58.259,3
2015-11-07,02:19:55.698000,7.043,7.58118,Clear,0,1580.937,58.247,8
2015-11-07,02:19:55.701000,7.077,7.6146,Clear,0,1580.932,58.247,3
2015-11-07,02:19:55.798000,7.131,7.66923,Clear,0,1580.792,58.235,8
2015-11-07,02:19:55.801000,7.141,7.679,Clear,0,1580.787,58.234,3
2015-11-07,02:19:55.898000,7.051,7.58844,Clear,0,1580.647,58.222,8
2015-11-07,02:19:55.901000,7.043,7.58025,Clear,0,1580.643,58.222,3
2015-11-07,02:19:55.998000,7.1,7.63707,Clear,0,1580.502,58.21,8
2015-11-07,02:19:56.001000,6.99,7.52681,Clear,0,1580.498,58.21,3
2015-11-07,02:19:56.098000,6.951,7.48831,Clear,0,1580.358,58.197,8
2015-11-07,02:19:56.101000,7.026,7.56312,Clear,0,1580.354,58.197,3
2015-11-07,02:19:56.198000,7.097,7.63247,Clear,0,1580.214,58.185,8
2015-11-07,02:19:56.201000,7.037,7.57287,Clear,0,1580.21,58.185,3
2015-11-07,02:19:56.298000,6.962,7.49815,Clear,0,1580.07,58.173,8
2015-11-07,02:19:56.301000,7.053,7.58856,Clear,0,1580.066,58.172,3
2015-11-07,02:19:56.398000,6.944,7.47995,Clear,0,1579.927,58.16,8
2015-11-07,02:19:56.401000,6.977,7.51332,Clear,0,1579.922,58.16,3
2015-11-07,02:19:56.498000,6.846,7.38132,Clear,0,1579.783,58.148,8
2015-11-07,02:19:56.501000,6.837,7.37192,Clear,0,1579.779,58.147,3
2015-11-07,02:19:56.598000,6.988,7.52332,Clear,0,1579.64,58.135,8
2015-11-07,02:19:56.601000,7.014,7.549,Clear,0,1579.636,58.135,3
2015-11-07,02:19:56.698000,6.837,7.3717,Clear,0,1579.498,58.123,8
2015-11-07,02:19:56.701000,6.825,7.35992,Clear,0,1579.493,58.122,3
2015-11-07,02:19:56.798000,6.968,7.50151,Clear,0,1579.355,58.11,8
2015-11-07,02:19:56.801000,6.771,7.30525,Clear,0,1579.351,58.11,3
2015-11-07,02:19:56.898000,6.724,7.25761,Clear,0,1579.213,58.098,8
2015-11-07,02:19:56.901000,6.691,7.22529,Clear,0,1579.209,58.098,3
2015-11-07,02:19:56.998000,6.723,7.25732,Clear,0,1579.071,58.085,8
2015-11-07,02:19:57.001000,6.655,7.18932,Clear,0,1579.067,58.085,3
2015-11-07,02:19:57.098000,6.642,7.17527,Clear,0,1578.929,58.073,8
2015-11-07,02:19:57.101000,6.633,7.1661,Clear,0,1578.925,58.073,3
2015-11-07,02:19:57.198000,6.623,7.15553,Clear,0,1578.788,58.061,8
2015-11-07,02:19:57.201000,6.609,7.14184,Clear,0,1578.783,58.06,3
2015-11-07,02:19:57.298000,6.46,6.99269,Clear,0,1578.647,58.048,8
