satellite, 29052 FORMOSAT 3F / ROC
catalogue, 1 NORAD
track, 9522695
variability, 1 Aperiodic
variability_period, 0.0
npoints, 619
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2015-11-18,02:00:01.497000,8.566,8.66406,Clear,0,1011.279,93.614,3
2015-11-18,02:00:01.697000,8.608,8.70644,Clear,0,1011.035,93.655,3
2015-11-18,02:00:01.797000,8.186,8.2836,Clear,0,1010.914,93.675,3
2015-11-18,02:00:01.897000,8.507,8.60514,Clear,0,1010.793,93.696,3
2015-11-18,02:00:01.997000,8.389,8.48735,Clear,0,1010.672,93.716,3
2015-11-18,02:00:02.097000,8.584,8.68321,Clear,0,1010.552,93.737,3
2015-11-18,02:00:02.197000,9.009,9.10788,Clear,0,1010.433,93.757,3
2015-11-18,02:00:02.397000,8.739,8.83786,Clear,0,1010.195,93.798,3
2015-11-18,02:00:02.597000,8.264,8.36306,Clear,0,1009.959,93.839,3
2015-11-18,02:00:02.697000,8.29,8.39023,Clear,0,1009.842,93.86,3
2015-11-18,02:00:02.797000,8.642,8.74168,Clear,0,1009.725,93.88,3
2015-11-18,02:00:02.897000,8.672,8.77243,Clear,0,1009.609,93.901,3
2015-11-18,02:00:02.997000,8.377,8.47737,Clear,0,1009.493,93.922,3
2015-11-18,02:00:03.097000,8.596,8.69635,Clear,0,1009.377,93.942,3
2015-11-18,02:00:03.297000,8.475,8.57589,Clear,0,1009.148,93.983,3
2015-11-18,02:00:03.397000,8.528,8.62872,Clear,0,1009.034,94.004,3
2015-11-18,02:00:03.497000,8.059,8.16006,Clear,0,1008.92,94.024,3
2015-11-18,02:00:03.597000,8.166,8.2671,Clear,0,1008.807,94.045,3
2015-11-18,02:00:03.697000,8.453,8.55434,Clear,0,1008.694,94.065,3
2015-11-18,02:00:03.797000,8.497,8.59836,Clear,0,1008.581,94.086,3
2015-11-18,02:00:03.897000,8.061,8.16265,Clear,0,1008.47,94.106,3
2015-11-18,02:00:03.997000,8.247,8.34877,Clear,0,1008.358,94.127,3
2015-11-18,02:00:04.197000,8.291,8.39342,Clear,0,1008.137,94.168,3
2015-11-18,02:00:04.297000,8.602,8.70377,Clear,0,1008.026,94.189,3
2015-11-18,02:00:04.397000,8.726,8.82767,Clear,0,1007.917,94.209,3
2015-11-18,02:00:04.497000,8.74,8.84329,Clear,0,1007.808,94.23,3
2015-11-18,02:00:04.697000,8.438,8.54052,Clear,0,1007.591,94.271,3
2015-11-18,02:00:04.797000,8.045,8.14755,Clear,0,1007.483,94.292,3
2015-11-18,02:00:04.997000,8.622,8.72636,Clear,0,1007.268,94.333,3
2015-11-18,02:00:05.097000,8.22,8.3241,Clear,0,1007.162,94.354,3
2015-11-18,02:00:05.197000,8.076,8.17959,Clear,0,1007.056,94.374,3
2015-11-18,02:00:05.297000,8.327,8.43127,Clear,0,1006.95,94.395,3
2015-11-18,02:00:05.397000,8.47,8.57353,Clear,0,1006.845,94.416,3
2015-11-18,02:00:05.497000,8.658,8.76283,Clear,0,1006.74,94.436,3
2015-11-18,02:00:05.597000,8.216,8.3211,Clear,0,1006.636,94.457,3
2015-11-18,02:00:05.697000,8.474,8.57873,Clear,0,1006.532,94.478,3
2015-11-18,02:00:05.797000,8.422,8.52732,Clear,0,1006.429,94.498,3
2015-11-18,02:00:05.897000,8.576,8.6806,Clear,0,1006.326,94.519,3
2015-11-18,02:00:05.997000,8.349,8.45471,Clear,0,1006.224,94.54,3
2015-11-18,02:00:06.097000,8.17,8.27639,Clear,0,1006.122,94.56,3
2015-11-18,02:00:06.197000,8.467,8.57258,Clear,0,1006.02,94.581,3
2015-11-18,02:00:06.397000,7.877,7.98279,Clear,0,1005.819,94.622,3
2015-11-18,02:00:06.497000,8.739,8.84571,Clear,0,1005.718,94.643,3
2015-11-18,02:00:06.597000,8.314,8.42055,Clear,0,1005.619,94.664,3
2015-11-18,02:00:06.797000,8.344,8.4509,Clear,0,1005.421,94.705,3
2015-11-18,02:00:06.897000,8.864,8.97095,Clear,0,1005.322,94.726,3
2015-11-18,02:00:06.997000,8.147,8.25541,Clear,0,1005.224,94.747,3
2015-11-18,02:00:07.197000,8.423,8.53049,Clear,0,1005.03,94.788,3
2015-11-18,02:00:07.297000,8.038,8.14628,Clear,0,1004.934,94.809,3
2015-11-18,02:00:07.397000,8.344,8.45344,Clear,0,1004.837,94.829,3
2015-11-18,02:00:07.497000,8.255,8.36384,Clear,0,1004.742,94.85,3
2015-11-18,02:00:07.597000,8.222,8.33088,Clear,0,1004.647,94.871,3
2015-11-18,02:00:07.697000,9.063,9.17231,Clear,0,1004.552,94.892,3
2015-11-18,02:00:07.797000,8.624,8.7329,Clear,0,1004.458,94.912,3
2015-11-18,02:00:07.897000,8.309,8.41891,Clear,0,1004.364,94.933,3
2015-11-18,02:00:07.997000,8.536,8.64574,Clear,0,1004.271,94.954,3
2015-11-18,02:00:08.197000,8.223,8.33314,Clear,0,1004.085,94.995,3
2015-11-18,02:00:08.297000,8.281,8.39182,Clear,0,1003.993,95.016,3
2015-11-18,02:00:08.397000,8.476,8.58683,Clear,0,1003.902,95.037,3
2015-11-18,02:00:08.497000,8.383,8.49391,Clear,0,1003.811,95.058,3
2015-11-18,02:00:08.597000,8.384,8.49479,Clear,0,1003.72,95.078,3
2015-11-18,02:00:08.697000,8.064,8.17631,Clear,0,1003.63,95.099,3
2015-11-18,02:00:08.797000,8.289,8.40105,Clear,0,1003.54,95.12,3
2015-11-18,02:00:08.897000,8.538,8.65029,Clear,0,1003.451,95.141,3
2015-11-18,02:00:08.997000,8.724,8.83545,Clear,0,1003.362,95.162,3
2015-11-18,02:00:09.097000,7.837,7.94854,Clear,0,1003.274,95.182,3
2015-11-18,02:00:09.197000,8.364,8.4765,Clear,0,1003.186,95.203,3
2015-11-18,02:00:09.297000,8.399,8.5116,Clear,0,1003.099,95.224,3
2015-11-18,02:00:09.397000,8.443,8.55574,Clear,0,1003.012,95.245,3
2015-11-18,02:00:09.497000,8.714,8.82707,Clear,0,1002.925,95.266,3
2015-11-18,02:00:09.597000,8.166,8.28035,Clear,0,1002.839,95.286,3
2015-11-18,02:00:09.697000,8.827,8.94074,Clear,0,1002.753,95.307,3
2015-11-18,02:00:09.797000,8.365,8.47866,Clear,0,1002.668,95.328,3
2015-11-18,02:00:09.897000,8.759,8.87274,Clear,0,1002.584,95.349,3
2015-11-18,02:00:09.997000,8.538,8.65334,Clear,0,1002.499,95.37,3
2015-11-18,02:00:10.097000,8.479,8.59354,Clear,0,1002.416,95.39,3
2015-11-18,02:00:10.197000,8.362,8.47693,Clear,0,1002.332,95.411,3
2015-11-18,02:00:10.297000,8.464,8.57873,Clear,0,1002.25,95.432,3
2015-11-18,02:00:10.397000,8.235,8.35069,Clear,0,1002.167,95.453,3
2015-11-18,02:00:10.497000,8.275,8.39135,Clear,0,1002.085,95.474,3
2015-11-18,02:00:10.597000,8.348,8.46358,Clear,0,1002.004,95.495,3
2015-11-18,02:00:10.697000,8.562,8.67805,Clear,0,1001.923,95.515,3
2015-11-18,02:00:10.797000,8.039,8.15637,Clear,0,1001.842,95.536,3
2015-11-18,02:00:10.897000,8.06,8.17715,Clear,0,1001.762,95.557,3
2015-11-18,02:00:10.997000,8.073,8.19034,Clear,0,1001.682,95.578,3
2015-11-18,02:00:11.097000,8.584,8.7017,Clear,0,1001.603,95.599,3
2015-11-18,02:00:11.197000,8.275,8.39295,Clear,0,1001.525,95.62,3
2015-11-18,02:00:11.297000,8.118,8.23574,Clear,0,1001.446,95.641,3
2015-11-18,02:00:11.397000,8.366,8.48426,Clear,0,1001.369,95.661,3
2015-11-18,02:00:11.497000,8.649,8.76799,Clear,0,1001.291,95.682,3
2015-11-18,02:00:11.597000,8.46,8.57873,Clear,0,1001.214,95.703,3
2015-11-18,02:00:11.697000,8.328,8.44706,Clear,0,1001.138,95.724,3
2015-11-18,02:00:11.797000,8.044,8.16282,Clear,0,1001.062,95.745,3
2015-11-18,02:00:11.897000,8.254,8.37431,Clear,0,1000.986,95.766,3
2015-11-18,02:00:11.997000,8.323,8.44328,Clear,0,1000.911,95.787,3
2015-11-18,02:00:12.097000,8.124,8.24442,Clear,0,1000.837,95.808,3
2015-11-18,02:00:12.197000,8.326,8.4458,Clear,0,1000.763,95.828,3
2015-11-18,02:00:12.297000,8.489,8.61002,Clear,0,1000.689,95.849,3
2015-11-18,02:00:12.397000,8.543,8.66358,Clear,0,1000.616,95.87,3
2015-11-18,02:00:12.497000,8.187,8.30798,Clear,0,1000.543,95.891,3
2015-11-18,02:00:12.597000,8.751,8.87288,Clear,0,1000.471,95.912,3
2015-11-18,02:00:12.697000,7.818,7.94013,Clear,0,1000.399,95.933,3
2015-11-18,02:00:12.797000,8.17,8.29183,Clear,0,1000.328,95.954,3
2015-11-18,02:00:12.897000,8.698,8.81947,Clear,0,1000.257,95.975,3
2015-11-18,02:00:12.997000,7.801,7.92365,Clear,0,1000.186,95.996,3
2015-11-18,02:00:13.097000,8.484,8.60661,Clear,0,1000.116,96.017,3
2015-11-18,02:00:13.197000,8.194,8.31652,Clear,0,1000.047,96.037,3
2015-11-18,02:00:13.297000,8.453,8.57684,Clear,0,999.978,96.058,3
2015-11-18,02:00:13.397000,8.366,8.48993,Clear,0,999.909,96.079,3
2015-11-18,02:00:13.497000,8.307,8.43079,Clear,0,999.841,96.1,3
2015-11-18,02:00:13.597000,8.216,8.34102,Clear,0,999.773,96.121,3
2015-11-18,02:00:13.697000,7.868,7.99333,Clear,0,999.706,96.142,3
2015-11-18,02:00:13.797000,8.38,8.50446,Clear,0,999.639,96.163,3
2015-11-18,02:00:13.897000,8.146,8.2709,Clear,0,999.573,96.184,3
2015-11-18,02:00:13.997000,8.466,8.59162,Clear,0,999.507,96.205,3
2015-11-18,02:00:14.097000,7.99,8.11565,Clear,0,999.442,96.226,3
2015-11-18,02:00:14.197000,8.242,8.36843,Clear,0,999.377,96.247,3
2015-11-18,02:00:14.297000,8.063,8.19001,Clear,0,999.313,96.268,3
2015-11-18,02:00:14.397000,7.955,8.0824,Clear,0,999.249,96.289,3
2015-11-18,02:00:14.497000,8.144,8.2709,Clear,0,999.185,96.31,3
2015-11-18,02:00:14.597000,8.474,8.60224,Clear,0,999.122,96.33,3
2015-11-18,02:00:14.697000,7.93,8.05834,Clear,0,999.06,96.351,3
2015-11-18,02:00:14.797000,8.296,8.42377,Clear,0,998.997,96.372,3
2015-11-18,02:00:14.897000,8.056,8.18372,Clear,0,998.936,96.393,3
2015-11-18,02:00:14.997000,7.777,7.90589,Clear,0,998.875,96.414,3
2015-11-18,02:00:15.097000,8.03,8.15862,Clear,0,998.814,96.435,3
2015-11-18,02:00:15.197000,8.005,8.13377,Clear,0,998.754,96.456,3
2015-11-18,02:00:15.297000,8.197,8.32663,Clear,0,998.694,96.477,3
2015-11-18,02:00:15.397000,8.338,8.46828,Clear,0,998.634,96.498,3
2015-11-18,02:00:15.497000,8.142,8.27162,Clear,0,998.576,96.519,3
2015-11-18,02:00:15.597000,8.149,8.27951,Clear,0,998.517,96.54,3
2015-11-18,02:00:15.697000,7.927,8.05775,Clear,0,998.459,96.561,3
2015-11-18,02:00:15.797000,8.409,8.53959,Clear,0,998.402,96.582,3
2015-11-18,02:00:15.897000,8.08,8.21179,Clear,0,998.345,96.603,3
2015-11-18,02:00:15.997000,7.853,7.98478,Clear,0,998.288,96.624,3
2015-11-18,02:00:16.097000,7.924,8.05569,Clear,0,998.232,96.645,3
2015-11-18,02:00:16.197000,8.262,8.39535,Clear,0,998.176,96.666,3
2015-11-18,02:00:16.297000,7.889,8.02193,Clear,0,998.121,96.687,3
2015-11-18,02:00:16.397000,7.937,8.06986,Clear,0,998.067,96.708,3
2015-11-18,02:00:16.497000,7.948,8.0824,Clear,0,998.012,96.729,3
2015-11-18,02:00:16.597000,8.124,8.25811,Clear,0,997.959,96.75,3
2015-11-18,02:00:16.697000,7.883,8.01739,Clear,0,997.905,96.771,3
2015-11-18,02:00:16.797000,7.897,8.03192,Clear,0,997.852,96.792,3
2015-11-18,02:00:16.897000,8.048,8.18273,Clear,0,997.8,96.813,3
2015-11-18,02:00:16.997000,7.699,7.83354,Clear,0,997.748,96.834,3
2015-11-18,02:00:17.097000,7.992,8.12843,Clear,0,997.697,96.855,3
2015-11-18,02:00:17.197000,8.042,8.1778,Clear,0,997.646,96.876,3
2015-11-18,02:00:17.297000,7.715,7.85088,Clear,0,997.595,96.897,3
2015-11-18,02:00:17.397000,8.016,8.15283,Clear,0,997.545,96.918,3
2015-11-18,02:00:17.497000,7.916,8.05335,Clear,0,997.495,96.939,3
2015-11-18,02:00:17.597000,8.215,8.35213,Clear,0,997.446,96.96,3
2015-11-18,02:00:17.697000,7.976,8.1138,Clear,0,997.398,96.981,3
2015-11-18,02:00:17.797000,8.057,8.19466,Clear,0,997.349,97.002,3
2015-11-18,02:00:17.897000,8.299,8.43744,Clear,0,997.302,97.023,3
2015-11-18,02:00:17.997000,7.995,8.1344,Clear,0,997.254,97.044,3
2015-11-18,02:00:18.097000,7.934,8.07313,Clear,0,997.208,97.065,3
2015-11-18,02:00:18.197000,7.941,8.08,Clear,0,997.161,97.086,3
2015-11-18,02:00:18.297000,7.976,8.11596,Clear,0,997.115,97.107,3
2015-11-18,02:00:18.397000,8.121,8.26059,Clear,0,997.07,97.128,3
