satellite, 3174 OV1-14 / US
catalogue, 1 NORAD
track, 9666563
variability, 1 Aperiodic
variability_period, 0.0
npoints, 1326
#,
Date Time StdMag Mag Filter Penumbra Distance Phase Channel,

Date,Time,StdMag,Mag,Filter,Penumbra,Distance,Phase,Channel
2015-12-10,22:12:32.899000,4.731,8.97312,Clear,0,8917.435,53.024,2
2015-12-10,22:12:32.999000,5.108,9.34989,Clear,0,8917.218,53.021,2
2015-12-10,22:12:33.099000,5.377,9.61934,Clear,0,8917.001,53.019,2
2015-12-10,22:12:33.199000,4.512,8.75429,Clear,0,8916.784,53.017,2
2015-12-10,22:12:33.299000,4.955,9.1971,Clear,0,8916.567,53.014,2
2015-12-10,22:12:33.399000,4.983,9.22544,Clear,0,8916.35,53.012,2
2015-12-10,22:12:33.599000,4.673,8.91476,Clear,0,8915.916,53.007,2
2015-12-10,22:12:33.699000,4.731,8.97336,Clear,0,8915.699,53.005,2
2015-12-10,22:12:33.799000,5.138,9.37979,Clear,0,8915.482,53.003,2
2015-12-10,22:12:33.899000,4.75,8.99146,Clear,0,8915.265,53.0,2
2015-12-10,22:12:34.199000,4.994,9.23481,Clear,0,8914.614,52.993,2
2015-12-10,22:12:34.299000,4.588,8.82917,Clear,0,8914.397,52.991,2
2015-12-10,22:12:34.399000,4.343,8.58357,Clear,0,8914.18,52.989,2
2015-12-10,22:12:34.499000,4.568,8.80901,Clear,0,8913.963,52.986,2
2015-12-10,22:12:34.599000,3.92,8.16069,Clear,0,8913.747,52.984,2
2015-12-10,22:12:34.699000,3.846,8.08728,Clear,0,8913.53,52.982,2
2015-12-10,22:12:34.799000,3.757,7.99768,Clear,0,8913.313,52.979,2
2015-12-10,22:12:34.899000,3.487,7.72798,Clear,0,8913.096,52.977,2
2015-12-10,22:12:34.999000,3.553,7.79366,Clear,0,8912.879,52.975,2
2015-12-10,22:12:35.099000,3.528,7.76865,Clear,0,8912.662,52.972,2
2015-12-10,22:12:35.199000,3.462,7.70311,Clear,0,8912.445,52.97,2
2015-12-10,22:12:35.299000,3.444,7.68523,Clear,0,8912.228,52.968,2
2015-12-10,22:12:35.399000,3.29,7.53126,Clear,0,8912.011,52.965,2
2015-12-10,22:12:35.499000,3.358,7.59909,Clear,0,8911.794,52.963,2
2015-12-10,22:12:35.599000,3.187,7.42727,Clear,0,8911.577,52.961,2
2015-12-10,22:12:35.699000,3.347,7.58666,Clear,0,8911.36,52.958,2
2015-12-10,22:12:35.799000,3.247,7.48658,Clear,0,8911.143,52.956,2
2015-12-10,22:12:35.899000,3.341,7.58107,Clear,0,8910.926,52.954,2
2015-12-10,22:12:35.999000,3.349,7.58901,Clear,0,8910.709,52.951,2
2015-12-10,22:12:36.099000,3.234,7.47376,Clear,0,8910.492,52.949,2
2015-12-10,22:12:36.199000,3.205,7.44521,Clear,0,8910.275,52.947,2
2015-12-10,22:12:36.299000,2.986,7.22551,Clear,0,8910.058,52.944,2
2015-12-10,22:12:36.399000,2.9,7.14007,Clear,0,8909.841,52.942,2
2015-12-10,22:12:36.499000,2.866,7.10625,Clear,0,8909.624,52.94,2
2015-12-10,22:12:36.599000,2.694,6.93443,Clear,0,8909.407,52.937,2
2015-12-10,22:12:36.699000,2.574,6.81409,Clear,0,8909.19,52.935,2
2015-12-10,22:12:36.799000,2.514,6.75406,Clear,0,8908.973,52.933,2
2015-12-10,22:12:36.899000,2.392,6.63047,Clear,0,8908.756,52.93,2
2015-12-10,22:12:36.999000,2.346,6.58482,Clear,0,8908.539,52.928,2
2015-12-10,22:12:37.099000,2.329,6.56786,Clear,0,8908.322,52.926,2
2015-12-10,22:12:37.199000,2.228,6.46651,Clear,0,8908.105,52.923,2
2015-12-10,22:12:37.299000,2.182,6.42058,Clear,0,8907.888,52.921,2
2015-12-10,22:12:37.399000,2.321,6.55949,Clear,0,8907.671,52.919,2
2015-12-10,22:12:37.499000,2.339,6.57817,Clear,0,8907.454,52.916,2
2015-12-10,22:12:37.599000,2.43,6.66899,Clear,0,8907.237,52.914,2
2015-12-10,22:12:37.699000,2.496,6.73481,Clear,0,8907.02,52.912,2
2015-12-10,22:12:37.799000,2.421,6.65954,Clear,0,8906.803,52.909,2
2015-12-10,22:12:37.899000,2.46,6.69938,Clear,0,8906.586,52.907,2
2015-12-10,22:12:37.999000,2.619,6.8579,Clear,0,8906.369,52.905,2
2015-12-10,22:12:38.099000,2.455,6.69393,Clear,0,8906.152,52.902,2
2015-12-10,22:12:38.199000,2.641,6.87933,Clear,0,8905.935,52.9,2
2015-12-10,22:12:38.299000,2.681,6.9192,Clear,0,8905.718,52.897,2
2015-12-10,22:12:38.399000,2.731,6.96905,Clear,0,8905.501,52.895,2
2015-12-10,22:12:38.499000,2.77,7.00757,Clear,0,8905.284,52.893,2
2015-12-10,22:12:38.599000,2.642,6.8804,Clear,0,8905.067,52.89,2
2015-12-10,22:12:38.699000,2.794,7.03221,Clear,0,8904.85,52.888,2
2015-12-10,22:12:38.799000,2.726,6.96406,Clear,0,8904.633,52.886,2
2015-12-10,22:12:38.899000,2.738,6.97608,Clear,0,8904.416,52.883,2
2015-12-10,22:12:38.999000,2.642,6.87964,Clear,0,8904.199,52.881,2
2015-12-10,22:12:39.099000,2.757,6.99538,Clear,0,8903.982,52.879,2
2015-12-10,22:12:39.199000,2.754,6.99231,Clear,0,8903.765,52.876,2
2015-12-10,22:12:39.299000,2.711,6.94906,Clear,0,8903.548,52.874,2
2015-12-10,22:12:39.399000,2.868,7.10568,Clear,0,8903.331,52.872,2
2015-12-10,22:12:39.499000,2.769,7.0074,Clear,0,8903.114,52.869,2
2015-12-10,22:12:39.599000,2.837,7.07382,Clear,0,8902.897,52.867,2
2015-12-10,22:12:39.699000,2.83,7.06668,Clear,0,8902.68,52.865,2
2015-12-10,22:12:39.799000,3.011,7.24812,Clear,0,8902.463,52.862,2
2015-12-10,22:12:39.899000,2.942,7.17881,Clear,0,8902.246,52.86,2
2015-12-10,22:12:39.999000,3.015,7.25244,Clear,0,8902.029,52.858,2
2015-12-10,22:12:40.099000,3.031,7.26792,Clear,0,8901.812,52.855,2
2015-12-10,22:12:40.199000,3.092,7.32935,Clear,0,8901.595,52.853,2
2015-12-10,22:12:40.299000,3.099,7.33564,Clear,0,8901.378,52.851,2
2015-12-10,22:12:40.399000,3.073,7.31001,Clear,0,8901.161,52.848,2
2015-12-10,22:12:40.499000,3.063,7.29956,Clear,0,8900.944,52.846,2
2015-12-10,22:12:40.599000,3.146,7.38268,Clear,0,8900.727,52.844,2
2015-12-10,22:12:40.699000,3.245,7.48176,Clear,0,8900.51,52.841,2
